field_id,source_table,Structured_comment_name,Package_item,Title_advsearch,Help_Text,Requirement,Expected_value,Value_syntax,Occurrence,Position,Position_advsearch,Section,Visible,searchable,searchable_any,Exportable,API_reachable,filled,Comment,last_change
254,spore_formation,ability,Ability of spore formation,Ability of spore formation,Ability of spore formation.,X,true or false,{boolean},m,219.0,219.0,morphology_physiology,1,1,0,1.0,1.0,1.0,,2017-10-18 13:37:04
63,,preservation_meth,Preservation method,Preservation method,Reference a publication in which preservation methods,X,"PMID,DOI,url or free text",{PMID|DOI|URL|text},m,,,culture_growth_condition,1,0,0,0.0,0.0,0.0,Analogue to the likewise data field in MCL by straininfo.net(mcl:preservationPublication),2017-10-18 13:37:51
103,cell_morphology,ID_cell_morphology,ID_cell_morphology,ID_cell_morphology,,1,identification number,{integer},1,,,data administration,0,0,0,0.0,0.0,1.0,ID for internal use,2016-09-30 11:22:46
125,cell_morphology,manual_annotation,Manually annotated,Manually annotated,Is set true if manual annotation/curation has been conducted for a reference,X,true or false,{boolean},1,,,data administration,0,0,0,0.0,0.0,1.0,,2016-09-30 11:22:46
27,cell_morphology,cell_len,Cell length,Cell length,Length of the cell.,X,length,{float},m,201.0,201.0,morphology_physiology,1,1,0,0.0,1.0,1.0,Must always be acompanied by unit!!!,2017-10-18 13:37:04
31,cell_morphology,cell_len_unit,Cell length unit,Cell length unit,Unit of length of the cell.,X,unit of length,{text},m,2.0,2.0,morphology_physiology,0,0,0,0.0,1.0,1.0,Must always be acompanied by value!!!,2017-10-18 13:37:04
30,cell_morphology,cell_width,Cell width,Cell width,Width of the cell,X,width,{float},m,202.0,202.0,morphology_physiology,1,1,0,0.0,1.0,1.0,Must always be acompanied by unit!!!,2017-10-18 13:37:04
102,cell_morphology,cell_width_unit,Cell width unit,Cell width unit,Unit of width of the cell,X,unit of width,{text} ,m,4.0,4.0,morphology_physiology,0,0,0,0.0,1.0,1.0,Must always be acompanied by value!!!,2017-10-18 13:37:04
42,cell_morphology,gram_stain,Gram stain,Gram stain,Gram staining ,X,enumeration,[positive|negative|variable],m,200.0,200.0,morphology_physiology,1,1,0,0.0,1.0,1.0,,2017-10-18 13:37:04
28,cell_morphology,cell_shape,Cell shape,Cell shape,Description of the cell shape.,X,enumeration,[rod-shaped|coccus-shaped|ring-shaped|ovoid-shaped|spiral-shaped|filament-shaped|helical-shaped|vibrio-shaped|surrounded by sheath-like structure|sphere-shaped|curved-shaped|pleomorphic-shaped|oval-shaped|crescent-shaped|disc-shaped|flask-shaped|square-shaped|star-shaped|spore-shaped|spindel-shaped|bean-shaped|dumbbell-shaped|ellipsoidal|bent-rod shaped|cylindrical-shaped|other],m,203.0,203.0,morphology_physiology,1,1,0,0.0,1.0,1.0,,2017-11-03 14:23:02
45,cell_morphology,motility,Motility,Motility,ability of motility,C,true or false,{boolean},m,204.0,204.0,morphology_physiology,1,0,0,0.0,1.0,1.0,"Conditional mandatory if motility_description, phototaxis or chemotaxis is set.",2017-10-18 13:37:04
41,cell_morphology,flagellum_arrangement,Flagellum arrangement,Flagellum arrangement,"The description of flagellum/flagella the bacterium is equipped with, in case of motility via flagellum/flagella.",X,enumeration,"[monotrichous|lophotrichous|amphitrichous|peritrichous|monotrichous, polar|polytrichous, monopolar|polar|subpolar|gliding]",m,205.0,205.0,morphology_physiology,1,0,0,0.0,1.0,0.0,,2017-10-18 13:37:04
44,colony_morphology,medium_composition,Cultivation medium composition,Cultivation medium composition,Composition of a medium for cultivation.,X,"PMID,DOI,url or free text",{PMID|DOI|URL|text},m,214.0,214.0,morphology_physiology,0,0,0,0.0,1.0,1.0,,2017-10-18 13:37:04
116,colony_morphology,ID_colony_morphology,ID_colony_morphology,ID_colony_morphology,,1,identification number,{integer},1,,,data administration,0,0,0,0.0,0.0,1.0,ID for internal use,2016-09-30 11:22:46
126,colony_morphology,manual_annotation,Manually annotated,Manually annotated,Is set true if manual annotation/curation has been conducted for a reference,X,true or false,{boolean},1,,,data administration,0,0,0,1.0,1.0,1.0,,2016-09-30 11:22:46
43,colony_morphology,medium_name,Cultivation medium used,Cultivation medium used,Name of a medium for cultivation.,,medium name,{text},m,213.0,213.0,morphology_physiology,1,0,1,1.0,1.0,1.0,,2017-10-18 13:37:04
33,colony_morphology,colony_len,Colony size,Colony size,Length of the colony on distinct medium and temperature after a certain time of cultivation.,X,length,{float},m,208.0,208.0,morphology_physiology,1,1,0,0.0,1.0,0.0,,2017-10-18 13:37:04
37,colony_morphology,colony_len_unit,Colony length unit,Colony length unit,Unit of given length of the colony on distinct medium and temperature after a certain time of cultivation.,X,length unit,{text},m,11.0,11.0,morphology_physiology,0,0,0,0.0,1.0,0.0,,2017-10-18 13:37:04
36,colony_morphology,colony_width,Colony width,Colony width,Width of the colony on distinct medium and temperature after a certain time of cultivation.,X,width,{float},m,209.0,209.0,morphology_physiology,0,0,0,0.0,0.0,0.0,"Medium name, temperature and cultivation time could be optional values.",2017-10-18 13:37:04
34,colony_morphology,colony_width_unit,Colony width unit,Colony width unit,Unit of given width of the colony on distinct medium and temperature after a certain time of cultivation.,X,width unit,{text},m,13.0,13.0,morphology_physiology,0,0,0,0.0,0.0,0.0,,2017-10-18 13:37:04
32,colony_morphology,colony_color,Colony color,Colony color,Color of the colony on distinct medium and temperature after a certain time of cultivation.,X,color,{text},m,210.0,210.0,morphology_physiology,1,0,0,1.0,1.0,1.0,,2017-10-18 13:37:04
35,colony_morphology,colony_shape,Colony shape,Colony shape,"Shape of the colony on distinct medium and temperature after a certain time of cultivation(form, elevation, margins, surface).",X,shape,{text},m,211.0,211.0,morphology_physiology,1,0,0,1.0,1.0,1.0,,2017-10-18 13:37:04
115,colony_morphology,incubation_period,Incubation period,Incubation period (in days),Incubation period in context with the description of colony morphology,,duration period dd:hh:mm,{text},m,212.0,212.0,morphology_physiology,1,1,0,1.0,1.0,1.0,,2017-10-18 13:37:04
104,GC_content,ID_GC_content,ID_GC_content,ID_GC_content,,1,identification number,{integer},1,,,data administration,0,0,0,0.0,0.0,1.0,ID for internal use,2016-09-30 11:22:46
128,GC_content,manual_annotation,Manually annotated,Manually annotated,Is set true if manual annotation/curation has been conducted for a reference,X,true or false,{boolean},1,,,data administration,0,0,0,1.0,1.0,1.0,,2016-09-30 11:22:46
54,GC_content,GC_content,GC-content,GC-content,Guanine-Cytosine content in mol % ,X,measurement value percentage,{float},m,9.0,9.0,molecular_biology,1,1,0,1.0,1.0,1.0,Value needs to be displayed with unit: %,2019-05-27 13:17:49
150,GC_content,GC_method,GC-content method,GC-content method,"Method of guanine-cytosine content determination (e.g. high pressure liquid chromatography (HPLC),thermal denaturation, midpoint method (Tm),fluorimetric,Thermal denaturation, fluorometry,Buoyant density centrifugation (BD),capillary zone electrophoresis (CZE),real time PCR (RTD-PCR),sequence analysis,genome sequence analysis,paper chromatography) ",X,enumeration,"['high pressure liquid chromatography (HPLC)'|'thermal denaturation, midpoint method (Tm)'|'fluorimetric'|'Thermal denaturation, fluorometry'|'Buoyant density centrifugation (BD)'|'capillary zone electrophoresis (CZE)'|'real time PCR (RTD-PCR)'|'sequence analysis'|'genome sequence analysis'|'paper chromatography']",m,9.0,9.0,molecular_biology,1,0,1,1.0,1.0,1.0,,2017-10-18 13:37:26
151,halophily,ID_halophily,ID_halophily,ID_halophily,,1,identification number,{integer},,,,data administration,0,0,0,0.0,0.0,1.0,ID for internal use,2016-09-30 11:22:46
152,halophily,halophily,Halophily / tolerance level,Halophily / tolerance level,Tolerance level towards salinity (usually tested for NaCl).,X,enumeration,['non-halophilic'|'halophilic'|'slightly halophilic'|'moderately halophilic'|'extremely halophilic'|'halotolerant'|'haloalkaliphilic'|'obligately halophilic'],m,303.0,303.0,morphology_physiology,1,0,0,1.0,1.0,1.0,,2017-10-18 13:37:04
153,halophily,salt,Salt,Salt,Kind of salt related to halophily information usually NaCl.,M,enumeration,['NaCl|'Marine salts'|'Na+'],m,304.0,304.0,morphology_physiology,1,1,0,1.0,1.0,1.0,,2017-10-18 13:37:04
154,halophily,manual_annotation,Manually annotated,Manually annotated,Is set true if manual annotation/curation has been conducted for a reference,X,true or false,{boolean},,,,data administration,0,0,0,1.0,1.0,1.0,,2016-09-30 11:22:46
143,multicellular_morphology,ID_multicellular_morphology,ID_multicellular_morphology,ID_multicellular_morphology,,1,identification number,{integer},1,,,data administration,0,0,0,0.0,0.0,1.0,ID for internal use,2016-09-30 11:22:46
144,multicellular_morphology,manual_annotation,Manually annotated,Manually annotated,Is set true if manual annotation/curation has been conducted for a reference,X,true or false,{boolean},1,,,data administration,0,0,0,1.0,1.0,1.0,,2016-09-30 11:22:46
141,multicellular_morphology,ability,Multicellular complex forming ability,Multicellular complex forming ability,Ability of forming multicellular complexes (aggregations). ,x,true or false,{boolean},m,220.0,220.0,morphology_physiology,1,1,0,1.0,1.0,1.0,,2017-10-18 13:37:04
137,multicellular_morphology,multicell_name,Multicellular complex name,Multicellular complex name,Names the kind of multicellular complex that is formed.,x,Name,{text},m,221.0,221.0,morphology_physiology,1,0,0,1.0,1.0,1.0,,2017-10-18 13:37:04
138,multicellular_morphology,multicell_color,Multicellular complex color,Multicellular complex color,Names the color of multicellular complex that is formed.,x,color,{text},m,222.0,222.0,morphology_physiology,1,0,0,0.0,1.0,1.0,,2017-10-18 13:37:04
139,multicellular_morphology,multicell_size,Multicellular complex size,Multicellular complex size,Average size of multicellular complex that is formed.,x,size,{text},m,224.0,224.0,morphology_physiology,1,0,0,0.0,1.0,1.0,,2017-10-18 13:37:04
140,multicellular_morphology,multicell_size_unit,Multicellular complex size unit,Multicellular complex size unit,Unit of given multicellular complex that is formed.,x,unit,{text},m,29.0,29.0,morphology_physiology,0,0,0,0.0,1.0,1.0,,2017-10-18 13:37:04
142,multicellular_morphology,description,Multicellular complex further description,Multicellular complex further description,Detailed description of the multicellular complex that is formed.,x,description,{text},m,225.0,225.0,morphology_physiology,1,0,0,1.0,1.0,1.0,,2017-10-18 13:37:04
105,multimedia,ID_multimedia,ID_multimedia,ID_multimedia,,1,identification number,{integer},1,,,data administration,0,0,0,0.0,0.0,1.0,ID for internal use,2016-09-30 11:22:46
106,multimedia,file_name,File name,File name,File name of source for any kind of image representation of the strain and description of content,X,path,{text},m,,,data administration,0,0,0,0.0,0.0,0.0,,2016-09-30 11:22:46
107,multimedia,file,File as blob,File as blob,File - May be any kind of image representation of the strain and description of content,X,binary,{BLOB},m,,,data administration,0,0,0,0.0,0.0,0.0,,2016-09-30 11:22:46
108,multimedia,FSI_URL,FSI Server URL,FSI Server URL,URL for image representation of the strain and description of content.,X,URL,{text},m,,,data administration,0,0,0,0.0,0.0,0.0,,2016-09-30 11:22:46
109,multimedia,media_type,Media type,Media type,File - May be any kind of image representation of the strain and description of content. This enum defines kind of mutlimedia content.,X,enumeration,[jpeg|tiff|png|bmp|svg|mpg|avi],m,,,data administration,0,0,0,0.0,0.0,0.0,,2016-09-30 11:22:46
113,multimedia,creator,Creator,Creator,Creator of multimedia content.,X,name of creator,{text},m,,,data administration,0,0,0,0.0,0.0,1.0,,2016-09-30 11:22:46
122,multimedia,file_path,Multimedia content,Multimedia content,Any kind of multimedia/image representation of the strain and description of content,X,path,{text},m,,,data administration,0,0,0,0.0,0.0,1.0,,2016-09-30 11:22:46
129,multimedia,manual_annotation,Manually annotated,Manually annotated,Is set true if manual annotation/curation has been conducted for a reference,X,true or false,{boolean},1,,,data administration,0,0,0,0.0,0.0,1.0,,2016-09-30 11:22:46
148,multimedia,full_file_path,Multimedia content,Multimedia content,Any kind of multimedia/image representation of the strain and description of content,X,path,{text},m,101.0,101.0,morphology_physiology,1,0,0,0.0,0.0,1.0,,2017-10-18 13:37:04
111,multimedia,caption,Caption,Caption,Caption of the multimedia content.,X,caption,{text},m,102.0,102.0,morphology_physiology,1,0,0,0.0,0.0,1.0,,2017-10-18 13:37:04
114,multimedia,capture_equipment,Capture equipment,Capture equipment,Capture equipment,X,Capture equipment,{text},m,103.0,103.0,morphology_physiology,1,0,0,0.0,0.0,0.0,,2017-10-18 13:37:04
112,multimedia,created,Date of creation,Date of creation,Date of creation of the mutimedia content.,X,date,{text},m,20.0,20.0,morphology_physiology,0,0,0,0.0,0.0,0.0,,2017-10-18 13:37:04
123,multimedia,license_type,License/Copyright,License/Copyright,Lincense/Copyright information,M,Lincense/Copyright information,{text},m,104.0,104.0,morphology_physiology,1,0,0,0.0,0.0,1.0,,2017-10-18 13:37:04
110,multimedia,IPR,Intellectual property rights,Intellectual property rights,Intellectual property rights of multimedia content e.g. Leibniz-Institut DSMZ,X,name of IPR holder,{text},m,105.0,105.0,morphology_physiology,1,0,0,0.0,0.0,1.0,,2017-10-18 13:37:04
120,murein,murein_short_index,Murein short key,Murein short key,"To save space, a special system has been developed to characterize the different murein types. This key enables the user to link the abbreviations to the system proposed for the characterization and representation of peptidoglycan types proposed by Schleifer and Kandler 1972. An extension by an apostrophe e.g. A3 alpha' denotes that the L-Ala residue found normally in position 1 of the peptide subunit is replaced by Gly.",X,Group key,{text},m,308.5,308.5,morphology_physiology,1,1,0,0.0,1.0,1.0,According recomendation old dsmz website entry http://www.dsmz.de/microorganisms/main.php?content_id=35,2017-10-18 13:37:04
121,murein,ID_murein,ID_murein,ID_murein,,1,identification number,{integer},1,,,data administration,0,0,0,0.0,0.0,1.0,ID for internal use,2016-09-30 11:22:46
46,murein,murein_types,Murein types,Murein types,Characterization of the different murein types.,X,Group name,{text},m,309.0,309.0,morphology_physiology,1,1,1,1.0,1.0,1.0,According recomendation old dsmz website entry http://www.dsmz.de/microorganisms/main.php?content_id=35,2017-10-18 13:37:04
135,observation,ID_observation,ID_observation,ID_observation,,1,identification number,{integer},1,,,data administration,0,0,0,0.0,0.0,1.0,ID for internal use,2016-09-30 11:22:46
136,observation,manual_annotation,Manually annotated,Manually annotated,Is set true if manual annotation/curation has been conducted for a reference,X,true or false,{boolean},1,,,data administration,0,0,0,1.0,1.0,1.0,,2016-09-30 11:22:46
134,observation,attribute,Observation,Observation,"Known attribute or ability of the strain e.g. cellulose decompositon, yeast lysis",,free text,{text},m,309.0,309.0,morphology_physiology,1,1,1,1.0,1.0,1.0,"For information e.g. ""Yeast lysis ability""",2017-12-06 09:09:14
24,origin,ID_origin,ID_origin,ID_origin,,1,identification number,{integer},1,,,data administration,0,0,0,0.0,0.0,1.0,ID for internal use,2016-09-30 11:22:46
131,origin,manual_annotation,Manually annotated,Manually annotated,Is set true if manual annotation/curation has been conducted for a reference,X,true or false,{boolean},1,,,data administration,0,0,0,1.0,1.0,1.0,,2016-09-30 11:22:46
22,origin,sample_type,Sample type/isolated from,Sample type/isolated from,property of the sample the bacterium was isolated from.,X,property name,{text},m,1.0,1.0,environment_sampling_isolation_source,1,1,1,1.0,1.0,1.0,"Could be solved as enum:Maybe more terms are needed.'air','microbial mat/biofilm','other','plant-associated specimen','sediment','soil','wastewater/sludge','water','human derived specimen','animal derived specimen','fresh water','salt water','oil'",2017-10-18 13:36:42
23,origin,sample_date,Sampling date,Sampling date,The time of sampling.,X,date,{text},m,2.0,2.0,environment_sampling_isolation_source,1,0,0,0.0,1.0,1.0,,2017-10-18 13:36:42
20,origin,geo_loc_name,"Geographic location (country and/or sea, region)","Geographic location (country and/or sea, region)",The geographical origin of the sample as defined by the country or sea name followed by specific region name.,,country or sea name (INSDC or GAZ):region(GAZ):specific location name,{term}:{term}:{text},m,3.0,3.0,environment_sampling_isolation_source,1,1,1,1.0,1.0,1.0,Already in MIMARKS. Adopted.DarwinCore compatible,2017-10-18 13:36:42
100,origin,country,Country,Country,country name: sample material/strain origin,X,country name,{text},m,4.0,4.0,environment_sampling_isolation_source,1,1,1,1.0,1.0,1.0,,2017-10-18 13:36:42
17,origin,continent,Continent,Continent,continent name: sample material/strain origin,,enumeration,[Asia|Africa|Australia and Oceania|Europe|Middle and South America|North America|Antarctica|Arctic],m,5.0,5.0,environment_sampling_isolation_source,1,1,1,1.0,1.0,1.0,ABCD combined fieldDarwinCore compatible,2017-12-07 09:23:16
19,origin,latitude,Geographic location (latitude),Geographic location (latitude),The geographical origin of the sample as defined by latitude.,X,decimal degrees,{float},m,6.0,6.0,environment_sampling_isolation_source,1,0,0,1.0,1.0,1.0,"Already in MIMARKS. Adopted. There are other methods for geographical specification:Degree, minute, second: 66° 43? 12?Degree, minute, dacimal second: 66° 43? 12.0?Degree, decimal minute: 66° 43.20?Decimal degree (used here!!!): 66.7200°",2017-10-18 13:36:42
21,origin,longitude,Geographic location (longitude),Geographic location (longitude),The geographical origin of the sample as defined by longitude.,X,decimal degrees,{float},m,7.0,7.0,environment_sampling_isolation_source,1,0,0,1.0,1.0,1.0,"Already in MIMARKS. Adopted. There are other methods for geographical specification:Degree, minute, second: 66° 43? 12?Degree, minute, dacimal second: 66° 43? 12.0?Degree, decimal minute: 66° 43.20?Decimal degree (used here): 66.7200°",2017-10-18 13:36:42
15,origin,enrichment_cult_name,Enrichment culture,Enrichment culture,If derived/isolated from an enrichment culture medium is specified here.,X,medium name,{text},m,8.0,8.0,environment_sampling_isolation_source,1,0,0,0.0,1.0,1.0,,2017-10-18 13:36:42
18,origin,enrichment_cult_composition,Enrichment culture composition,Enrichment culture composition,If derived/isolated from an enrichment culture medium is specified here.,X,recipe/ingredients,{text},m,9.0,9.0,environment_sampling_isolation_source,1,0,0,0.0,1.0,1.0,,2017-10-18 13:36:42
16,origin,enrichment_cult_duration,Enrichment culture duration,Enrichment culture duration,If derived/isolated from an enrichment culture duration is specified here.,,duration period dd:hh:mm,{text},m,10.0,10.0,environment_sampling_isolation_source,1,0,0,0.0,1.0,0.0,,2017-10-18 13:36:42
101,origin,enrichment_cult_temp,Enrichment culture temperature,Enrichment culture temperature,If derived/isolated from an enrichment culture medium temperature is specified here.,X,temperature °C,{text},m,11.0,11.0,environment_sampling_isolation_source,1,0,0,0.0,1.0,0.0,,2017-10-18 13:36:42
14,origin,isolation_date,Isolation date,Isolation date,See Bacterial and Fungal MINE: isolationDate is the last subfield,X,date,{text},m,12.0,12.0,environment_sampling_isolation_source,1,0,0,0.0,1.0,0.0,,2017-10-18 13:36:42
67,reference,URL,URL,URL,The URL is a direct link to the corresponding reference ,C,URL,{URL},m,,,reference,0,0,0,1.0,1.0,1.0,This is an URL that should be a link underneath the catalogue_ID or reference dependent on doc_type field,2016-09-30 11:22:46
69,reference,doc_type,doc_type,doc_type,,M,enumeration,[journal|catalogue|book|other],1,,,data administration,0,0,0,0.0,0.0,1.0,,2016-09-30 11:22:46
74,reference,ID_reference,ID_reference,ID_reference,,1,identification number,{integer},1,,6.0,data administration,0,1,0,0.0,0.0,1.0,ID for internal use,2017-10-17 13:54:19
83,reference,journal_full_name,Journal name,Journal name,Journal Name of Reference,C,journal name,{text},m,,,reference,0,0,0,0.0,0.0,0.0,,2017-10-16 13:20:33
88,reference,last_change,Last change,Last change,,,date,{text},m,,,data administration,0,0,0,0.0,0.0,1.0,,2016-09-30 11:22:46
85,reference,book_title,Book title,Book title,Book title of reference,M,book title,{text},m,1.0,,reference,1,0,0,1.0,1.0,0.0,,2017-10-16 13:46:21
87,reference,publisher,Publisher,Publisher,Publisher,C,publisher,{text},m,2.0,,reference,1,0,0,1.0,1.0,0.0,,2017-10-16 13:46:19
86,reference,editor,Editor,Editor,List of editor(s),C,editor name(s),{text},m,3.0,,reference,1,0,0,1.0,1.0,0.0,,2017-10-16 13:46:18
78,reference,authors,Authors,Authors,List of author(s),C,author name(s),{text},m,4.0,2.0,reference,1,1,0,1.0,1.0,1.0,,2017-10-17 13:53:48
77,reference,title,Title,Title,Title of reference,M,reference title,{text},m,5.0,1.0,reference,1,1,0,1.0,1.0,1.0,,2017-10-17 13:53:43
84,reference,journal_abbreviation,Journal (Abbreviation),Journal (Abbreviation),Journal Name of Reference,C,enumeration,[IJSEM|Syst Appl Microbiol.|mSphere],m,6.0,3.0,reference,1,1,0,1.0,1.0,0.0,,2017-12-05 11:30:42
79,reference,volume,Volume,Volume,Reference volume,C,Volume ,{text},m,7.0,,reference,1,0,0,1.0,1.0,0.0,,2017-10-16 13:46:12
81,reference,first_page,First page,First page,,c,page number,{integer},m,8.0,,reference,1,0,0,1.0,1.0,0.0,,2017-10-16 13:46:11
82,reference,last_page,Last page,Last page,Last page of print reference,c,page number,{integer},m,9.0,,reference,1,0,0,1.0,1.0,0.0,,2017-10-16 13:46:10
80,reference,year,Year,Year,Year of publication of the reference,C,year,{integer},m,10.0,4.0,reference,1,1,0,1.0,1.0,0.0,,2017-10-17 13:54:01
124,reference,ISBN,ISBN,ISBN,The International Standard Book Number (ISBN): An unique numeric commercial book identifier,X,DOI,{DOI},m,11.0,,reference,1,0,0,1.0,1.0,0.0,,2017-10-16 13:47:08
76,reference,DOI,DOI (Digital Object Identifier),DOI (Digital Object Identifier),Reference identified via a Digital Object Identifier (DOI),X,DOI,{DOI},m,12.0,5.0,reference,1,1,0,1.0,1.0,1.0,,2017-10-17 13:54:06
75,reference,pubmed_ID,pubmed_ID,pubmed_ID,Identification Number of the PubMed literature database,X,PMID,{PMID},m,13.0,,reference,1,1,0,1.0,1.0,0.0,,2017-10-17 13:54:14
91,reference,catalogue_institution,Institution,Institution,Institution/Culture collection,X,institution name,{text},m,15.0,,reference,1,0,0,1.0,1.0,1.0,,2017-10-16 13:46:03
89,reference,catalogue_ID,Catalogue Ident. No.,Catalogue Ident. No.,,X,cataloge ID,{text},m,16.0,,reference,1,0,0,1.0,1.0,1.0,,2017-10-16 13:46:01
161,risk_assessment,ID_risk_assessment,ID_risk_assessment,ID_risk_assessment,,1,identification number,{integer},,,,data administration,0,0,0,0.0,0.0,1.0,ID for internal use,2016-09-30 11:22:46
162,risk_assessment,manual_annotation,Manually annotated,Manually annotated,Is set true if manual annotation/curation has been conducted for a reference,X,true or false,{boolean},,,,data administration,0,0,0,1.0,1.0,1.0,,2016-09-30 11:22:46
156,risk_assessment,pathogenicity_human,Pathogenicity (human),Pathogenicity (human),Ability of causing pathological conditions within the referring organism,X,true or false,{boolean},m,1.0,1.0,application_interaction,1,1,0,1.0,1.0,1.0,,2017-10-18 13:35:58
157,risk_assessment,pathogenicity_animal,Pathogenicity (animal),Pathogenicity (animal),Ability of causing pathological conditions within the referring organism,X,true or false,{boolean},m,2.0,2.0,application_interaction,1,1,0,1.0,1.0,1.0,,2017-10-18 13:35:58
158,risk_assessment,pathogenicity_plant,Pathogenicity (plant),Pathogenicity (plant),Ability of causing pathological conditions within the referring organism,X,true or false,{boolean},m,3.0,3.0,application_interaction,1,1,0,1.0,1.0,1.0,,2017-10-18 13:35:58
160,risk_assessment,biosafety_level,Biosafety level,Biosafety level,Biosafety level defined for the strain,X,biosafety level,{text},m,4.0,4.0,application_interaction,1,1,0,1.0,1.0,1.0,,2017-10-18 13:35:58
159,risk_assessment,biosafety_level_comment,Biosafety level comment,Biosafety level comment,Year/country/location when/where this biosafety level was defined ,X,"e.g. country, year",{text},m,5.0,5.0,application_interaction,1,0,0,1.0,1.0,1.0,,2017-10-18 13:35:58
68,section,ID_section,ID_section,ID_section,,1,identification number,,,,,data administration,0,0,0,0.0,0.0,1.0,,2016-09-30 11:01:14
90,sequence,ID_sequence,ID_sequence,ID_sequence,,1,identification number,{integer},1,,,data administration,0,0,0,0.0,0.0,1.0,ID for internal use,2016-09-30 11:22:46
133,sequence,manual_annotation,Manually annotated,Manually annotated,Is set true if manual annotation/curation has been conducted for a reference,X,true or false,{boolean},1,,,data administration,0,0,0,1.0,1.0,1.0,,2016-09-30 11:22:46
