ID_met_antibiotica,metabolite_antib,MET_group_ID,is_antibiotic,ab_sensitive,ab_sensitivity_conc,rgStart_sens,rgEnd_sens,ab_sensitivity_unit,ab_intermediate,ab_intermediate_conc,rgStart_int,rgEnd_int,ab_intermediate_unit,ab_resistant,ab_resistance_conc,rgStart_res,rgEnd_res,ab_resistance_unit,chebi_ID,FK_metabolites,ID_strains,ID_reference,manual_annotation,last_change
8778,Doxycycline,0.0,1,1.0,10,10.0,10.0,µg (disc),,,,,,,,,,,50845.0,30.0,1290,22892,1,2017-02-10 09:57:45
9653,Penicillin G,0.0,1,,,,,,,,,,,,,,,,18208.0,31.0,6404,22928,1,2017-02-10 09:57:45
9956,Polymyxin B,0.0,1,,,,,,,,,,,,,,,,8309.0,32.0,11874,22937,1,2017-02-10 09:57:45
9957,Oxytetracycline,0.0,1,,,,,,,,,,,,,,,,27701.0,33.0,11874,22937,1,2017-02-10 09:57:45
9958,Neomycin,0.0,1,,,,,,,,,,,,,,,,7507.0,34.0,11874,22937,1,2017-02-10 09:57:45
9991,Vibriostat,0.0,1,,,,,,,,,,,,,,,,73908.0,35.0,12800,22938,1,2017-02-10 09:57:45
9992,Penicillin,0.0,1,,,,,,,,,,,,,,,,17334.0,36.0,12800,22938,1,2017-02-10 09:57:45
9993,Dihydrostreptomycin,0.0,1,,,,,,,,,,,1.0,10,10.0,10.0,µg (disc),38291.0,37.0,12800,22938,1,2017-02-10 09:57:45
9994,Chloramphenicol,0.0,1,,,,,,,,,,,1.0,30,30.0,30.0,µg (disc),17698.0,38.0,12800,22938,1,2017-02-10 09:57:45
9995,Erythromycin,0.0,1,,,,,,,,,,,1.0,15,15.0,15.0,µg (disc),48923.0,39.0,12800,22938,1,2017-02-10 09:57:45
9996,Novobiocin,0.0,1,,,,,,,,,,,1.0,30,30.0,30.0,µg (disc),28368.0,40.0,12800,22938,1,2017-02-10 09:57:45
9997,Kanamycin,0.0,1,,,,,,,,,,,1.0,30,30.0,30.0,µg (disc),6104.0,41.0,12800,22938,1,2017-02-10 09:57:45
9998,Chlortetracyclin,0.0,1,1.0,30,30.0,30.0,µg (disc),,,,,,,,,,,27644.0,42.0,12800,22938,1,2017-02-10 09:57:45
9999,Oxytetracycline,0.0,1,1.0,30,30.0,30.0,µg (disc),,,,,,,,,,,27701.0,43.0,12800,22938,1,2017-02-10 09:57:45
10000,Polymyxin B,0.0,1,1.0,300,300.0,300.0,Unit,,,,,,,,,,,8309.0,44.0,12800,22938,1,2017-02-10 09:57:45
10001,Tetracycline,0.0,1,,,,,,,,,,,1.0,30,30.0,30.0,µg (disc),27902.0,45.0,12800,22938,1,2017-02-10 09:57:45
10126,Penicillin,0.0,1,,,,,,1.0,10,10.0,10.0,µg (disc),,,,,,17334.0,46.0,2085,22943,1,2017-02-10 09:57:45
10380,Tetracycline,0.0,1,,,,,,,,,,,,,,,,27902.0,47.0,17532,22951,1,2017-02-10 09:57:45
10381,Kanamycin,0.0,1,,,,,,,,,,,,,,,,6104.0,48.0,17532,22951,1,2017-02-10 09:57:45
10382,Erythromycin,0.0,1,,,,,,,,,,,,,,,,48923.0,49.0,17532,22951,1,2017-02-10 09:57:45
10383,Novobiocin,0.0,1,,,,,,,,,,,,,,,,28368.0,50.0,17532,22951,1,2017-02-10 09:57:45
10417,Oleandomycin,0.0,1,,,,,,,,,,,1.0,100,100.0,100.0,µg/mL,16869.0,51.0,15146,22954,1,2017-02-10 09:57:45
10418,Polymyxin B,0.0,1,,,,,,,,,,,1.0,15000,15000.0,15000.0,µg/mL,8309.0,52.0,15146,22954,1,2017-02-10 09:57:45
10419,Streptomycin,0.0,1,,,,,,,,,,,1.0,20,20.0,20.0,µg/mL,17076.0,53.0,15146,22954,1,2017-02-10 09:57:45
10428,Erythromycin,0.0,1,1.0,20,20.0,20.0,µg/mL,,,,,,,,,,,48923.0,54.0,11256,22956,1,2017-02-10 09:57:45
10429,Tetracycline,0.0,1,1.0,2.5,2.5,2.5,µg/mL,,,,,,,,,,,27902.0,55.0,11256,22956,1,2017-02-10 09:57:45
10430,Erythromycin,0.0,1,,,,,,,,,,,1.0,,,,,48923.0,56.0,26,23239,1,2017-02-10 09:57:45
10431,Neomycin,0.0,1,,,,,,,,,,,1.0,,,,,7507.0,57.0,26,23239,1,2017-02-10 09:57:45
10432,Penicillin,0.0,1,,,,,,,,,,,1.0,,,,,17334.0,58.0,26,23239,1,2017-02-10 09:57:45
10433,Streptomycin,0.0,1,,,,,,,,,,,1.0,,,,,17076.0,59.0,26,23239,1,2017-02-10 09:57:45
10434,Chloramphenicol,0.0,1,1.0,,,,,,,,,,,,,,,17698.0,60.0,26,23239,1,2017-02-10 09:57:45
10435,Chlortetracyclin,0.0,1,1.0,,,,,,,,,,,,,,,27644.0,61.0,26,23239,1,2017-02-10 09:57:45
10436,Bacitracin,0.0,1,,,,,,,,,,,1.0,10,10.0,10.0,Unit,28669.0,62.0,38,23241,1,2017-02-10 09:57:45
10437,Polymyxin B,0.0,1,,,,,,,,,,,1.0,300,300.0,300.0,Unit,8309.0,63.0,38,23241,1,2017-02-10 09:57:45
10438,Colistin,0.0,1,,,,,,,,,,,1.0,10,10.0,10.0,µg,37943.0,64.0,38,23241,1,2017-02-10 09:57:45
10439,Nitrofurantoin,0.0,1,,,,,,,,,,,1.0,150,150.0,150.0,µg,71415.0,65.0,38,23241,1,2017-02-10 09:57:45
10440,Ethionamide,0.0,1,,,,,,,,,,,1.0,25,25.0,25.0,µg,4885.0,66.0,38,23241,1,2017-02-10 09:57:45
10441,Aztreonam,0.0,1,,,,,,,,,,,1.0,30,30.0,30.0,µg,161680.0,67.0,38,23241,1,2017-02-10 09:57:45
10442,Cephalothin,0.0,1,,,,,,,,,,,1.0,30,30.0,30.0,µg,3542.0,68.0,38,23241,1,2017-02-10 09:57:45
10443,Tetracycline,0.0,1,,,,,,,,,,,1.0,30,30.0,30.0,µg,27902.0,69.0,38,23241,1,2017-02-10 09:57:45
10444,Vancomycin,0.0,1,,,,,,,,,,,1.0,30,30.0,30.0,µg,28001.0,70.0,38,23241,1,2017-02-10 09:57:45
10445,Trimethoprim,0.0,1,,,,,,,,,,,1.0,5,5.0,5.0,µg,45924.0,71.0,38,23241,1,2017-02-10 09:57:45
10446,Ethambutol,0.0,1,,,,,,,,,,,1.0,50,50.0,50.0,µg,4877.0,72.0,38,23241,1,2017-02-10 09:57:45
10447,Penicillin,0.0,1,1.0,10,10.0,10.0,Unit,,,,,,,,,,,17334.0,73.0,38,23241,1,2017-02-10 09:57:45
10448,Gentamicin,0.0,1,1.0,10,10.0,10.0,µg,,,,,,,,,,,17833.0,74.0,38,23241,1,2017-02-10 09:57:45
10449,Erythromycin,0.0,1,1.0,2,2.0,2.0,µg,,,,,,,,,,,48923.0,75.0,38,23241,1,2017-02-10 09:57:45
10450,Ceftriaxone,0.0,1,1.0,30,30.0,30.0,µg,,,,,,,,,,,29007.0,76.0,38,23241,1,2017-02-10 09:57:45
10451,Chloramphenicol,0.0,1,1.0,30,30.0,30.0,µg,,,,,,,,,,,17698.0,77.0,38,23241,1,2017-02-10 09:57:45
10452,Doxycycline,0.0,1,1.0,30,30.0,30.0,µg,,,,,,,,,,,50845.0,78.0,38,23241,1,2017-02-10 09:57:45
10453,Novobiocin,0.0,1,1.0,30,30.0,30.0,µg,,,,,,,,,,,28368.0,79.0,38,23241,1,2017-02-10 09:57:45
10454,Rifampicin,0.0,1,1.0,30,30.0,30.0,µg,,,,,,,,,,,28077.0,80.0,38,23241,1,2017-02-10 09:57:45
10455,Streptomycin,0.0,1,1.0,30,30.0,30.0,µg,,,,,,,,,,,17076.0,81.0,38,23241,1,2017-02-10 09:57:45
10456,Sulfisoxazole,0.0,1,1.0,300,300.0,300.0,µg,,,,,,,,,,,102484.0,82.0,38,23241,1,2017-02-10 09:57:45
10457,Sulfathiazole,0.0,1,1.0,300,300.0,300.0,µg,,,,,,,,,,,9337.0,83.0,38,23241,1,2017-02-10 09:57:45
10458,Ciprofloxacin,0.0,1,1.0,5,5.0,5.0,µg,,,,,,,,,,,100241.0,84.0,38,23241,1,2017-02-10 09:57:45
10459,Carbenicillin,0.0,1,1.0,100,100.0,100.0,µg (disc),,,,,,,,,,,3393.0,85.0,38,23241,1,2017-02-10 09:57:45
10460,Penicillin,0.0,1,,,,,,,,,,,1.0,20,20.0,20.0,Unit (disc),17334.0,86.0,60,23246,1,2017-02-10 09:57:45
10461,Bacitracin,0.0,1,,,,,,,,,,,1.0,,,,,28669.0,87.0,60,23246,1,2017-02-10 09:57:45
10462,Gentamicin,0.0,1,,,,,,,,,,,1.0,,,,,17833.0,88.0,60,23246,1,2017-02-10 09:57:45
10463,Lincomycin,0.0,1,,,,,,,,,,,1.0,,,,,6472.0,89.0,60,23246,1,2017-02-10 09:57:45
10464,Polymyxin B,0.0,1,1.0,100,100.0,100.0,Unit (disc),,,,,,,,,,,8309.0,90.0,60,23246,1,2017-02-10 09:57:45
10465,Fusidic acid,0.0,1,1.0,0.5,0.5,0.5,µg (disc),,,,,,,,,,,29013.0,91.0,60,23246,1,2017-02-10 09:57:45
10466,Chloramphenicol,0.0,1,1.0,100,100.0,100.0,µg (disc),,,,,,,,,,,17698.0,92.0,60,23246,1,2017-02-10 09:57:45
10467,Streptomycin,0.0,1,1.0,50,50.0,50.0,µg (disc),,,,,,,,,,,17076.0,93.0,60,23246,1,2017-02-10 09:57:45
10468,Amikacin,0.0,1,1.0,,,,,,,,,,,,,,,2637.0,94.0,60,23246,1,2017-02-10 09:57:45
10469,Erythromycin,0.0,1,1.0,,,,,,,,,,,,,,,48923.0,95.0,60,23246,1,2017-02-10 09:57:45
10470,Kanamycin,0.0,1,1.0,,,,,,,,,,,,,,,6104.0,96.0,60,23246,1,2017-02-10 09:57:45
10471,Neomycin,0.0,1,1.0,,,,,,,,,,,,,,,7507.0,97.0,60,23246,1,2017-02-10 09:57:45
10472,Tetracycline,0.0,1,1.0,,,,,,,,,,,,,,,27902.0,98.0,60,23246,1,2017-02-10 09:57:45
10473,Vancomycin,0.0,1,1.0,,,,,,,,,,,,,,,28001.0,99.0,60,23246,1,2017-02-10 09:57:45
10474,Paromomycin sulfate,0.0,1,,,,,,1.0,2-10,2.0,10.0,µg/mL,,,,,,7935.0,100.0,64,23248,1,2017-08-25 13:04:47
10475,Penicillin,0.0,1,,,,,,1.0,8,8.0,8.0,µg/mL,,,,,,17334.0,101.0,64,23248,1,2017-02-10 09:57:45
10476,Neomycin,0.0,1,1.0,0.5-1,0.5,1.0,µg/mL,,,,,,,,,,,7507.0,102.0,64,23248,1,2017-08-25 13:05:28
10477,Enoxacin,0.0,1,,,,,,,,,,,1.0,,,,,157175.0,103.0,71,23250,1,2017-02-10 09:57:45
10478,Trimethoprim,0.0,1,,,,,,,,,,,1.0,,,,,45924.0,104.0,71,23250,1,2017-02-10 09:57:45
10479,Amikacin,0.0,1,1.0,,,,,,,,,,,,,,,2637.0,105.0,71,23250,1,2017-02-10 09:57:45
10480,Amoxicillin,0.0,1,1.0,,,,,,,,,,,,,,,2676.0,106.0,71,23250,1,2017-02-10 09:57:45
10481,Ampicillin,0.0,1,1.0,,,,,,,,,,,,,,,28971.0,107.0,71,23250,1,2017-02-10 09:57:45
10482,Cefaclor,0.0,1,1.0,,,,,,,,,,,,,,,3478.0,108.0,71,23250,1,2017-02-10 09:57:45
10483,Cefazolin,0.0,1,1.0,,,,,,,,,,,,,,,474053.0,109.0,71,23250,1,2017-02-10 09:57:45
10484,Cefoperazone,0.0,1,1.0,,,,,,,,,,,,,,,3493.0,110.0,71,23250,1,2017-02-10 09:57:45
10485,Ceftazidime,0.0,1,1.0,,,,,,,,,,,,,,,3508.0,111.0,71,23250,1,2017-02-10 09:57:45
10486,Cefuroxime,0.0,1,1.0,,,,,,,,,,,,,,,3515.0,112.0,71,23250,1,2017-02-10 09:57:45
10487,Cephalothin,0.0,1,1.0,,,,,,,,,,,,,,,3542.0,113.0,71,23250,1,2017-02-10 09:57:45
10488,Cephotaxime,0.0,1,1.0,,,,,,,,,,,,,,,204928.0,114.0,71,23250,1,2017-02-10 09:57:45
10489,Chloramphenicol,0.0,1,1.0,,,,,,,,,,,,,,,17698.0,115.0,71,23250,1,2017-02-10 09:57:45
10490,Ciprofloxacin,0.0,1,1.0,,,,,,,,,,,,,,,100241.0,116.0,71,23250,1,2017-02-10 09:57:45
10491,Doxycycline,0.0,1,1.0,,,,,,,,,,,,,,,50845.0,117.0,71,23250,1,2017-02-10 09:57:45
10492,Erythromycin,0.0,1,1.0,,,,,,,,,,,,,,,48923.0,118.0,71,23250,1,2017-02-10 09:57:45
10493,Fleroxacin,0.0,1,1.0,,,,,,,,,,,,,,,31810.0,119.0,71,23250,1,2017-02-10 09:57:45
10494,Gentamicin,0.0,1,1.0,,,,,,,,,,,,,,,17833.0,120.0,71,23250,1,2017-02-10 09:57:45
10495,Kanamycin,0.0,1,1.0,,,,,,,,,,,,,,,6104.0,121.0,71,23250,1,2017-02-10 09:57:45
10496,Levofloxacin,0.0,1,1.0,,,,,,,,,,,,,,,63598.0,122.0,71,23250,1,2017-02-10 09:57:45
10497,Lomefloxacin,0.0,1,1.0,,,,,,,,,,,,,,,116278.0,123.0,71,23250,1,2017-02-10 09:57:45
10498,Minocycline,0.0,1,1.0,,,,,,,,,,,,,,,50694.0,124.0,71,23250,1,2017-02-10 09:57:45
10499,Nitrofurantoin,0.0,1,1.0,,,,,,,,,,,,,,,71415.0,125.0,71,23250,1,2017-02-10 09:57:45
10500,Norfloxacin,0.0,1,1.0,,,,,,,,,,,,,,,100246.0,126.0,71,23250,1,2017-02-10 09:57:45
10501,Piperacillin,0.0,1,1.0,,,,,,,,,,,,,,,8232.0,127.0,71,23250,1,2017-02-10 09:57:45
10502,Polymyxin,0.0,1,1.0,,,,,,,,,,,,,,,59062.0,128.0,71,23250,1,2017-02-10 09:57:45
10503,Streptomycin,0.0,1,1.0,,,,,,,,,,,,,,,17076.0,129.0,71,23250,1,2017-02-10 09:57:45
10504,Tazobactam,0.0,1,1.0,,,,,,,,,,,,,,,9421.0,130.0,71,23250,1,2017-02-10 09:57:45
10505,Tetracycline,0.0,1,1.0,,,,,,,,,,,,,,,27902.0,131.0,71,23250,1,2017-02-10 09:57:45
10506,Tobramycin,0.0,1,1.0,,,,,,,,,,,,,,,28864.0,132.0,71,23250,1,2017-02-10 09:57:45
10507,Bacitracin,0.0,1,,,,,,,,,,,1.0,10,10.0,10.0,Unit,28669.0,133.0,72,22959,1,2017-02-10 09:57:45
10508,Penicillin,0.0,1,,,,,,,,,,,1.0,10,10.0,10.0,Unit,17334.0,134.0,72,22959,1,2017-02-10 09:57:45
10509,Neomycin,0.0,1,,,,,,,,,,,1.0,10,10.0,10.0,µg (disc),7507.0,135.0,72,22959,1,2017-02-10 09:57:45
10510,Streptomycin,0.0,1,,,,,,,,,,,1.0,10,10.0,10.0,µg (disc),17076.0,136.0,72,22959,1,2017-02-10 09:57:45
10511,Erythromycin,0.0,1,,,,,,,,,,,1.0,15,15.0,15.0,µg (disc),48923.0,137.0,72,22959,1,2017-02-10 09:57:45
10512,Cephalothin,0.0,1,,,,,,,,,,,1.0,30,30.0,30.0,µg (disc),3542.0,138.0,72,22959,1,2017-02-10 09:57:45
10513,Chloramphenicol,0.0,1,,,,,,,,,,,1.0,30,30.0,30.0,µg (disc),17698.0,139.0,72,22959,1,2017-02-10 09:57:45
10514,Kanamycin,0.0,1,,,,,,,,,,,1.0,30,30.0,30.0,µg (disc),6104.0,140.0,72,22959,1,2017-02-10 09:57:45
10515,Nalidixic acid,0.0,1,,,,,,,,,,,1.0,30,30.0,30.0,µg (disc),100147.0,141.0,72,22959,1,2017-02-10 09:57:45
10516,Novobiocin,0.0,1,,,,,,,,,,,1.0,30,30.0,30.0,µg (disc),28368.0,142.0,72,22959,1,2017-02-10 09:57:45
10517,Rifampicin,0.0,1,,,,,,,,,,,1.0,30,30.0,30.0,µg (disc),28077.0,143.0,72,22959,1,2017-02-10 09:57:45
10518,Tetracycline,0.0,1,,,,,,,,,,,1.0,30,30.0,30.0,µg (disc),27902.0,144.0,72,22959,1,2017-02-10 09:57:45
10519,Vancomycin,0.0,1,,,,,,,,,,,1.0,30,30.0,30.0,µg (disc),28001.0,145.0,72,22959,1,2017-02-10 09:57:45
10520,Amikacin,0.0,1,,,,,,,,,,,1.0,,,,,2637.0,146.0,73,22960,1,2017-02-10 09:57:45
10521,Ciprofloxacin,0.0,1,,,,,,,,,,,1.0,,,,,100241.0,147.0,73,22960,1,2017-02-10 09:57:45
10522,Erythromycin,0.0,1,,,,,,,,,,,1.0,,,,,48923.0,148.0,73,22960,1,2017-02-10 09:57:45
10523,Gentamicin,0.0,1,,,,,,,,,,,1.0,,,,,17833.0,149.0,73,22960,1,2017-02-10 09:57:45
10524,Penicillin G,0.0,1,,,,,,,,,,,1.0,,,,,18208.0,150.0,73,22960,1,2017-02-10 09:57:45
10525,Polymyxin B,0.0,1,,,,,,,,,,,1.0,,,,,8309.0,151.0,73,22960,1,2017-02-10 09:57:45
10526,Streptomycin,0.0,1,,,,,,,,,,,1.0,,,,,17076.0,152.0,73,22960,1,2017-02-10 09:57:45
10527,Vancomycin,0.0,1,,,,,,,,,,,1.0,,,,,28001.0,153.0,73,22960,1,2017-02-10 09:57:45
10528,Chloramphenicol,0.0,1,1.0,,,,,,,,,,,,,,,17698.0,154.0,73,22960,1,2017-02-10 09:57:45
10529,Chlortetracyclin,0.0,1,1.0,,,,,,,,,,,,,,,27644.0,155.0,73,22960,1,2017-02-10 09:57:45
10530,Kanamycin,0.0,1,1.0,,,,,,,,,,,,,,,6104.0,156.0,73,22960,1,2017-02-10 09:57:45
10531,Nalidixic acid,0.0,1,1.0,,,,,,,,,,,,,,,100147.0,157.0,73,22960,1,2017-02-10 09:57:45
10532,Netilmycin,0.0,1,1.0,,,,,,,,,,,,,,,7528.0,158.0,73,22960,1,2017-02-10 09:57:45
10533,Novobiocin,0.0,1,1.0,,,,,,,,,,,,,,,28368.0,159.0,73,22960,1,2017-02-10 09:57:45
10534,Oleandomycin,0.0,1,1.0,,,,,,,,,,,,,,,16869.0,160.0,73,22960,1,2017-02-10 09:57:45
10535,Oxytetracycline,0.0,1,1.0,,,,,,,,,,,,,,,27701.0,161.0,73,22960,1,2017-02-10 09:57:45
10536,Tetracycline,0.0,1,1.0,,,,,,,,,,,,,,,27902.0,162.0,73,22960,1,2017-02-10 09:57:45
10537,Tobramycin,0.0,1,1.0,,,,,,,,,,,,,,,28864.0,163.0,73,22960,1,2017-02-10 09:57:45
10538,Polymyxin B,0.0,1,,,,,,,,,,,1.0,300,300.0,300.0,Unit,8309.0,164.0,76,22961,1,2017-02-10 09:57:45
10539,Ampicillin,0.0,1,,,,,,,,,,,1.0,10,10.0,10.0,µg,28971.0,165.0,76,22961,1,2017-02-10 09:57:45
10540,Fusidic acid,0.0,1,,,,,,,,,,,1.0,10,10.0,10.0,µg,29013.0,166.0,76,22961,1,2017-02-10 09:57:45
10541,Lincomycin,0.0,1,,,,,,,,,,,1.0,15,15.0,15.0,µg,6472.0,167.0,76,22961,1,2017-02-10 09:57:45
10542,Vancomycin,0.0,1,,,,,,,,,,,1.0,30,30.0,30.0,µg,28001.0,168.0,76,22961,1,2017-02-10 09:57:45
10543,Penicillin,0.0,1,1.0,10,10.0,10.0,Unit,,,,,,,,,,,17334.0,169.0,76,22961,1,2017-02-10 09:57:45
10544,Gentamicin,0.0,1,1.0,10,10.0,10.0,µg,,,,,,,,,,,17833.0,170.0,76,22961,1,2017-02-10 09:57:45
10545,Streptomycin,0.0,1,1.0,10,10.0,10.0,µg,,,,,,,,,,,17076.0,171.0,76,22961,1,2017-02-10 09:57:45
10546,Erythromycin,0.0,1,1.0,15,15.0,15.0,µg,,,,,,,,,,,48923.0,172.0,76,22961,1,2017-02-10 09:57:45
10547,Amikacin,0.0,1,1.0,30,30.0,30.0,µg,,,,,,,,,,,2637.0,173.0,76,22961,1,2017-02-10 09:57:45
10548,Cephalothin,0.0,1,1.0,30,30.0,30.0,µg,,,,,,,,,,,3542.0,174.0,76,22961,1,2017-02-10 09:57:45
10549,Cephotaxime,0.0,1,1.0,30,30.0,30.0,µg,,,,,,,,,,,204928.0,175.0,76,22961,1,2017-02-10 09:57:45
10550,Chloramphenicol,0.0,1,1.0,30,30.0,30.0,µg,,,,,,,,,,,17698.0,176.0,76,22961,1,2017-02-10 09:57:45
10551,Kanamycin,0.0,1,1.0,30,30.0,30.0,µg,,,,,,,,,,,6104.0,177.0,76,22961,1,2017-02-10 09:57:45
10552,Nalidixic acid,0.0,1,1.0,30,30.0,30.0,µg,,,,,,,,,,,100147.0,178.0,76,22961,1,2017-02-10 09:57:45
10553,Neomycin,0.0,1,1.0,30,30.0,30.0,µg,,,,,,,,,,,7507.0,179.0,76,22961,1,2017-02-10 09:57:45
10554,Tetracycline,0.0,1,1.0,30,30.0,30.0,µg,,,,,,,,,,,27902.0,180.0,76,22961,1,2017-02-10 09:57:45
10555,Ciprofloxacin,0.0,1,1.0,5,5.0,5.0,µg,,,,,,,,,,,100241.0,181.0,76,22961,1,2017-02-10 09:57:45
10556,Rifampicin,0.0,1,1.0,5,5.0,5.0,µg,,,,,,,,,,,28077.0,182.0,76,22961,1,2017-02-10 09:57:45
10557,Ampicillin,0.0,1,,,,,,,,,,,1.0,,,,,28971.0,183.0,81,22964,1,2017-02-10 09:57:45
10558,Lincomycin,0.0,1,,,,,,,,,,,1.0,,,,,6472.0,184.0,81,22964,1,2017-02-10 09:57:45
10559,Chloramphenicol,0.0,1,1.0,,,,,,,,,,,,,,,17698.0,185.0,81,22964,1,2017-02-10 09:57:45
10560,Gentamicin,0.0,1,1.0,,,,,,,,,,,,,,,17833.0,186.0,81,22964,1,2017-02-10 09:57:45
10561,Kanamycin,0.0,1,1.0,,,,,,,,,,,,,,,6104.0,187.0,81,22964,1,2017-02-10 09:57:45
10562,Neomycin,0.0,1,1.0,,,,,,,,,,,,,,,7507.0,188.0,81,22964,1,2017-02-10 09:57:45
