ID_colony_morphology,medium_name,medium_composition,colony_len,rgStart_len,rgEnd_len,colony_len_unit,colony_width,rgStart_wid,rgEnd_wid,colony_width_unit,colony_shape,colony_color,incubation_period,rgStart,rgEnd,hemolysis_type,hemolysis_ability,ID_strains,ID_reference,manual_annotation,last_change
24,,,,,,,,,,,,,8-14 days,8.0,14.0,,,133,8075,1,2016-10-11 09:37:39
8672,RAE agar,,0.8-1.5,0.8,1.5,mm,,,,,circular,beige,,,,,,11,23232,1,2017-01-23 10:38:41
26,,,,,,,,,,,,,3-7 days,3.0,7.0,,,134,7520,1,2016-10-11 09:37:12
27,,,,,,,,,,,,,3-7 days,3.0,7.0,,,135,16717,1,2016-10-11 09:37:12
28,,,,,,,,,,,,,3-7 days,3.0,7.0,,,136,7665,1,2016-10-11 09:37:12
29,,,,,,,,,,,,,3-7 days,3.0,7.0,,,137,9077,1,2016-10-11 09:37:12
30,,,,,,,,,,,,,3-7 days,3.0,7.0,,,138,16375,1,2016-10-11 09:37:12
31,,,,,,,,,,,,,3-7 days,3.0,7.0,,,139,16353,1,2016-10-11 09:37:12
32,,,,,,,,,,,,,8-14 days,8.0,14.0,,,140,17302,1,2016-10-11 09:37:39
33,,,,,,,,,,,,,8-14 days,8.0,14.0,,,141,16359,1,2016-10-11 09:37:39
34,,,,,,,,,,,,,8-14 days,8.0,14.0,,,142,17422,1,2016-10-11 09:37:39
35,,,,,,,,,,,,,3-7 days,3.0,7.0,,,143,17958,1,2016-10-11 09:37:12
36,,,,,,,,,,,,,3-7 days,3.0,7.0,gamma,,206,17992,1,2016-10-11 09:37:12
37,,,,,,,,,,,,,1-2 days,1.0,2.0,,,207,1211,1,2016-10-11 09:36:20
38,,,,,,,,,,,,,,,,gamma,,208,16682,1,2016-06-24 08:59:10
39,,,,,,,,,,,,,3-7 days,3.0,7.0,gamma,,209,15870,1,2016-10-11 09:37:12
40,,,,,,,,,,,,,1-2 days,1.0,2.0,,,293,18082,1,2016-10-11 09:36:20
41,,,,,,,,,,,,,1-2 days,1.0,2.0,,,297,1075,1,2016-10-11 09:36:20
42,,,,,,,,,,,,,1-2 days,1.0,2.0,gamma,,300,18151,1,2016-10-11 09:36:20
43,,,,,,,,,,,,,1-2 days,1.0,2.0,gamma,,301,18152,1,2016-10-11 09:36:20
44,,,,,,,,,,,,,1-2 days,1.0,2.0,gamma,,302,18153,1,2016-10-11 09:36:20
45,,,,,,,,,,,,,1-2 days,1.0,2.0,gamma,,303,18156,1,2016-10-11 09:36:20
46,,,,,,,,,,,,,1-2 days,1.0,2.0,gamma,,304,18157,1,2016-10-11 09:36:20
47,,,,,,,,,,,,,1-2 days,1.0,2.0,gamma,,305,18159,1,2016-10-11 09:36:20
48,,,,,,,,,,,,,1-2 days,1.0,2.0,gamma,,306,18160,1,2016-10-11 09:36:20
49,,,,,,,,,,,,,1-2 days,1.0,2.0,gamma,,307,18161,1,2016-10-11 09:36:20
50,,,,,,,,,,,,,1-2 days,1.0,2.0,gamma,,308,18173,1,2016-10-11 09:36:20
51,,,,,,,,,,,,,1-2 days,1.0,2.0,,,309,245,1,2016-10-11 09:36:20
52,,,,,,,,,,,,,2-3 days,2.0,3.0,gamma,,320,3912,1,2016-10-11 09:36:41
53,,,,,,,,,,,,,2-3 days,2.0,3.0,,,327,9092,1,2016-10-11 09:36:41
54,,,,,,,,,,,,,1-2 days,1.0,2.0,,,329,589,1,2016-10-11 09:36:20
55,,,,,,,,,,,,,1-2 days,1.0,2.0,,,335,15907,1,2016-10-11 09:36:20
56,,,,,,,,,,,,,2-3 days,2.0,3.0,,,365,18083,1,2016-10-11 09:36:41
57,,,,,,,,,,,,,3-7 days,3.0,7.0,gamma,,366,4030,1,2016-10-11 09:37:12
58,,,,,,,,,,,,,1-2 days,1.0,2.0,,,371,1878,1,2016-10-11 09:36:20
59,,,,,,,,,,,,,1-2 days,1.0,2.0,alpha,,374,2227,1,2016-10-11 09:36:20
60,,,,,,,,,,,,,1-2 days,1.0,2.0,,,375,3892,1,2016-10-11 09:36:20
61,,,,,,,,,,,,,,,,gamma,,376,5042,1,2016-06-24 08:59:10
62,,,,,,,,,,,,,2-3 days,2.0,3.0,,,381,5044,1,2016-10-11 09:36:41
63,,,,,,,,,,,,,1-2 days,1.0,2.0,,,382,4829,1,2016-10-11 09:36:20
64,,,,,,,,,,,,,,,,gamma,,385,17385,1,2016-06-24 08:59:10
65,,,,,,,,,,,,,3-7 days,3.0,7.0,,,387,17702,1,2016-10-11 09:37:12
66,,,,,,,,,,,,,2-3 days,2.0,3.0,,,395,17370,1,2016-10-11 09:36:41
67,,,,,,,,,,,,,2-3 days,2.0,3.0,,,454,18109,1,2016-10-11 09:36:41
68,,,,,,,,,,,,,1-2 days,1.0,2.0,,,469,17512,1,2016-10-11 09:36:20
69,,,,,,,,,,,,,8-14 days,8.0,14.0,,,503,6508,1,2016-10-11 09:37:39
70,,,,,,,,,,,,,8-14 days,8.0,14.0,,,504,6507,1,2016-10-11 09:37:39
71,,,,,,,,,,,,white,,,,,,654,22893,1,2016-06-24 08:59:10
72,,,,,,,,,,,,white,,,,,,790,22903,1,2016-06-24 08:59:10
73,,,,,,,,,,,"round, undulate",white,,,,,,1264,22902,1,2016-06-24 08:59:10
74,,,,,,,,,,,,pink,,,,,,1265,22898,1,2016-06-24 08:59:10
75,,,5 - 8,5.0,8.0,mm,5 - 8,5.0,8.0,mm,,,,,,,,1290,22892,1,2017-07-21 10:08:55
76,,,,,,,,,,,,,>14 days,14.0,14.0,,,1565,2013,1,2016-10-11 09:38:07
77,,,,,,,,,,,,,3-7 days,3.0,7.0,,,1581,1253,1,2016-10-11 09:37:12
78,,,,,,,,,,,,,1-2 days,1.0,2.0,gamma,,1583,9017,1,2016-10-11 09:36:20
79,,,,,,,,,,,,,1-2 days,1.0,2.0,,,1584,762,1,2016-10-11 09:36:20
80,,,,,,,,,,,,,1-2 days,1.0,2.0,alpha,,1585,979,1,2016-10-11 09:36:20
81,,,,,,,,,,,,,2-3 days,2.0,3.0,,,1587,3680,1,2016-10-11 09:36:41
82,,,,,,,,,,,,,2-3 days,2.0,3.0,,,1589,3682,1,2016-10-11 09:36:41
83,,,,,,,,,,,,,1-2 days,1.0,2.0,gamma,,1592,918,1,2016-10-11 09:36:20
84,,,,,,,,,,,,,2-3 days,2.0,3.0,,,1598,3030,1,2016-10-11 09:36:41
85,,,,,,,,,,,,,1-2 days,1.0,2.0,,,1599,714,1,2016-10-11 09:36:20
86,,,,,,,,,,,,,1-2 days,1.0,2.0,,,1600,1004,1,2016-10-11 09:36:20
87,,,,,,,,,,,,,1-2 days,1.0,2.0,gamma,,1601,769,1,2016-10-11 09:36:20
88,,,,,,,,,,,,,1-2 days,1.0,2.0,,,1603,1474,1,2016-10-11 09:36:20
89,,,,,,,,,,,,,1-2 days,1.0,2.0,gamma,,1604,2742,1,2016-10-11 09:36:20
90,,,,,,,,,,,,,3-7 days,3.0,7.0,,,1607,6782,1,2016-10-11 09:37:12
91,,,,,,,,,,,,,2-3 days,2.0,3.0,,,1608,6783,1,2016-10-11 09:36:41
92,,,,,,,,,,,,,1-2 days,1.0,2.0,alpha/beta,,1609,6945,1,2016-10-11 09:36:20
93,,,,,,,,,,,,,1-2 days,1.0,2.0,,,1610,6977,1,2016-10-11 09:36:20
94,,,,,,,,,,,,,1-2 days,1.0,2.0,,,1611,7121,1,2016-10-11 09:36:20
95,,,,,,,,,,,,,1-2 days,1.0,2.0,,,1612,7141,1,2016-10-11 09:36:20
96,,,,,,,,,,,,,2-3 days,2.0,3.0,,,1613,7330,1,2016-10-11 09:36:41
97,,,,,,,,,,,,,2-3 days,2.0,3.0,gamma,,1615,7344,1,2016-10-11 09:36:41
98,,,,,,,,,,,,,1-2 days,1.0,2.0,,,1617,7844,1,2016-10-11 09:36:20
99,,,,,,,,,,,,,1-2 days,1.0,2.0,,,1618,8172,1,2016-10-11 09:36:20
100,,,,,,,,,,,,,1-2 days,1.0,2.0,,,1619,7686,1,2016-10-11 09:36:20
101,,,,,,,,,,,,,2-3 days,2.0,3.0,,,1622,7443,1,2016-10-11 09:36:41
102,,,,,,,,,,,,,1-2 days,1.0,2.0,beta,,1623,5571,1,2016-10-11 09:36:20
103,,,,,,,,,,,,,1-2 days,1.0,2.0,,,1624,8354,1,2016-10-11 09:36:20
104,,,,,,,,,,,,,1-2 days,1.0,2.0,gamma,,1626,7732,1,2016-10-11 09:36:20
105,,,,,,,,,,,,,1-2 days,1.0,2.0,,,1631,17776,1,2016-10-11 09:36:20
106,,,,,,,,,,,,,2-3 days,2.0,3.0,,,1636,15722,1,2016-10-11 09:36:41
107,,,,,,,,,,,,,3-7 days,3.0,7.0,,,1638,15668,1,2016-10-11 09:37:12
108,,,,,,,,,,,,,,,,gamma,,1640,17242,1,2016-06-24 08:59:10
109,,,,,,,,,,,,,,,,gamma,,1641,17241,1,2016-06-24 08:59:10
110,,,,,,,,,,,,,,,,alpha/beta,,1642,17243,1,2016-06-24 08:59:10
111,,,,,,,,,,,,,,,,gamma,,1643,17325,1,2016-06-24 08:59:10
112,,,,,,,,,,,,,,,,gamma,,1644,17324,1,2016-06-24 08:59:10
113,,,,,,,,,,,,,8-14 days,8.0,14.0,,,1645,17826,1,2016-10-11 09:37:39
114,,,,,,,,,,,,,3-7 days,3.0,7.0,,,1655,15888,1,2016-10-11 09:37:12
115,5006,"Medium: 5006Name:              Composition      (g/l)Sucrose	3,0Dextrin	15,0Meat extract	1,0Yeast extract	2,0Tryptone soy broth (Oxoid)	5,0NaCl	0,5K2HPO4    0,5MgSO4 x 7 H2O	0,5FeSO4 x 7 H2O	0,01Agar    20,0 Preparation: Sterilisation:            20 minutes at 121°C  pH before sterilisation:  7,3 Usage: Maintenance Organisms:All Actinomycetes",,,,,,,,,,Zinc yellow (1018),10-14 days,10.0,14.0,,,1678,19736,1,2016-10-11 09:38:49
116,ISP 2,Name: ISP 2 / Yeast Malt Agar (5265); 5265Composition Malt extract 10.0 g/lYeast extract 4.0 g/lGlucose 4.0 g/lAgar 15.0 g/lPreparation:Sterilisation: 20 minutes at 121°CpH before sterilisation: 7.0Usage: Maintenance and TaxonomyOrganisms: All Actinomycetes,,,,,,,,,,,10-14 days,10.0,14.0,,,1678,19736,1,2016-10-11 09:38:49
117,ISP 3,"Name: ISP 3; 5315Composition Dog oat flakes 20.0 g/lTrace element solution (5314) 2.5 ml/l Agar 18.0 g/lPreparation: Oat flakes are cooked for 20 minutes, trace element solution and agar are added (in the case of non rolled oat flakes the suspension has to bee filtrated).Sterilisation: 20 minutes at 121°CpH before sterilisation: 7.8Usage: Maintenance and taxonomy (e.g. SEM As liquid medium for metabolite production)Organisms: All ActinomycetesTrace element solution 5314Name:  Trace element solution 5314; 5314                CompositionCaCl2 x H2O    3.0 g/lFe-III-citrate    1.0 g/lMnSO4    0.2 g/lZnCl2     0.1 g/lCuSO4 x 5 H2O 0.025 g/lSodium tetra borate  0.2 g/lCoCl2 x 6 H2O 0.004 g/lSodium molybdate   0.01 g/lPreparation: Use double destillated water. Sterilisation: 20 minutes at 121°C pH before sterilisation: Usage: Trace element solution for different media Organisms:",,,,,,,,,,,10-14 days,10.0,14.0,,,1678,19736,1,2016-10-11 09:38:49
118,ISP 4,"Name: ISP 4; DSM 547Solution I:Difco soluble starch, 10.0 g. Make a paste of the starch with a small amount of cold distilled water and bring to a volume of 500 ml.Solution II:CaCO3	2.0	gK2HPO4 (anhydrous)	1.0	gMgSO4 x 7 H2O	1.0	gNaCl	1.0	g(NH4)2SO4	2.0	gDistilled water	500.0 mlTrace salt solution (see below)	1.0	mlThe pH should be between 7.0 and 7.4. Do not adjust if it is within this range. Mix solutions I and II together. Add 20.0 g agar. Liquify agar by steaming at 100°C for 10 to 20 min.Trace element solution:FeSO4 x 7 H2O	0.1	gMnCl2 x 4 H2O	0.1	gZnSO4 x 7 H2O	0.1	gDistilled water	100.0 ml",,,,,,,,,,,10-14 days,10.0,14.0,,,1678,19736,1,2016-10-11 09:38:49
119,ISP 3,"Name: ISP 3; 5315Composition Dog oat flakes 20.0 g/lTrace element solution (5314) 2.5 ml/l Agar 18.0 g/lPreparation: Oat flakes are cooked for 20 minutes, trace element solution and agar are added (in the case of non rolled oat flakes the suspension has to bee filtrated).Sterilisation: 20 minutes at 121°CpH before sterilisation: 7.8Usage: Maintenance and taxonomy (e.g. SEM As liquid medium for metabolite production)Organisms: All ActinomycetesTrace element solution 5314Name:  Trace element solution 5314; 5314                CompositionCaCl2 x H2O    3.0 g/lFe-III-citrate    1.0 g/lMnSO4    0.2 g/lZnCl2     0.1 g/lCuSO4 x 5 H2O 0.025 g/lSodium tetra borate  0.2 g/lCoCl2 x 6 H2O 0.004 g/lSodium molybdate   0.01 g/lPreparation: Use double destillated water. Sterilisation: 20 minutes at 121°C pH before sterilisation: Usage: Trace element solution for different media Organisms:",,,,,,,,,,Deep orange,10-14 days,10.0,14.0,,,1681,19796,1,2016-10-11 09:38:49
120,ISP 6,Name: ISP 6 (5318)CompositionPeptone 15.0 g/lProteose peptose 5.0 g/lFerric ammonium citrate 0.5 g/lSodium glycerophosphate 1.0 g/lSodium thiosulfate 0.08 g/lYeast extract 1.0 g/lAgar 15.0 g/lSterilisation:20 minutes at 121°CpH before sterilisation:Usage: Production of melanoid pigmentsOrganisms:All Actinomycetes,,,,,,,,,,Beige,10-14 days,10.0,14.0,,,1681,19796,1,2016-10-11 09:38:49
121,ISP 7,Name: ISP 7 (5322)Composition Glycerol 15.0 g/lL-Tyrosine 0.5 g/lL-Asparagine 1.0 g/lK2HPO4 0.5 g/lNaCl 0.5 g/lFeSO4 x 7 H2O 0.01 g/lTrace element solution 5343 1.0 ml/lAgar 20.0Sterilisation:20 minutes at 121°CpH before sterilisation:7.3Usage:Production of melanoid pigmentsOrganisms:All Actinomycetes,,,,,,,,,,Honey yellow,10-14 days,10.0,14.0,,,1681,19796,1,2016-10-11 09:38:49
122,,,,,,,,,,,round,opaque,,,,,,1757,22917,1,2016-06-24 08:59:10
123,ISP 2,Name: ISP 2 / Yeast Malt Agar (5265); 5265Composition Malt extract 10.0 g/lYeast extract 4.0 g/lGlucose 4.0 g/lAgar 15.0 g/lPreparation:Sterilisation: 20 minutes at 121°CpH before sterilisation: 7.0Usage: Maintenance and TaxonomyOrganisms: All Actinomycetes,,,,,,,,,,Transparent,10-14 days,10.0,14.0,,,1770,18434,1,2016-10-11 09:38:49
124,ISP 3,"Name: ISP 3; 5315Composition Dog oat flakes 20.0 g/lTrace element solution (5314) 2.5 ml/l Agar 18.0 g/lPreparation: Oat flakes are cooked for 20 minutes, trace element solution and agar are added (in the case of non rolled oat flakes the suspension has to bee filtrated).Sterilisation: 20 minutes at 121°CpH before sterilisation: 7.8Usage: Maintenance and taxonomy (e.g. SEM As liquid medium for metabolite production)Organisms: All ActinomycetesTrace element solution 5314Name:  Trace element solution 5314; 5314                CompositionCaCl2 x H2O    3.0 g/lFe-III-citrate    1.0 g/lMnSO4    0.2 g/lZnCl2     0.1 g/lCuSO4 x 5 H2O 0.025 g/lSodium tetra borate  0.2 g/lCoCl2 x 6 H2O 0.004 g/lSodium molybdate   0.01 g/lPreparation: Use double destillated water. Sterilisation: 20 minutes at 121°C pH before sterilisation: Usage: Trace element solution for different media Organisms:",,,,,,,,,,Signal yellow (1003),10-14 days,10.0,14.0,,,1770,18434,1,2016-10-11 09:38:49
125,ISP 4,"Name: ISP 4; DSM 547Solution I:Difco soluble starch, 10.0 g. Make a paste of the starch with a small amount of cold distilled water and bring to a volume of 500 ml.Solution II:CaCO3	2.0	gK2HPO4 (anhydrous)	1.0	gMgSO4 x 7 H2O	1.0	gNaCl	1.0	g(NH4)2SO4	2.0	gDistilled water	500.0 mlTrace salt solution (see below)	1.0	mlThe pH should be between 7.0 and 7.4. Do not adjust if it is within this range. Mix solutions I and II together. Add 20.0 g agar. Liquify agar by steaming at 100°C for 10 to 20 min.Trace element solution:FeSO4 x 7 H2O	0.1	gMnCl2 x 4 H2O	0.1	gZnSO4 x 7 H2O	0.1	gDistilled water	100.0 ml",,,,,,,,,,Beige (1001),10-14 days,10.0,14.0,,,1770,18434,1,2016-10-11 09:38:49
126,ISP 6,Name: ISP 6 (5318)CompositionPeptone 15.0 g/lProteose peptose 5.0 g/lFerric ammonium citrate 0.5 g/lSodium glycerophosphate 1.0 g/lSodium thiosulfate 0.08 g/lYeast extract 1.0 g/lAgar 15.0 g/lSterilisation:20 minutes at 121°CpH before sterilisation:Usage: Production of melanoid pigmentsOrganisms:All Actinomycetes,,,,,,,,,,Beige (1001),10-14 days,10.0,14.0,,,1770,18434,1,2016-10-11 09:38:49
127,ISP 2,Name: ISP 2 / Yeast Malt Agar (5265); 5265Composition Malt extract 10.0 g/lYeast extract 4.0 g/lGlucose 4.0 g/lAgar 15.0 g/lPreparation:Sterilisation: 20 minutes at 121°CpH before sterilisation: 7.0Usage: Maintenance and TaxonomyOrganisms: All Actinomycetes,,,,,,,,,,Beige (1001),10-14 days,10.0,14.0,,,1771,18381,1,2016-10-11 09:38:49
128,ISP 3,"Name: ISP 3; 5315Composition Dog oat flakes 20.0 g/lTrace element solution (5314) 2.5 ml/l Agar 18.0 g/lPreparation: Oat flakes are cooked for 20 minutes, trace element solution and agar are added (in the case of non rolled oat flakes the suspension has to bee filtrated).Sterilisation: 20 minutes at 121°CpH before sterilisation: 7.8Usage: Maintenance and taxonomy (e.g. SEM As liquid medium for metabolite production)Organisms: All ActinomycetesTrace element solution 5314Name:  Trace element solution 5314; 5314                CompositionCaCl2 x H2O    3.0 g/lFe-III-citrate    1.0 g/lMnSO4    0.2 g/lZnCl2     0.1 g/lCuSO4 x 5 H2O 0.025 g/lSodium tetra borate  0.2 g/lCoCl2 x 6 H2O 0.004 g/lSodium molybdate   0.01 g/lPreparation: Use double destillated water. Sterilisation: 20 minutes at 121°C pH before sterilisation: Usage: Trace element solution for different media Organisms:",,,,,,,,,,Beige (1001),10-14 days,10.0,14.0,,,1771,18381,1,2016-10-11 09:38:49
129,ISP 4,"Name: ISP 4; DSM 547Solution I:Difco soluble starch, 10.0 g. Make a paste of the starch with a small amount of cold distilled water and bring to a volume of 500 ml.Solution II:CaCO3	2.0	gK2HPO4 (anhydrous)	1.0	gMgSO4 x 7 H2O	1.0	gNaCl	1.0	g(NH4)2SO4	2.0	gDistilled water	500.0 mlTrace salt solution (see below)	1.0	mlThe pH should be between 7.0 and 7.4. Do not adjust if it is within this range. Mix solutions I and II together. Add 20.0 g agar. Liquify agar by steaming at 100°C for 10 to 20 min.Trace element solution:FeSO4 x 7 H2O	0.1	gMnCl2 x 4 H2O	0.1	gZnSO4 x 7 H2O	0.1	gDistilled water	100.0 ml",,,,,,,,,,Beige (1001),10-14 days,10.0,14.0,,,1771,18381,1,2016-10-11 09:38:49
130,ISP 5,Name: ISP 5 (5323)Composition L-Asparagine 1.0 g/lGlycerol 10.0 g/lK2HPO4 1.0 g/lSalt solution (see preparation) 1.0 ml/lAgar 20.0 g/lPreparation:Salt solution1.0 g FeSO4 x 7 H2O 1.0 g MnCl2 x 4 H2O1.0 g ZNSO4 x 7 H2O in 100 ml waterSterilisation:20 minutes at 121°CpH before sterilisation:7.2Usage:Maintenance and taxonomyOrganisms:All Actinomycetes,,,,,,,,,,Beige (1001),10-14 days,10.0,14.0,,,1771,18381,1,2016-10-11 09:38:49
131,ISP 6,Name: ISP 6 (5318)CompositionPeptone 15.0 g/lProteose peptose 5.0 g/lFerric ammonium citrate 0.5 g/lSodium glycerophosphate 1.0 g/lSodium thiosulfate 0.08 g/lYeast extract 1.0 g/lAgar 15.0 g/lSterilisation:20 minutes at 121°CpH before sterilisation:Usage: Production of melanoid pigmentsOrganisms:All Actinomycetes,,,,,,,,,,Beige (1001),10-14 days,10.0,14.0,,,1771,18381,1,2016-10-11 09:38:49
132,ISP 7,Name: ISP 7 (5322)Composition Glycerol 15.0 g/lL-Tyrosine 0.5 g/lL-Asparagine 1.0 g/lK2HPO4 0.5 g/lNaCl 0.5 g/lFeSO4 x 7 H2O 0.01 g/lTrace element solution 5343 1.0 ml/lAgar 20.0Sterilisation:20 minutes at 121°CpH before sterilisation:7.3Usage:Production of melanoid pigmentsOrganisms:All Actinomycetes,,,,,,,,,,Beige (1001),10-14 days,10.0,14.0,,,1771,18381,1,2016-10-11 09:38:49
133,ISP 2,Name: ISP 2 / Yeast Malt Agar (5265); 5265Composition Malt extract 10.0 g/lYeast extract 4.0 g/lGlucose 4.0 g/lAgar 15.0 g/lPreparation:Sterilisation: 20 minutes at 121°CpH before sterilisation: 7.0Usage: Maintenance and TaxonomyOrganisms: All Actinomycetes,,,,,,,,,,Lemon yellow (1012),10-14 days,10.0,14.0,,,1773,19749,1,2016-10-11 09:38:49
134,ISP 3,"Name: ISP 3; 5315Composition Dog oat flakes 20.0 g/lTrace element solution (5314) 2.5 ml/l Agar 18.0 g/lPreparation: Oat flakes are cooked for 20 minutes, trace element solution and agar are added (in the case of non rolled oat flakes the suspension has to bee filtrated).Sterilisation: 20 minutes at 121°CpH before sterilisation: 7.8Usage: Maintenance and taxonomy (e.g. SEM As liquid medium for metabolite production)Organisms: All ActinomycetesTrace element solution 5314Name:  Trace element solution 5314; 5314                CompositionCaCl2 x H2O    3.0 g/lFe-III-citrate    1.0 g/lMnSO4    0.2 g/lZnCl2     0.1 g/lCuSO4 x 5 H2O 0.025 g/lSodium tetra borate  0.2 g/lCoCl2 x 6 H2O 0.004 g/lSodium molybdate   0.01 g/lPreparation: Use double destillated water. Sterilisation: 20 minutes at 121°C pH before sterilisation: Usage: Trace element solution for different media Organisms:",,,,,,,,,,Lemon yellow (1012),10-14 days,10.0,14.0,,,1773,19749,1,2016-10-11 09:38:49
135,ISP 2,Name: ISP 2 / Yeast Malt Agar (5265); 5265Composition Malt extract 10.0 g/lYeast extract 4.0 g/lGlucose 4.0 g/lAgar 15.0 g/lPreparation:Sterilisation: 20 minutes at 121°CpH before sterilisation: 7.0Usage: Maintenance and TaxonomyOrganisms: All Actinomycetes,,,,,,,,,,Broom yellow (1032),10-14 days,10.0,14.0,,,1774,18343,1,2016-10-11 09:38:49
136,ISP 3,"Name: ISP 3; 5315Composition Dog oat flakes 20.0 g/lTrace element solution (5314) 2.5 ml/l Agar 18.0 g/lPreparation: Oat flakes are cooked for 20 minutes, trace element solution and agar are added (in the case of non rolled oat flakes the suspension has to bee filtrated).Sterilisation: 20 minutes at 121°CpH before sterilisation: 7.8Usage: Maintenance and taxonomy (e.g. SEM As liquid medium for metabolite production)Organisms: All ActinomycetesTrace element solution 5314Name:  Trace element solution 5314; 5314                CompositionCaCl2 x H2O    3.0 g/lFe-III-citrate    1.0 g/lMnSO4    0.2 g/lZnCl2     0.1 g/lCuSO4 x 5 H2O 0.025 g/lSodium tetra borate  0.2 g/lCoCl2 x 6 H2O 0.004 g/lSodium molybdate   0.01 g/lPreparation: Use double destillated water. Sterilisation: 20 minutes at 121°C pH before sterilisation: Usage: Trace element solution for different media Organisms:",,,,,,,,,,Sulfur yellow (1016),10-14 days,10.0,14.0,,,1774,18343,1,2016-10-11 09:38:49
137,ISP 4,"Name: ISP 4; DSM 547Solution I:Difco soluble starch, 10.0 g. Make a paste of the starch with a small amount of cold distilled water and bring to a volume of 500 ml.Solution II:CaCO3	2.0	gK2HPO4 (anhydrous)	1.0	gMgSO4 x 7 H2O	1.0	gNaCl	1.0	g(NH4)2SO4	2.0	gDistilled water	500.0 mlTrace salt solution (see below)	1.0	mlThe pH should be between 7.0 and 7.4. Do not adjust if it is within this range. Mix solutions I and II together. Add 20.0 g agar. Liquify agar by steaming at 100°C for 10 to 20 min.Trace element solution:FeSO4 x 7 H2O	0.1	gMnCl2 x 4 H2O	0.1	gZnSO4 x 7 H2O	0.1	gDistilled water	100.0 ml",,,,,,,,,,Beige (1001),10-14 days,10.0,14.0,,,1774,18343,1,2016-10-11 09:38:49
138,ISP 5,Name: ISP 5 (5323)Composition L-Asparagine 1.0 g/lGlycerol 10.0 g/lK2HPO4 1.0 g/lSalt solution (see preparation) 1.0 ml/lAgar 20.0 g/lPreparation:Salt solution1.0 g FeSO4 x 7 H2O 1.0 g MnCl2 x 4 H2O1.0 g ZNSO4 x 7 H2O in 100 ml waterSterilisation:20 minutes at 121°CpH before sterilisation:7.2Usage:Maintenance and taxonomyOrganisms:All Actinomycetes,,,,,,,,,,Ivory (1014),10-14 days,10.0,14.0,,,1774,18343,1,2016-10-11 09:38:49
139,ISP 6,Name: ISP 6 (5318)CompositionPeptone 15.0 g/lProteose peptose 5.0 g/lFerric ammonium citrate 0.5 g/lSodium glycerophosphate 1.0 g/lSodium thiosulfate 0.08 g/lYeast extract 1.0 g/lAgar 15.0 g/lSterilisation:20 minutes at 121°CpH before sterilisation:Usage: Production of melanoid pigmentsOrganisms:All Actinomycetes,,,,,,,,,,Broom yellow (1032),10-14 days,10.0,14.0,,,1774,18343,1,2016-10-11 09:38:49
