ID_strain_history,history,ID_strains,ID_reference,manual_annotation,last_change
44118,"<- U. Szewzyk, TU Berlin, Environmental Microbiol., Germany; R8-RET-T53-23g <- I. Graeber",23026,19063,1,2019-11-08 07:31:45
44117,"<- M. Halpern, Department of Biology, University of Haifa; AIMA4",2909,8367,1,2019-11-08 07:31:45
44116,"<- M. Halpern, Dept. Biol., Faculty of Sci. and Sci. Education, Univ. Haifa, Oranim, Tivon, Israel <- M. Ben-Harush and M. Ben-Zion; MM2LB",7355,8366,1,2019-11-08 07:31:45
44115,"<- A. Ueki, Yamagata Univ., Tsuruoka, Japan; A48 <- A. Ueki et al.",17877,8362,1,2019-11-08 07:31:45
44114,"<- A. Ueki, Yamagata Univ., Tsuruoka, Japan; RR25 <- A. Ueki et al.",17876,8361,1,2019-11-08 07:31:45
44113,"<- A. Ueki, Yamagata Univ., Tsuruoka, Japan; RR54 <- A. Ueki et al.",17875,8360,1,2019-11-08 07:31:45
44112,"<- C. Sasikala, Centre Environment, Inst. Sci. and Technol., J. N. T. Univ., Hyderabad, India; JA304 <- P. A. Kumar",2494,8358,1,2019-11-08 07:31:45
44111,"<- S. N. Dedysh, RAS, Moscow; MPL 7 <- I. S. Kulichevskaya, RAS, Moscow",11945,7634,1,2019-11-08 07:31:45
44110,"<- KCTC; KCTC 22013 <- O. I. Nedashkovskaya, Pacific Inst. Bioorg. Chem., RAS, Vladivostok, Russia",5485,17258,1,2019-11-08 07:31:45
44109,"<- C. O. Jeon, Gyeongsang Nat. Univ. (GSNU), Jinju, Korea; EMB13",3818,7308,1,2019-11-08 07:31:45
103,"<- IMET <- H. Knöll, K66",2506,103,1,2018-05-31 09:23:47
44108,"<- JCM <- K. W. K. Lau, Hong Kong Univ. of Science and Techn.; UST040201-002",5754,15826,1,2019-11-08 07:31:45
44107,"<- CCUG <- G. D. Inglis, Agriculture and Agri-Food Canada Res. Centre, Lethbridge <- B. M. Hoar, Univ. Calgary, Canada",2139,16626,1,2019-11-08 07:31:45
44106,"<- M. J. Montes, Facultat de Farmacia, Univ. Barcelona; M8",13161,15604,1,2019-11-08 07:31:45
44105,"<- NBRC <- K. Lee, Inha University, Incheon, Korea",6224,15911,1,2019-11-08 07:31:45
44104,"<- KCTC <- D.-C. Yang, Kyung Hee University, Giheung-gu Yongin, South Korea",18155,15950,1,2019-11-08 07:31:45
44103,"<- Guoping Sun <- Xiaowei Cai, JB",3916,7728,1,2019-11-08 07:31:45
44102,"<- LMG <- Z.-Y. Hu, Ocean Univ. China, Qingdao, P. R. China; c121",6237,15901,1,2019-11-08 07:31:45
44101,"<- S. Thijs, Hasselt Univ., Diepenbeek, Belgium; P6BS-III",158131,64710,1,2019-11-08 07:31:45
44100,<- CIP <- CCUG,1893,16179,1,2019-11-08 07:31:45
44099,<- CIP <- CCUG <- ?,1892,16310,1,2019-11-08 07:31:45
44098,"<- CCUG <- J. H. Yoon, Korea Res. Inst. Biosci. & Biotechnol. (KRIBB), Taejon, South Korea",6236,16028,1,2019-11-08 07:31:45
44097,"<- C. Sasikala, Bacterial Discovery Lab., Centre Environment, Inst. Sci. and Technol., J. N. T. Univ., Hyderabad, India; JA131 <- P. A. Kumar",13963,8404,1,2019-11-08 07:31:45
44096,"<- C. Sasikala, Bacterial Discovery Lab., Centre Environment, Inst. Sci. and Technol., J. N. T. Univ., Hyderabad, India; JA135 <- S. K. Chakravarthy, School of Life Sci., J. N. T. Univ., Hyderabad, India",13962,7816,1,2019-11-08 07:31:45
44095,"<- C.-J. Kim, KRIBB; A9500 <- D.-J. Park",16785,12332,1,2019-11-08 07:31:45
44094,"<- LMG; LMG 23779 <- D.-H. Roh <- J. H. Choi, Chungbuk Natl. Univ., Republic of Korea; JH1",11965,16172,1,2019-11-08 07:31:45
44092,<- JCM <- IAM <- S.-Y. An et al.; IGA7-4,1352,15811,1,2019-11-08 07:31:45
44093,<- JCM <- IAM <- S.-Y. An et al.; Shu-P-Ggiii25-2,1406,15844,1,2019-11-08 07:31:45
44091,"<- LMG <- W.-M. Chen, Natl. Kaohsiung Marine Univ. Taiwan; phenol-A",3915,16262,1,2019-11-08 07:31:45
44090,"<- D. P. Labeda, NRRL; NRRL B-24477 <- S. Omura; KV-744",7796,16298,1,2019-11-08 07:31:45
44089,<- JCM <- S. D. Lee; KSW2-17,7497,15787,1,2019-11-08 07:31:45
44088,<- JCM <- J.-H. Yoon; DS-17,11130,15789,1,2019-11-08 07:31:45
44087,"<- T. Itoh, JCM/RIKEN; IC-189",18138,7731,1,2019-11-08 07:31:45
44086,"<- A. Ventosa, Univ. Seville, Dept. Microbiol. Parasitol., Spain; EJ 32",132876,24664,1,2019-11-08 07:31:45
44085,"<- T. Kudo, JCM (<I>Sphaerosporangium</I> <I>rubeum</I>) <- I. Ara; 3D-72(35)",16625,12105,1,2019-11-08 07:31:45
44084,<- T. Kudo (<I>Sphaerosporangium</I> <I>melleum</I>) <- I. Ara; 3-28(8),16624,12207,1,2019-11-08 07:31:45
44083,"<- JCM <- KCC <- ATCC <- Chas. Pfizer & Co., FD 25488 (<I>Streptosporangium cinnabarinum</I>)",16623,11479,1,2019-11-08 07:31:45
44082,<- JCM/RIKEN <- T. Kudo <- I. Ara; 16-5-14,16565,15467,1,2019-11-08 07:31:45
44081,"<- JCM/RIKEN <- B. Li et al., Inst. Molecular and Cellular Biosci., Univ. Tokyo, Japan; RC825",11129,16105,1,2019-11-08 07:31:45
44080,<- JCM/RIKEN <- I. Ara; 3-54(41),8041,15465,1,2019-11-08 07:31:45
44079,"<- Hiroaki Kasai <- M. Hirose, 04PA2-Co5-61",6266,7615,1,2019-11-08 07:31:45
44078,"<- J. M. Cifuentes, Pontificia Univ. Javeriana, Bogotá, Colombia; P6-2 <- F. Thevenieau {2002}",4062,6571,1,2019-11-08 07:31:45
44077,"<- M. Hedberg, Umea University, Institution of Clinical Microbiology, Div. of Immunology; CD3:32",24341,20741,1,2019-11-08 07:31:45
44076,<- V. Roux; strain 8400706 {2008},12561,15792,1,2019-11-08 07:31:45
44075,<- J. Downes; T05-04 {2008} <- S. J. Hooper,12560,8356,1,2019-11-08 07:31:45
44074,"<- M.-C. Domingo, Centre de recherche en infectiologie, Québec, Canada; CCRI-9842 <- A. Bernal {2004}",2849,8290,1,2019-11-08 07:31:45
44073,"<- E. Allen-Vercoe, Univ. Guelph, Ontario, Canada; 5/1/39 B FAA",140018,42626,1,2019-11-08 07:31:45
44072,<- Chengxu Liu; Walcc:14507,18075,8289,1,2019-11-08 07:31:45
44071,"<- P. Kämpfer, Univ. Giessen; CC-FH12-1",14189,8285,1,2019-11-08 07:31:45
44070,"<- X. Zhang, Shandong Univ., Jinan, China; 382 <- Polar Res. Institute of China, Shanghai, PR China <- Y. Yu",23168,19062,1,2019-11-08 07:31:45
44069,<- M.-C. Domingo; CCRI-16110,17685,8338,1,2019-11-08 07:31:45
44068,"<- IMET <- R.E. Gordon, 788",8571,12596,1,2019-11-08 07:31:45
44067,"<- ATCC <- TMC Collection<- R. Bonicke, SN 286",8413,11557,1,2019-11-08 07:31:45
44066,<- NCTC <- F.M. Perry,8570,11257,1,2019-11-08 07:31:45
44065,"<- I. Tarnok, SN 289 (<I>Mycobacterium borstelense</I> subsp. <I>niacinogenes</I>)",8569,11080,1,2019-11-08 07:31:45
44064,"<- I. Tarnok, SN 288 <- R. Bönicke (<I>Mycobacterium</I> <I>borstelense</I> subsp. <I>niacinogenes</I>) <- G. Meissner",8568,11079,1,2019-11-08 07:31:45
44063,"<- I. Tarnok, SN 287 <- R. Bönicke, 8296 (<I>Mycobacterium</I> <I>borstelense</I>) <- G. Meissner",8567,11078,1,2019-11-08 07:31:45
44062,"<- I. Tarnok <- R. Bonicke, SN 285 (<I>Mycobacterium</I> <I>borstelense</I> subsp. <I>niacinogenes</I>) <- G. Meissner",8565,11076,1,2019-11-08 07:31:45
44061,"<- I. Tarnok, SN 284 <- R. Bönicke (<I>Mycobacterium</I> <I>borstelense</I> subsp. <I>niacinogenes</I>) <- G. Meissner",8564,11075,1,2019-11-08 07:31:45
44060,"<- I. Tarnok (Borstel) <- R. Bönicke, SN 283 (<I>Mycobacterium</I> <I>borstelense</I>) <- G. Meissner",8563,11074,1,2019-11-08 07:31:45
44059,"<- R. Bönicke, SN 282 (<I>Mycobacterium</I> <I>borstelense</I>) <- G. Meissner",8562,11073,1,2019-11-08 07:31:45
44058,"<- K. Kieslich, Schering 237 (<I>Mycobacterium runyonii</I>) <- ATCC <- L.F. Bojalil, 30 <- E.H. Runyon, 380",8561,10925,1,2019-11-08 07:31:45
44057,"<- I. Tarnok, SN 281R (<I>Mycobacterium chelonei</I> subsp. <I>borstelense</I>) <- G. Meissner, 10546",8560,10874,1,2019-11-08 07:31:45
44056,"<- U. Behrendt, Leibniz-Centre Agricultural Landscape Res. (ZALF), Müncheberg, Germany; K134/01",7510,8332,1,2019-11-08 07:31:45
44055,"<- U. Behrendt, Leibniz-Centre Agricultural Landscape Res. (ZALF), Müncheberg, Germany; K 114/01",7257,8331,1,2019-11-08 07:31:45
44054,<- U. Behrendt; K 70/01,7354,8330,1,2019-11-08 07:31:45
44053,"<- X. Y. Han, Clinical Microbiol., Univers. of Texas",10452,8327,1,2019-11-08 07:31:45
44052,"<- M. T. Madigan, Dept. Microbiology, Southern Illinois Univ., Carbondale, USA; HH",6120,8317,1,2019-11-08 07:31:45
44051,"<- C. Sasikala, Centre Environment, Inst. Sci. and Technol., J. N. T. Univ., Hyderabad, India; JA248 <- V. Venkata Ramana",6163,8316,1,2019-11-08 07:31:45
44050,"<- C. Sasikala, Centre Environment, Inst. Sci. and Technol., J. N. T. Univ., Hyderabad, India; JA143 <- P. A. Kumar",14013,8315,1,2019-11-08 07:31:45
44049,"<- C. Sasikala, Bacterial Discovery Lab., Centre Environment, Inst. Sci. and Technol., J. N. T. Univ., Hyderabad, India; JA297 <- P. A. Kumar",13750,8314,1,2019-11-08 07:31:45
44048,"<- C. Sasikala, Centre Environment, Inst. Sci. and Technol., J. N. T. Univ., Hyderabad, India; JA144 <- P. A. Kumar",2437,8313,1,2019-11-08 07:31:45
44047,"<- T. Sa, Chungbuk Natl. Univ., Republic of Korea; CBMB27 <- M. Madhaiyan",7192,8312,1,2019-11-08 07:31:45
44046,"<- S.-K. Tang, Yunnan Univ., Yunnan Inst. Microbiol. (YIM), Kunming, China; YIM 93155",158130,64709,1,2019-11-08 07:31:45
44045,"<- S. D. Lee, Jeju National Univ., Rep. of Korea; RP-B30",11128,8306,1,2019-11-08 07:31:45
44044,"<- S. D. Lee, Jeju National Univ., Rep. of Korea; RP-B26",11127,8305,1,2019-11-08 07:31:45
44043,"<- D. Zeevi Ben Yosef, Ben-Gurion-Univ., Beer-Sheva, Israel; R5 Sph 026 <- E. Ben Dov",17873,8300,1,2019-11-08 07:31:45
44042,"<- J. E. Rau, Zentrum für Umweltforschung und nachhaltige Technologien, Universität Bremen, Bremen; T4 <- B Lübben, Zentrum für Umweltforschung und nachhaltige Technologien, Universität Bremen, Bremen",17711,8299,1,2019-11-08 07:31:45
44041,<- P. Lebaron; 17X/A02/237 <- L. Intertaglia,17900,8292,1,2019-11-08 07:31:45
44040,<- JCM 23209T <- IAM 15448 <- A. Yokota <- TISTR 1750,140017,42625,1,2019-11-08 07:31:45
44039,"<- CCUG; CCUG 52066 <- J. Pinhassi, Dept. Biology and Environmental Sci., Univ. Kalmar, Sweden; MED297",130499,21754,1,2019-11-08 07:31:45
44038,"<- CIP <- J. H. Yoon, Korea Res. Inst. Biosci. & Biotechnol. (KRIBB), Taejon, South Korea; UMS-37",11367,16019,1,2019-11-08 07:31:45
44037,"<- KCTC; KCTC 12575 <- H.-W. Lee, KAIST",13564,17223,1,2019-11-08 07:31:45
44036,"<- KCTC <- J. H. Joon, Korea Res. Inst. Biosci. & Biotechnol. (KRIBB), Taejon, South Korea",2319,17453,1,2019-11-08 07:31:45
44035,<- CCUG <- G. Berg; 1S18,1980,17227,1,2019-11-08 07:31:45
44034,<- CCUG <- G. Berg; A3,1979,17236,1,2019-11-08 07:31:45
44033,<- KCTC <- S. D. Lee; HST3-14,6168,17215,1,2019-11-08 07:31:45
44032,"<- C.-J. Kim, Korea Res. Inst. of Biosci. and Biotechnol. (KRIBB); BH843 <- J.-M. Lim",6062,7222,1,2019-11-08 07:31:45
44031,"<- A. Ventosa <- I.J. Carrasco, CH9d",1548,7388,1,2019-11-08 07:31:45
44030,"<- X.L. Cui, strain YIM Y15",14433,7139,1,2019-11-08 07:31:45
44029,"<- CCUG <- CIP <- H. Marchandin, Montpellier Hosp., Montpellier, France; ADV 255.99",99,15684,1,2019-11-08 07:31:45
44028,"<- J.G. Zeikus, 39E (<I>Clostridium thermohydrosulfuricu</I><I>m</I>)<I></I>",16848,750,1,2019-11-08 07:31:45
44027,"<- Hiroaki Kasai <- Y. Matsuo, YM11-607",7436,7613,1,2019-11-08 07:31:45
44025,"<- JCM <- S. Liu, State Key Lab. Microbial Resources, Inst. Microbiol., Chinese Academy of Sciences, Beijing; Fa-1",5957,17240,1,2019-11-08 07:31:45
44026,"<- Hiroaki Kasai <- Y. Matsuo, YM10-847",7435,7614,1,2019-11-08 07:31:45
44024,<- M. Baele; HS1 {2007},6109,8132,1,2019-11-08 07:31:45
44023,"<- S. D. Lee, Cheju National Univ., Rep. of Korea; GSW-23",6223,8131,1,2019-11-08 07:31:45
44022,"<- S. D. Lee, Cheju National Univ., Rep. of Korea; GSW-2",6200,8130,1,2019-11-08 07:31:45
44021,"<- T. Tóth, Research and Extension Centre for Fruit Growing, Hungary",5048,8263,1,2019-11-08 07:31:45
44020,"<- T. Tóth, Research and Extension Centre for Fruit Growing, Hungary",5047,8260,1,2019-11-08 07:31:45
44019,"<- T. Tóth, Research and Extension Centre for Fruit Growing, Hungary",5046,8259,1,2019-11-08 07:31:45
44018,"<- S. D. Lee, Department of Science Education, Cheju National University; RP-B16",6318,8041,1,2019-11-08 07:31:45
44017,"<- S. D. Lee, Cheju National Univ., Rep. of Korea; CS5-B2",17456,8113,1,2019-11-08 07:31:45
44016,"<- J. Kopecny, Inst. Animal Physiol. and Genetics, Czech Acad. Sci., Prague <- J. Killer; BluCI/TP",1739,8255,1,2019-11-08 07:31:45
44015,"<- S. Szoboszlay, Agruniver Holding, Environmental Management, Res. and Technol. Development Ltd., Hungary; CHB-20p <- S. Szoboszlay and B. Kriszt",5694,8254,1,2019-11-08 07:31:45
44014,"<- T. Kashiwagi, Tokyo University of Science;IZ4B",6674,8253,1,2019-11-08 07:31:45
44012,"<- T. Iino, NBRC; MIC1-18",2287,8236,1,2019-11-08 07:31:45
44013,"<- S. W. Roh, Korea Res. Inst. Biosci. & Biotechnol. (KRIBB), Taejon, South Korea",17468,8251,1,2019-11-08 07:31:45
44011,"<- IMMIB <- A. B. Arun, Dept. Soil and Environmental Sci., Natl. Chung Hsing Univ., Taichung, Taiwan; IMMIB AFH-6",13998,8235,1,2019-11-08 07:31:45
44010,"<- R. Liu, College of Life Science, Nankai University <- S. Zhang, College of Life Science, Nankai University",14256,8232,1,2019-11-08 07:31:45
44009,"<- KCTC <- J.-H. Yoon, Korea Research Institute of Bioscience and Biotechnology (KRIBB), Daejeon, South Korea; DSW-17",131163,22455,1,2019-11-08 07:31:45
44007,"<- P. V. Dunlap, University of Michigan",17236,8406,1,2019-11-08 07:31:45
44008,"<- Y. Muramatsu, Natl. Inst. of Technol. and Evaluation (NITE), Japan; NBRC 102349 <- J. Song, Inha University, Incheon, Korea",17958,8386,1,2019-11-08 07:31:45
44005,"<- CCM <- NCMB <- R. Spencer <- D.L. Georgala, I",17220,990,1,2019-11-08 07:31:45
44006,"<- P. V. Dunlap, University of Michigan",17235,8405,1,2019-11-08 07:31:45
44003,<- JCM <- IAM <- S. Hosoya; IG8,24491,20631,1,2019-11-08 07:31:45
44004,"<- KCTC <- S. T. Lee, KAIST <- W.-T. Im; Gsoil 322",12716,8387,1,2019-11-08 07:31:45
44001,<- K. F. Ottem; GM2212,5749,7692,1,2019-11-08 07:31:45
44002,<- LMG <- J. Mikalsen; 2005/50/F292-6C,5750,17296,1,2019-11-08 07:31:45
44000,<- JCM <- A. Pakdeeto; PN1-2,14432,15818,1,2019-11-08 07:31:45
43999,"<- NRRL; NRRL B24470 <- S. Omura, Kitasato Inst., Tokyo, Japan; KV-657",6245,16287,1,2019-11-08 07:31:45
43998,<- JCM <- J.-H. Yoon; R27,12671,15788,1,2019-11-08 07:31:45
43997,<- JCM/RIKEN <- IAM <- A. Yokota; DS472,11045,15471,1,2019-11-08 07:31:45
43995,"<- C. O. Jeon, Gyeongsang Nat. Univ. (GSNU), Jinju, Korea; EMB 34",5569,7293,1,2019-11-08 07:31:45
43996,<- ATCC <- C.D. Owen (strain 0#319L) <- W. Jensen (<I>Yersinia philomiragia</I>),5748,3207,1,2019-11-08 07:31:45
43993,"<- M. M. Häggblom, Rutgers, State Univ. New Jersey, New Brunswick, USA; KM <- P. Narasingarao {2005}",4225,7466,1,2019-11-08 07:31:45
43994,"<- O. I. Nedashkovskaya, RAS, Pacific Inst. Bioorg. Chem.; KMM 6241 <- V. V. Mikhailov",17710,7044,1,2019-11-08 07:31:45
43992,"<- A. Ventosa <- I.J. Carrasco, CG-15",1277,7387,1,2019-11-08 07:31:45
43991,"<- D. Y. Sorokin, Russian Academy of Sciences, Inst. of Microbiology, Moscow, Russia; HRhD 2 (<i>Thiohalophilus thiocyanoxidans</i>) <- D. Y. Sorokin {2003}",17846,6368,1,2019-11-08 07:31:45
43990,"<- I. Romano, Istituto di Chimica Biomolecolare, Pozzuoli, Napoli; 18bAG",6061,6398,1,2019-11-08 07:31:45
43989,"<- S. Nabhan, Univ. Hannover, Institute for Plant Disease and Plant Protection, Germany; C89.2",131162,22454,1,2019-11-08 07:31:45
43988,"<- DSM 60211 <- L.E. Webb <- S. Köhn, 7/1",4354,9183,1,2019-11-08 07:31:45
43987,"<- S.-W. Kwon, KACC <- H.-Y. Weon; 5516J-36",6288,7590,1,2019-11-08 07:31:45
43986,<- IFO <- IAM <- A. Shimazu,16915,11745,1,2019-11-08 07:31:45
43985,"<- N. Ramesh Kumar, M.S. Swaminathan Research Foundation, Taramani, India",17344,8231,1,2019-11-08 07:31:45
43984,<- M. Miroshnichenko; SR,16790,8226,1,2019-11-08 07:31:45
43983,"<- M. Oggerin de Orube, Centro de Ciencias Medioambientales, CSIC, Madrid, Spain; BF-2819 <- ? <- LMG; LMG 2819 <- F. Hilger (exact strain not specified by LMG)",1672,8225,1,2019-11-08 07:31:45
43982,"<- NCIB <- F. Hilger, 31. Deposited as a strain of <i>Beijerinckia fluminensis</i>. Although this is strain 31 of Hilger and is a strain of <i>Beijerinckia doebereinerae</i> it it not possible to determine whether it is also the type strain of the species since neither CECT, the LMG nor the original publication (13506) record the exact strain designation. See DSM 19635",23788,20926,1,2019-11-08 07:31:45
43981,"<- H.-B. Li, State Key Laboratory for Agrobiotechnol., China Agricultural Univ., Beijing, PR China; XK1",6060,8223,1,2019-11-08 07:31:45
43980,"<- E. Velázquez, Depart. Microbiol. y Gen., Univ. Salamanca, Spain <- M. Grum; PAC68",1816,8222,1,2019-11-08 07:31:45
43979,"<- E. Velázquez, Depart. Microbiol. y Gen., Univ. Salamanca, Spain <- M. Grum; PAC48",1815,8221,1,2019-11-08 07:31:45
43978,"<- W. P. Mac Cormack, Inst. Antártico Argentino, Buenos Aires, Argentina; JUB59",5714,8220,1,2019-11-08 07:31:45
43977,"<- N. S. Gordon, Univ. Montana, Missoula, USA; G-1 <- J. L. Pollock {2005}",14112,8218,1,2019-11-08 07:31:45
43976,"<- N. S. Gordon, Univ. Montana, Missoula, USA; NWG-II14 <- N. S. Gordon {2004}",14111,8217,1,2019-11-08 07:31:45
43975,"<- N. S. Gordon, Univ. Montana, Missoula, USA; NWER-II11",14110,8216,1,2019-11-08 07:31:45
43974,"<- R. A. Albert, Kleen Test Products, Port Washington, USA; SRNK-1",23342,19073,1,2019-11-08 07:31:45
43973,"<- R. A. Albert, Kleen Test Products, Port Washington, USA; W1215-PCA-4",17414,8211,1,2019-11-08 07:31:45
43972,<- E. Tortoli; FI-06250 <- C. Sturla,8559,12379,1,2019-11-08 07:31:45
43971,<- E. Tortoli; FI-06215 <- M. Spinelli,8558,12378,1,2019-11-08 07:31:45
43970,<- E. Tortoli; FI-05244 <- S. Pierdomenico,8557,12377,1,2019-11-08 07:31:45
43969,<- J. B. Olson; RB72 <- M. H. Farris,16439,10449,1,2019-11-08 07:31:45
43967,<- C. Urzi; BC631,11081,8204,1,2019-11-08 07:31:45
43968,<- C. Urzi; BC633,11082,8205,1,2019-11-08 07:31:45
43965,"<- L. De Vuyst, Vrije Univ. Brussels, Belgium; 985 <- N. Camu",23,8200,1,2019-11-08 07:31:45
43966,"<- C.-C. Young, Dept. Soil and Environmental Sci., Natl. Chung Hsing Univ., Taichung, Taiwan; CC4",17442,8202,1,2019-11-08 07:31:45
43964,"<- S. W. Roh, Korea Res. Inst. Biosci. & Biotechnol. (KRIBB), Taejon, South Korea; Iso4",6221,8199,1,2019-11-08 07:31:45
43963,"<- S. W. Roh, Korea Res. Inst. of Biosci. and Biotechnol. (KRIBB); EN5",5732,8196,1,2019-11-08 07:31:45
43962,"<- E. Stackebrandt <- A. Frühling <- E. Brambilla, DSMZ",5244,8191,1,2019-11-08 07:31:45
43961,"<- S. Nair, M.S. Swaminathan Research Foundation <- N. Ramesh kumar, M.S. Swaminathan Research Foundation, Taramani, India",5243,8190,1,2019-11-08 07:31:45
43960,"<- T. D. Niederberger and L.G. Whyte, Department of Natural Resource Sciences, McGill University, Canada <- B. Steven; Hal1",1487,8188,1,2019-11-08 07:31:45
43959,"<- A. Ueki, Yamagata Univ., Tsuruoka, Japan; CDT-1",2848,8187,1,2019-11-08 07:31:45
43958,"<- Y. Kasai, Marine Biotechnol. Inst., Kamaishi, Japan; C02 <- T. U. Harwati",13842,8176,1,2019-11-08 07:31:45
43957,"<- A.-L. Reysenbach, Dept. Biology, Portland State Univ., USA; CR11",525,8174,1,2019-11-08 07:31:45
43956,"<- B. C. Cho, Seoul Natl. Univ., Republic of Korea; CL-ES53",17787,8167,1,2019-11-08 07:31:45
43955,"<- Y. Kasai, Marine Biotechnol. Inst., Kamaishi, Japan; B51 <- T. U. Harwati",13841,8166,1,2019-11-08 07:31:45
43954,"<- Y. Kasai, Marine Biotechnol. Inst., Kamaishi, Japan; A34 <- T. U. Harwati",13840,8165,1,2019-11-08 07:31:45
