FA_meta_ID,FA_type,FA_medium,FA_agar_liquid,FA_temp,FA_time,FA_pH,FA_oxygen,FA_cond,FA_soft,FA_lib,FA_system,FA_instrument,FA_method,FA_cutoff,last_change
42,whole cell analysis,"Tryptic soy agar (TSA, Oxoid)",agar,30,3,,,,Sherlock 5.0,ACTINO,MIS MIDI,Agilent 6850,Sasser 1990,1.0,2017-11-20 14:52:42
12,whole cell analysis,R2A,agar,28,4,,,,Sherlock 5.0,TSBA 50,MIS MIDI,,Sasser 1990,1.0,2017-11-20 14:52:42
13,whole cell analysis,R2A,agar,28,3,,,,Sherlock 5.0,TSBA 50,MIS MIDI,,Sasser 1990,1.0,2017-11-20 14:52:42
147,whole cell analysis,YMA (yeast extract mannitol agar),agar,30,2,,,,Sherlock 6.0,RTSBA 6,MIS MIDI,,Sasser 1990,1.0,2017-11-20 14:52:42
20,whole cell analysis,R2A,agar,25,2,,,,Sherlock 6.0,RTSBA 6,MIS MIDI,Hewlett-Packard 5890 Series II,Sasser 1990,1.0,2017-11-20 14:52:42
28,whole cell analysis,Nutrient agar (NA),agar,30,2,,,,Sherlock 6.0,RTSBA 6,MIS MIDI,Agilent 7890A,Sasser 1990,1.0,2017-11-20 14:52:42
50,whole cell analysis,R2A,agar,25,3,,,,Sherlock 6.0,RTSBA 6,MIS MIDI,5890 Series II; Hewlett-Packard,Sasser 1990,1.0,2017-11-20 14:52:42
77,whole cell analysis,Van Niel’s yeast,agar,30,2,,,,Sherlock 6.0,RTSBA 6,MIS MIDI,,Sasser 1990,,2017-11-20 14:52:42
112,whole cell analysis,yeast-dextrose broth,liquid,30,5,7.00,,,Sherlock 6.0,RTSBA 6,MIS MIDI,,Sasser 1990,0.0,2017-11-20 14:52:42
122,whole cell analysis,Nutrient agar (NA),agar,,2,,,,Sherlock 6.0,RTSBA 6,MIS MIDI,,Sasser 1990,1.0,2017-11-20 14:52:42
127,whole cell analysis,Nutrient agar (NA),agar,30,2,,,,Sherlock 6.0,RTSBA 6,MIS MIDI,,Sasser 1990,1.0,2017-11-20 14:52:42
149,whole cell analysis,Marine Agar (MA),agar,25,2,,,,Sherlock 6.0,RTSBA 6,MIS MIDI,,Sasser 1990,,2017-11-20 14:52:42
156,whole cell analysis,Nutrient agar (NA),agar,30,,6.00,,,Sherlock 6.0,RTSBA 6,MIS MIDI,,Sasser 1990,1.0,2017-11-20 14:52:42
22,whole cell analysis,LB,agar,26,1,,,,Sherlock 6.0,RTSBA 6,MIS MIDI,Agilent 6890N,,0.0,2017-11-20 14:52:42
51,whole cell analysis,R2A,agar,25,2,,,,Sherlock 6.0,RTSBA 6,MIS MIDI,,,1.0,2017-11-20 14:52:42
65,whole cell analysis,R2A,agar,25,3,,,,Sherlock 6.0,RTSBA 6,MIS MIDI,,,1.0,2017-11-20 14:52:42
29,whole cell analysis,Tryptic soy agar (TSA),agar,30,1,,,,Sherlock 6.0,TSBA 4.0,MIS MIDI,,,1.0,2017-11-20 14:52:42
2,whole cell analysis,MA (marine broth),,30,2,,,,Sherlock 6.0,TSBA 6,MIS MIDI,,Sasser 1990,1.0,2017-11-20 14:52:42
19,whole cell analysis,R2A,agar,28,,,,,Sherlock 6.0,TSBA 6,MIS MIDI,Hewlett Packard 6890N,Sasser 1990,1.0,2017-11-20 14:52:42
23,whole cell analysis,tryptical soy broth (TSB),liquid,28,3,,,,Sherlock 6.0,TSBA 6,MIS MIDI,,Sasser 1990,,2017-11-20 14:52:42
102,whole cell analysis,R2A,agar,28,2,,,,Sherlock 6.0,TSBA 6,MIS MIDI,,Sasser 1990,,2017-11-20 14:52:42
114,whole cell analysis,TBS (Difco),liquid,28,5,,,,Sherlock 6.0,TSBA 6,MIS MIDI,,Sasser 1990,0.0,2017-11-20 14:52:42
119,whole cell analysis,Tryptic soy agar (TSA),agar,25,3,,,,Sherlock 6.0,TSBA 6,MIS MIDI,,Sasser 1990,,2017-11-20 14:52:42
155,whole cell analysis,ISP2 seawater broth,liquid,30,7,,,,Sherlock 6.0,TSBA 6,MIS MIDI,,Sasser 1990,,2017-11-20 14:52:42
161,whole cell analysis,ISP2,liquid,28,5,,,,Sherlock 6.0,TSBA 6,MIS MIDI,,Sasser 1990,0.0,2017-11-20 14:52:42
18,whole cell analysis,R2A,agar,28,,,,,Sherlock 6.0,TSBA 6,MIS MIDI,"Hewlett Packard, 6890N",,1.0,2017-11-20 14:52:42
71,whole cell analysis,Tryptic soy agar (TSA),agar,37,2,,,,Sherlock 6.0,TSBA 6,MIS MIDI,,,1.0,2017-11-20 14:52:42
82,whole cell analysis,SCD,agar,30,3,,,,Sherlock 6.0,TSBA 6,MIS MIDI,,,,2017-11-20 14:52:42
116,whole cell analysis,TSB (Tripticase soy broth),liquid,,,,,,Sherlock 6.0,TSBA 6,MIS MIDI,,,0.0,2017-11-20 14:52:42
33,whole cell analysis,R2A,agar,30,2,,,,Sherlock 6.0,TSBA 60,MIS MIDI,"6890, Hewlett Packard",Sasser 1990,10.0,2017-11-20 14:52:42
35,whole cell analysis,trypticase soy broth agar (TSBA),agar,28,1,,,,Sherlock 6.0,TSBA 60,MIS MIDI,"Agilent, 6890 N",,,2017-11-20 14:52:42
143,whole cell analysis,TSB,liquid,30,1,,,,Sherlock 6.0,,MIS MIDI,,Sasser 1990,,2017-11-20 14:52:42
152,whole cell analysis,Mueller Hinton agar,agar,30,2,,,,Sherlock 6.0,,MIS MIDI,,Sasser 2001,0.0,2017-11-20 14:52:42
153,whole cell analysis,Mueller Hinton agar,agar,30,2,,,,Sherlock 6.0,,MIS MIDI,,Sasser 2001,0.0,2017-11-20 14:52:42
10,whole cell analysis,See reference,,,,,,,Sherlock 6.0,,MIS MIDI,,,1.0,2017-11-20 14:52:42
14,whole cell analysis,See reference,,10,10,,,,Sherlock 6.0,,MIS MIDI,,,1.0,2017-11-20 14:52:42
58,whole cell analysis,NBRC medium no. 802 (Wako Pure Chemical Industries),agar,25,1,,,,Sherlock 6.0,,MIS MIDI,,,,2017-11-20 14:52:42
125,whole cell analysis,ISP4,liquid,37,7,,,,Sherlock 6.0,,MIS MIDI,,,,2017-11-20 14:52:42
134,whole cell analysis,R2A,agar,15,7,,,,Sherlock 6.0,,MIS MIDI,,,1.0,2017-11-20 14:52:42
142,whole cell analysis,TSB,liquid,30,,,,,Sherlock 6.0,,MIS MIDI,,,,2017-11-20 14:52:42
37,whole cell analysis,R2A,agar,30,3,,,,Sherlock 6.01,TSBA 6,MIS MIDI,,Kuykendall et al. 1988,0.0,2017-11-20 14:52:42
162,whole cell analysis,TSB (Tryptic Soy broth),liquid,28,14,,,,Sherlock 6.0B,TSBA 6,MIS MIDI,,Sasser 1990,,2017-11-20 14:52:42
21,whole cell analysis,Marine broth (MB; BD),liquid,,,,,,Sherlock 6.0B,TSBA 6,MIS MIDI,"6890, Hewlett Packard",Sasser 1990,1.0,2017-11-20 14:52:42
87,whole cell analysis,marine broth (MB),,,,,,,Sherlock 6.0B,TSBA 6,MIS MIDI,,Sasser 1990,1.0,2017-11-20 14:52:42
88,whole cell analysis,marine broth (MB),,,,,,,Sherlock 6.0B,TSBA 6,MIS MIDI,,Sasser 1990,1.0,2017-11-20 14:52:42
89,whole cell analysis,Marine Agar (MA),agar,,,,,,Sherlock 6.0B,TSBA 6,MIS MIDI,,Sasser 1990,1.0,2017-11-20 14:52:42
92,whole cell analysis,R2A,agar,30,3,,,,Sherlock 6.0B,TSBA 6,MIS MIDI,,Sasser 1990,1.0,2017-11-20 14:52:42
131,whole cell analysis,Tryptic soy agar (TSA),agar,28,3,,,,Sherlock 6.0B,TSBA 6,MIS MIDI,,Sasser 1990,,2017-11-20 14:52:42
150,whole cell analysis,Tryptic soy agar (TSA),agar,28,2,,,,Sherlock 6.0B,TSBA 6,MIS MIDI,,Sasser 1990,0.0,2017-11-20 14:52:42
163,whole cell analysis,ISP2,liquid,28,7,,,,Sherlock 6.0B,TSBA 6,MIS MIDI,,Sasser 1990,,2017-11-20 14:52:42
164,whole cell analysis,R2A,liquid,30,,,,,Sherlock 6.0B,TSBA 6,MIS MIDI,,Sasser 1990,1.0,2017-11-20 14:52:42
61,whole cell analysis,R2A,agar,28,3,,,,Sherlock 6.0B,TSBA 6,MIS MIDI,,,,2017-11-20 14:52:42
62,whole cell analysis,R2A,liquid,30,,,,,Sherlock 6.0B,TSBA 6,MIS MIDI,,,1.0,2017-11-20 14:52:42
130,whole cell analysis,Tryptic soy agar (TSA),agar,28,1,,,,Sherlock 6.0B,TSBA 6,MIS MIDI,,,1.0,2017-11-20 14:52:42
158,whole cell analysis,R2A,agar,,2,,,,Sherlock 6.0B,TSBA 6,MIS MIDI,,,,2017-11-20 14:52:42
36,whole cell analysis,Marine Agar (MA),agar,28,4,,,,Sherlock 6.0B,,MIS MIDI,"Agilent, 6850",Sasser 1990,0.0,2017-11-20 14:52:42
78,whole cell analysis,See reference,agar,,,,,,Sherlock 6.1,ANAER 6,MIS MIDI,,Sasser 1990,,2017-11-20 14:52:42
44,whole cell analysis,AM,,25,2,,,,Sherlock 6.1,QTSA 1,MIS MIDI,Agilent Technologies 6890 N,Miller 1982,1.0,2017-11-20 14:52:42
99,whole cell analysis,Marine Agar (MA),agar,20,,,,,Sherlock 6.1,RTSBA 6,MIS MIDI,,Sasser 1990,,2017-11-20 14:52:42
148,whole cell analysis,Tryptic soy agar (TSA),agar,28,2,,,,Sherlock 6.1,RTSBA 6,MIS MIDI,,Sasser 1990,,2017-11-20 14:52:42
100,whole cell analysis,Marine broth (DSMZ medium 514),liquid,25,2,,,,Sherlock 6.1,TSBA 40,MIS MIDI,,Kämpfer & Kroppenstedt 1996,1.0,2017-11-20 14:52:42
120,whole cell analysis,MNA with 2% NaCl,agar,30,,7.00,,,Sherlock 6.1,TSBA 40,MIS MIDI,,Kämpfer & Kroppenstedt 1996,1.0,2017-11-20 14:52:42
3,whole cell analysis,Tryptic soy agar (TSA; BBL),agar,28,4,,,,Sherlock 6.1,TSBA 40,MIS MIDI,,Kuykendall et al. 1988,1.0,2017-11-20 14:52:42
5,whole cell analysis,trypticase soy agar (BD),agar,28,4,,,,Sherlock 6.1,TSBA 40,MIS MIDI,,Sasser 1990,,2017-11-20 14:52:42
167,whole cell analysis,modified Marine Agar (MA),agar,37,4,,,,Sherlock 6.1,TSBA 40,MIS MIDI,,Sasser 1990,1.0,2017-11-20 14:52:42
40,whole cell analysis,modified marine broth (modified MB),liquid,37,4,,,,Sherlock 6.1,TSBA 40,MIS MIDI,"Agilent, 6890N",,1.0,2017-11-20 14:52:42
85,whole cell analysis,2216E medium,liquid,28,2,,,,Sherlock 6.1,TSBA 40,MIS MIDI,,,,2017-11-20 14:52:42
154,whole cell analysis,10% R2A,agar,28,3,,,,Sherlock 6.1,TSBA 40,MIS MIDI,,,,2017-11-20 14:52:42
60,whole cell analysis,Marine Agar (MA),agar,30,3,,,,Sherlock 6.1,TSBA 5,MIS MIDI,,,1.0,2017-11-20 14:52:42
9,whole cell analysis,R2A,agar,28,1,,,,Sherlock 6.1,TSBA 6,MIS MIDI,,Collins 1980,5.0,2017-11-20 14:52:42
7,whole cell analysis,ISP 2,,28,5,,,,Sherlock 6.1,TSBA 6,MIS MIDI,,Sasser 1990,10.0,2017-11-20 14:52:42
41,whole cell analysis,Tryptic soy agar (TSA),agar,28,10,,,,Sherlock 6.1,TSBA 6,MIS MIDI,,Sasser 1990,,2017-11-20 14:52:42
70,whole cell analysis,tripticase soy agar (TSA;Difco),agar,30,2,,,,Sherlock 6.1,TSBA 6,MIS MIDI,,Sasser 1990,,2017-11-20 14:52:42
84,whole cell analysis,tryptone soy agar (TSA; Difco),agar,28,3,,,,Sherlock 6.1,TSBA 6,MIS MIDI,,Sasser 1990,1.0,2017-11-20 14:52:42
118,whole cell analysis,R2A,agar,25,3,,,,Sherlock 6.1,TSBA 6,MIS MIDI,,Sasser 1990,1.0,2017-11-20 14:52:42
146,whole cell analysis,TSB,liquid,30,,,,,Sherlock 6.1,TSBA 6,MIS MIDI,,Sasser 1990,,2017-11-20 14:52:42
83,whole cell analysis,SCD,agar,30,3,,,,Sherlock 6.1,TSBA 6,MIS MIDI,,,,2017-11-20 14:52:42
106,whole cell analysis,R2A,agar,30,3,,,,Sherlock 6.1,TSBA 6,MIS MIDI,,,1.0,2017-11-20 14:52:42
115,whole cell analysis,"TSB (Tryptone soya broth, Difco)",liquid,30,7,,,,Sherlock 6.1,TSBA 6,MIS MIDI,,,,2017-11-20 14:52:42
117,whole cell analysis,R2A,agar,30,2,,,,Sherlock 6.1,TSBA 6,MIS MIDI,,,1.0,2017-11-20 14:52:42
124,whole cell analysis,R2A,agar,28,3,,,,Sherlock 6.1,TSBA 6,MIS MIDI,,,,2017-11-20 14:52:42
66,whole cell analysis,R2A,agar,30,2,,,,Sherlock 6.1,TSBA 6.2,MIS MIDI,,,1.0,2017-11-20 14:52:42
34,whole cell analysis,Tryptic soy agar (TSA),agar,,,,,,Sherlock 6.1,,MIS MIDI,Agilent 7890A,,10.0,2017-11-20 14:52:42
107,whole cell analysis,Marine Agar (MA),agar,30,3,,,,Sherlock 6.1,,MIS MIDI,,,1.0,2017-11-20 14:52:42
121,whole cell analysis,Marine Agar (MA),agar,37,3,,,,Sherlock 6.1,,MIS MIDI,,,1.0,2017-11-20 14:52:42
132,whole cell analysis,LB,agar,40,3,,,,Sherlock 6.1B,TSBA 6.1,MIS MIDI,,Sasser 1990,,2017-11-20 14:52:42
45,whole cell analysis,R2A (Oxoid),agar,20,2,,,,Sherlock 6.2,RTSBA 6.21,MIS MIDI,,Sasser 1990,1.0,2017-11-20 14:52:42
46,whole cell analysis,R2A (Oxoid),agar,20,2,,,,Sherlock 6.2,RTSBA 6.21,MIS MIDI,,Sasser 1990,1.0,2017-11-20 14:52:42
47,whole cell analysis,R2A (Oxoid),agar,20,2,,,,Sherlock 6.2,RTSBA 6.21,MIS MIDI,,Sasser 1990,1.0,2017-11-20 14:52:42
48,whole cell analysis,R2A (Oxoid),agar,20,2,,,,Sherlock 6.2,RTSBA 6.21,MIS MIDI,,Sasser 1990,1.0,2017-11-20 14:52:42
49,whole cell analysis,Marine Agar (MA),agar,25,3,,,,Sherlock 6.2,TSBA 6,MIS MIDI,Hewlett Packard 6890,Sasser 1990,1.0,2017-11-20 14:52:42
97,whole cell analysis,Marine Agar (MA),agar,25,3,,,,Sherlock 6.2,TSBA 6,MIS MIDI,,Sasser 1990,1.0,2017-11-20 14:52:42
151,whole cell analysis,Marine Agar (MA) contain 2% sodium chlorid,agar,30,,,,,Sherlock 6.2,TSBA 6,MIS MIDI,,Sasser 1990,0.0,2017-11-20 14:52:42
69,whole cell analysis,Marine Agar (MA),agar,25,3,,,,Sherlock 6.2,TSBA 6,MIS MIDI,,,1.0,2017-11-20 14:52:42
4,whole cell analysis,tryptic soya broth (Oxoid),liquid,30,7,,,,Sherlock 6.2B,ACTIN 6,MIS MIDI,,Sasser 2001,0.0,2017-11-20 14:52:42
109,whole cell analysis,Marine Agar (MA),agar,30,3,,,,Sherlock 6.2B,TSBA 6,MIS MIDI,,Sasser 1990,0.0,2017-11-20 14:52:42
110,whole cell analysis,Marine Agar (MA),agar,30,5,,,,Sherlock 6.2B,TSBA 6,MIS MIDI,,Sasser 1990,0.0,2017-11-20 14:52:42
111,whole cell analysis,Marine Agar (MA),agar,30,7,,,,Sherlock 6.2B,TSBA 6,MIS MIDI,,Sasser 1990,0.0,2017-11-20 14:52:42
128,whole cell analysis,Marine Agar (MA),agar,25,2,,,,Sherlock 6.2B,TSBA 6,MIS MIDI,,Sasser 1990,1.0,2017-11-20 14:52:42
52,whole cell analysis,Marine Agar (MA),agar,30,3,,,,Sherlock 6.2B,TSBA 6,MIS MIDI,,,0.0,2017-11-20 14:52:42
53,whole cell analysis,Marine Agar (MA),agar,30,5,,,,Sherlock 6.2B,TSBA 6,MIS MIDI,,,0.0,2017-11-20 14:52:42
54,whole cell analysis,Marine Agar (MA),agar,30,7,,,,Sherlock 6.2B,TSBA 6,MIS MIDI,,,0.0,2017-11-20 14:52:42
55,whole cell analysis,Marine Agar (MA),agar,20,3,,,,Sherlock 6.2B,TSBA 6,MIS MIDI,,,1.0,2017-11-20 14:52:42
56,whole cell analysis,Marine Agar (MA),agar,20,5,,,,Sherlock 6.2B,TSBA 6,MIS MIDI,,,1.0,2017-11-20 14:52:42
57,whole cell analysis,Marine Agar (MA),agar,20,7,,,,Sherlock 6.2B,TSBA 6,MIS MIDI,,,1.0,2017-11-20 14:52:42
98,whole cell analysis,R2A,agar,30,,,,,,RTSBA 6,MIS MIDI,,Sasser 1990,1.0,2017-11-20 14:52:42
113,whole cell analysis,Trypticase soy broth (Difco),liquid,28,5,,,,,TSBA 4.0,MIS MIDI,,,,2017-11-20 14:52:42
59,whole cell analysis,LMG medium 115,,28,3,,,,,TSBA 5,MIS MIDI,,,1.0,2017-11-20 14:52:42
165,whole cell analysis,R2A,agar,18,7,,,,,TSBA 6,MIS MIDI,,Sasser 1990,1.0,2017-11-20 14:52:42
129,whole cell analysis,R2A,agar,25,3,,,,,TSBA 6,MIS MIDI,,Sasser 1990,1.0,2017-11-20 14:52:42
63,whole cell analysis,TSA medium,,28,3,,,,,TSBA 6,MIS MIDI,,,,2017-11-20 14:52:42
140,whole cell analysis,R2A,agar,30,2,,,,,TSBA 60,MIS MIDI,,Sasser 1990,,2017-11-20 14:52:42
8,whole cell analysis,C10Y,liquid,,,,,,,,MIS MIDI,,Kulichevskaya et al. 2012,,2017-11-20 14:52:42
30,whole cell analysis,marine broth (MB),liquid,35,2,,,,,,MIS MIDI,,Kuykendall et al. 1988,5.0,2017-11-20 14:52:42
76,whole cell analysis,basal medium supplemented with 10 mM glucose and 0.1 % (w/v) yeast extract,,,,,,,,,MIS MIDI,,Miller 1982,1.0,2017-11-20 14:52:42
79,whole cell analysis,YP,agar,30,3,6.00,,,,,MIS MIDI,,Miller 1982,,2017-11-20 14:52:42
101,whole cell analysis,trypticase soy broth,agar,28,1,,,,,,MIS MIDI,,Miller 1982,1.0,2017-11-20 14:52:42
137,whole cell analysis,R2A,agar,28,2,,,,,,MIS MIDI,,Miller 1982,1.0,2017-11-20 14:52:42
138,whole cell analysis,R2A,agar,28,2,,,,,,MIS MIDI,,Miller 1982,1.0,2017-11-20 14:52:42
139,whole cell analysis,R2A,agar,28,2,,,,,,MIS MIDI,,Miller 1982,1.0,2017-11-20 14:52:42
1,whole cell analysis,Tryptic soy agar (TSA; Difco),agar,30,2,,,,,,MIS MIDI,,Sasser 1990,0.0,2017-11-20 14:52:42
11,whole cell analysis,"Tryptic soy agar (TSA, Difco)",agar,30,1,,,,,,MIS MIDI,,Sasser 1990,1.0,2017-11-20 14:52:42
16,whole cell analysis,R2A,agar,30,2,,,,,,MIS MIDI,6890; Hewlett Packard,Sasser 1990,,2017-11-20 14:52:42
38,whole cell analysis,R2A,agar,30,3,,,,,,MIS MIDI,,Sasser 1990,1.0,2017-11-20 14:52:42
39,whole cell analysis,sRB2,agar,,,,,,,,MIS MIDI,,Sasser 1990,1.0,2017-11-20 14:52:42
64,whole cell analysis,Marine Agar (MA),agar,25,3,,,,,,MIS MIDI,,Sasser 1990,0.0,2017-11-20 14:52:42
67,whole cell analysis,Tryptic soy agar (TSA),agar,30,2,,,,,,MIS MIDI,,Sasser 1990,0.0,2017-11-20 14:52:42
103,whole cell analysis,PYG medium,,35,1,,,,,,MIS MIDI,,Sasser 1990,1.0,2017-11-20 14:52:42
104,whole cell analysis,PYG medium,,35,1,,,,,,MIS MIDI,,Sasser 1990,1.0,2017-11-20 14:52:42
108,whole cell analysis,Marine Agar (MA),agar,26,1,,,,,,MIS MIDI,,Sasser 1990,,2017-11-20 14:52:42
123,whole cell analysis,Tryptic soy agar (TSA),agar,30,1,,,,,,MIS MIDI,,Sasser 1990,0.0,2017-11-20 14:52:42
126,whole cell analysis,Nutrient agar (NA),agar,28,2,,,,,,MIS MIDI,,Sasser 1990,1.0,2017-11-20 14:52:42
136,whole cell analysis,Tryptic soy agar (TSA),agar,30,1,,,,,,MIS MIDI,,Sasser 1990,,2017-11-20 14:52:42
166,whole cell analysis,Marine Agar (MA),agar,28,3,,,,,,MIS MIDI,,Sasser 1990,1.0,2017-11-20 14:52:42
6,whole cell analysis,ISP 2,liquid,28,7,,,,,,MIS MIDI,,Xiang et al. 2011,,2017-11-20 14:52:42
24,whole cell analysis,basal salts medium 5 (BSM-5),liquid,34,,,,,,,MIS MIDI,,,1.0,2017-11-20 14:52:42
27,whole cell analysis,MIS medium,agar,,20,,,,,,MIS MIDI,,,0.0,2017-11-20 14:52:42
31,whole cell analysis,marine broth 2216,liquid,,14,,,,,,MIS MIDI,GC/MS-QP2010 (Shimadzu),,0.0,2017-11-20 14:52:42
32,whole cell analysis,PMI (supplemented with 1g/l glucose),liquid,,,,,,,,MIS MIDI,,,0.0,2017-11-20 14:52:42
72,whole cell analysis,BHIA+5 % horse blood,agar,,,,,,,,MIS MIDI,,,,2017-11-20 14:52:42
74,whole cell analysis,medium M31,liquid,,,,,Alkaline hydrolysis extract,,,MIS MIDI,,,,2017-11-20 14:52:42
75,whole cell analysis,medium M32,liquid,,,,,Alkaline hydrolysis residue after extraction,,,MIS MIDI,,,,2017-11-20 14:52:42
80,whole cell analysis,Marine Agar (MA),agar,30,0,,,,,,MIS MIDI,,,0.0,2017-11-20 14:52:42
81,whole cell analysis,basal medium,,35,,,,,,,MIS MIDI,,,1.0,2017-11-20 14:52:42
86,whole cell analysis,sRB1 with pyruvate,agar,,,,,,,,MIS MIDI,,,1.0,2017-11-20 14:52:42
91,whole cell analysis,Tryptic soy agar (TSA),agar,29,7,,,,,,MIS MIDI,,,,2017-11-20 14:52:42
94,whole cell analysis,"M medium per litre: 10 g soy peptone, 10 g maltose, 1 g CaCl2 , 1 g MgSO4 , 11.9 g HEPES, 80 mg Fe-EDTA, pH 7.2",,30,5,,,180 r.p.m.,,,MIS MIDI,,,,2017-11-20 14:52:42
95,whole cell analysis,LB,agar,30,2,,,,,,MIS MIDI,,,0.0,2017-11-20 14:52:42
133,whole cell analysis,MM methanol medium,,,7,,,,,,MIS MIDI,,,,2017-11-20 14:52:42
135,whole cell analysis,Tryptic soy agar (TSA),agar,28,3,,,,,,MIS MIDI,,,1.0,2017-11-20 14:52:42
144,whole cell analysis,TSB,liquid,28,2,,,,,,MIS MIDI,,,,2017-11-20 14:52:42
159,whole cell analysis,ISP2,liquid,28,7,,,,,,MIS MIDI,,,,2017-11-20 14:52:42
160,whole cell analysis,Tryptic soy agar (TSA),agar,30,2,,,,,,MIS MIDI,,,,2017-11-20 14:52:42
168,whole cell analysis,R2V,,20,2,,,,,,MIS MIDI,,,,2017-11-20 14:52:42
169,whole cell analysis,marine broth,liquid,28,,7.00,,,,,MIS MIDI,,,,2018-06-11 12:53:55
170,whole cell analysis,R2A,agar,30,2,,,,Sherlock 6.0,,MIS MIDI,"5890 Series II, Hewlett-Packard",,1.0,2018-06-11 12:53:55
171,whole cell analysis,ZMA,agar,,2,,,,,,MIS MIDI,,,,2018-06-11 12:53:55
172,whole cell analysis,EG,agar,37,4,,,,Sherlock 6.2B,,MIS MIDI,,Miller 1982,1.0,2018-06-11 12:53:55
173,whole cell analysis,EG,agar,37,4,,,,Sherlock 6.2B,,MIS MIDI,,Miller 1982,1.0,2018-06-11 12:53:55
174,whole cell analysis,EG,agar,37,4,,,,Sherlock 6.2B,,MIS MIDI,,Miller 1982,1.0,2018-06-11 12:53:55
175,whole cell analysis,EG,agar,37,4,,,,Sherlock 6.2B,,MIS MIDI,,Miller 1982,1.0,2018-06-11 12:53:55
176,whole cell analysis,CASO (Carl Roth),agar,28,2,,,,Sherlock 2.11,,MIS MIDI,HP 6890,Kämpfer & Kroppenstedt 1996,,2018-06-11 12:53:55
177,whole cell analysis,Brucella with % blood,agar,37,3,,,,Sherlock 6.1,,MIS MIDI,,Kämpfer & Kroppenstedt 1996,1.0,2018-06-11 12:53:55
178,whole cell analysis,Brucella with % blood,agar,37,3,,,,Sherlock 6.1,,MIS MIDI,,Kämpfer & Kroppenstedt 1996,1.0,2018-06-11 12:53:55
179,whole cell analysis,,,,,,,,,,MIS MIDI,,Miller 1982,1.0,2018-06-11 12:53:55
180,whole cell analysis,M13 medium,liquid,26,,,,,,,MIS MIDI,,Da Costa et al. 2011,0.0,2018-06-11 12:53:55
181,whole cell analysis,,,,,,,,,,MIS MIDI,Agilent 6890N,,,2018-06-11 12:53:55
182,whole cell analysis,"anaerobic basal medium supplemented with 1,1,2-TCA and sodium acetate",liquid,,,,,,Sherlock 6.0,,MIS MIDI,,,1.0,2018-06-11 12:53:55
183,whole cell analysis,SSE/HD1 : 10 medium (pH 7.0),liquid,28,10,,,,Sherlock 6.1,,MIS MIDI,,,,2018-06-11 12:53:55
184,whole cell analysis,nutritient agar (NA),agar,37,1,,,,,,MIS MIDI,"Agilent Technologies, 6890 N",,1.0,2018-06-11 12:53:55
185,whole cell analysis,artificial sea water (ASW)-based medium with thiosulfat as electron donor,,,1,,,,,,MIS MIDI,,,1.0,2018-06-11 12:53:55
186,whole cell analysis,tryptic soy agar (TSA),agar,,,,,,,,MIS MIDI,,,15.0,2018-06-11 12:53:55
187,whole cell analysis,LB,liquid,28,1,,,,Sherlock 6.1,,MIS MIDI,,,1.0,2018-06-11 12:53:55
