BD_table,"Priority 
(10 is high)",short description,Foreign Keys
observation,3,"Unstructured, not standardized data that does not fit into other data fields",ID_strains/ID_reference
biosample,2,NCBI Biosample data,ID_strains
countries,1,help table for translating ISO/Country,
culture_collection,1,help table for structuring and analysing culture collection numbers,
annotation_core,0,outdated,
annotation_event,0,outdated,
annotation_user,0,outdated,
culture_condition,0,"outdated table, formerly was used for media, oxygen, pH > now dedicated tables ",ID_strains/ID_reference
django_admin_log,0,help table for API,
django_content_type,0,help table for API,
django_session,0,help table for API,
django_site,0,help table for API,
DSM_no_catalog,0,help table for valid DSM culture collection numbers,
field_basic_definition,0,help table for data field administration,
lpsn_link_matching,0,help table for matching to LPSN,
lpsn_taxon_names,0,help table for taxon names from LPSN,
lpsn_type_strains,0,help table for type strains from LPSN,
metabolites,0,"outdated table, formerly was used for metabolites> now dedicated tables ",ID_strains
meta_api,0,help table for API test tool,ID_strains
multimedia,0,Metadata on multimedia content (pictures),ID_strains/ID_reference
ncbi_taxonomy,0,external NCBI data,
ncbi_tax_id,0,NCBI TAX ID  matching,ID_strains
pdf,0,help table PDF archive,
registration_registrationprofile,0,help table for API,
section,0,help table for sections,
static_content,0,outdated data,
straininfo_link,0,outdated data to straininfo,ID_strains/ID_reference
strains_taxplorer,0,help table for TAXplorer tool,
strain_synonyms,0,help table for matching synonyms,ID_strains/ID_reference
