ID_met_antibiotica,metabolite_antib,is_antibiotic,ab_sensitive,ab_sensitivity_conc,ab_sensitivity_unit,ab_intermediate_unit,ab_resistant,ab_intermediate_conc,ab_resistance_unit,chebi_ID
9994,Chloramphenicol,1,NULL,NULL,NULL,NULL,1,NULL,"µg (disc)",17698
9995,Erythromycin,1,NULL,NULL,NULL,NULL,1,NULL,"µg (disc)",48923
9996,Novobiocin,1,NULL,NULL,NULL,NULL,1,NULL,"µg (disc)",28368
9997,Kanamycin,1,NULL,NULL,NULL,NULL,1,NULL,"µg (disc)",6104
9998,Chlortetracyclin,1,1,30,"µg (disc)",NULL,NULL,NULL,NULL,27644
9999,Oxytetracycline,1,1,30,"µg (disc)",NULL,NULL,NULL,NULL,27701
10000,"Polymyxin B",1,1,300,Unit,NULL,NULL,NULL,NULL,8309
10001,Tetracycline,1,NULL,NULL,NULL,NULL,1,NULL,"µg (disc)",27902
10126,Penicillin,1,NULL,NULL,NULL,"µg (disc)",NULL,10,NULL,17334
10380,Tetracycline,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27902
10381,Kanamycin,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6104
10382,Erythromycin,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48923
10383,Novobiocin,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28368
10417,Oleandomycin,1,NULL,NULL,NULL,NULL,1,NULL,µg/mL,16869
10418,"Polymyxin B",1,NULL,NULL,NULL,NULL,1,NULL,µg/mL,8309
10419,Streptomycin,1,NULL,NULL,NULL,NULL,1,NULL,µg/mL,17076
10428,Erythromycin,1,1,20,µg/mL,NULL,NULL,NULL,NULL,48923
10429,Tetracycline,1,1,2.5,µg/mL,NULL,NULL,NULL,NULL,27902
10430,Erythromycin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,48923
10431,Neomycin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,7507
10432,Penicillin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,17334
10433,Streptomycin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,17076
10434,Chloramphenicol,1,1,NULL,NULL,NULL,NULL,NULL,NULL,17698
10435,Chlortetracyclin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,27644
10436,Bacitracin,1,NULL,NULL,NULL,NULL,1,NULL,Unit,28669
10437,"Polymyxin B",1,NULL,NULL,NULL,NULL,1,NULL,Unit,8309
10438,Colistin,1,NULL,NULL,NULL,NULL,1,NULL,µg,37943
10439,Nitrofurantoin,1,NULL,NULL,NULL,NULL,1,NULL,µg,71415
10440,Ethionamide,1,NULL,NULL,NULL,NULL,1,NULL,µg,4885
10441,Aztreonam,1,NULL,NULL,NULL,NULL,1,NULL,µg,161680
10442,Cephalothin,1,NULL,NULL,NULL,NULL,1,NULL,µg,3542
10443,Tetracycline,1,NULL,NULL,NULL,NULL,1,NULL,µg,27902
10444,Vancomycin,1,NULL,NULL,NULL,NULL,1,NULL,µg,28001
10445,Trimethoprim,1,NULL,NULL,NULL,NULL,1,NULL,µg,45924
10446,Ethambutol,1,NULL,NULL,NULL,NULL,1,NULL,µg,4877
10447,Penicillin,1,1,10,Unit,NULL,NULL,NULL,NULL,17334
10448,Gentamicin,1,1,10,µg,NULL,NULL,NULL,NULL,17833
10449,Erythromycin,1,1,2,µg,NULL,NULL,NULL,NULL,48923
10450,Ceftriaxone,1,1,30,µg,NULL,NULL,NULL,NULL,29007
10451,Chloramphenicol,1,1,30,µg,NULL,NULL,NULL,NULL,17698
10452,Doxycycline,1,1,30,µg,NULL,NULL,NULL,NULL,50845
10453,Novobiocin,1,1,30,µg,NULL,NULL,NULL,NULL,28368
10454,Rifampicin,1,1,30,µg,NULL,NULL,NULL,NULL,28077
10455,Streptomycin,1,1,30,µg,NULL,NULL,NULL,NULL,17076
10456,Sulfisoxazole,1,1,300,µg,NULL,NULL,NULL,NULL,102484
10457,Sulfathiazole,1,1,300,µg,NULL,NULL,NULL,NULL,9337
10458,Ciprofloxacin,1,1,5,µg,NULL,NULL,NULL,NULL,100241
10459,Carbenicillin,1,1,100,"µg (disc)",NULL,NULL,NULL,NULL,3393
10460,Penicillin,1,NULL,NULL,NULL,NULL,1,NULL,"Unit (disc)",17334
10461,Bacitracin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,28669
10462,Gentamicin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,17833
10463,Lincomycin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,6472
10464,"Polymyxin B",1,1,100,"Unit (disc)",NULL,NULL,NULL,NULL,8309
10465,"Fusidic acid",1,1,0.5,"µg (disc)",NULL,NULL,NULL,NULL,29013
10466,Chloramphenicol,1,1,100,"µg (disc)",NULL,NULL,NULL,NULL,17698
10467,Streptomycin,1,1,50,"µg (disc)",NULL,NULL,NULL,NULL,17076
10468,Amikacin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,2637
10469,Erythromycin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,48923
10470,Kanamycin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,6104
10471,Neomycin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,7507
10472,Tetracycline,1,1,NULL,NULL,NULL,NULL,NULL,NULL,27902
10473,Vancomycin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,28001
10474,"Paromomycin sulfate",1,NULL,NULL,NULL,µg/mL,NULL,2-10,NULL,7935
10475,Penicillin,1,NULL,NULL,NULL,µg/mL,NULL,8,NULL,17334
10476,Neomycin,1,1,0.5-1,µg/mL,NULL,NULL,NULL,NULL,7507
10477,Enoxacin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,157175
10478,Trimethoprim,1,NULL,NULL,NULL,NULL,1,NULL,NULL,45924
10479,Amikacin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,2637
10480,Amoxicillin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,2676
10481,Ampicillin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,28971
10482,Cefaclor,1,1,NULL,NULL,NULL,NULL,NULL,NULL,3478
10483,Cefazolin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,474053
10484,Cefoperazone,1,1,NULL,NULL,NULL,NULL,NULL,NULL,3493
10485,Ceftazidime,1,1,NULL,NULL,NULL,NULL,NULL,NULL,3508
10486,Cefuroxime,1,1,NULL,NULL,NULL,NULL,NULL,NULL,3515
10487,Cephalothin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,3542
10488,Cephotaxime,1,1,NULL,NULL,NULL,NULL,NULL,NULL,204928
10489,Chloramphenicol,1,1,NULL,NULL,NULL,NULL,NULL,NULL,17698
10490,Ciprofloxacin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,100241
10491,Doxycycline,1,1,NULL,NULL,NULL,NULL,NULL,NULL,50845
10492,Erythromycin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,48923
10493,Fleroxacin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,31810
10494,Gentamicin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,17833
10495,Kanamycin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,6104
10496,Levofloxacin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,63598
10497,Lomefloxacin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,116278
10498,Minocycline,1,1,NULL,NULL,NULL,NULL,NULL,NULL,50694
10499,Nitrofurantoin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,71415
10500,Norfloxacin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,100246
10501,Piperacillin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,8232
10502,Polymyxin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,59062
10503,Streptomycin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,17076
10504,Tazobactam,1,1,NULL,NULL,NULL,NULL,NULL,NULL,9421
10505,Tetracycline,1,1,NULL,NULL,NULL,NULL,NULL,NULL,27902
10506,Tobramycin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,28864
10507,Bacitracin,1,NULL,NULL,NULL,NULL,1,NULL,Unit,28669
10508,Penicillin,1,NULL,NULL,NULL,NULL,1,NULL,Unit,17334
10509,Neomycin,1,NULL,NULL,NULL,NULL,1,NULL,"µg (disc)",7507
10510,Streptomycin,1,NULL,NULL,NULL,NULL,1,NULL,"µg (disc)",17076
10511,Erythromycin,1,NULL,NULL,NULL,NULL,1,NULL,"µg (disc)",48923
10512,Cephalothin,1,NULL,NULL,NULL,NULL,1,NULL,"µg (disc)",3542
10513,Chloramphenicol,1,NULL,NULL,NULL,NULL,1,NULL,"µg (disc)",17698
10514,Kanamycin,1,NULL,NULL,NULL,NULL,1,NULL,"µg (disc)",6104
10515,"Nalidixic acid",1,NULL,NULL,NULL,NULL,1,NULL,"µg (disc)",100147
10516,Novobiocin,1,NULL,NULL,NULL,NULL,1,NULL,"µg (disc)",28368
10517,Rifampicin,1,NULL,NULL,NULL,NULL,1,NULL,"µg (disc)",28077
10518,Tetracycline,1,NULL,NULL,NULL,NULL,1,NULL,"µg (disc)",27902
10519,Vancomycin,1,NULL,NULL,NULL,NULL,1,NULL,"µg (disc)",28001
10520,Amikacin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,2637
10521,Ciprofloxacin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,100241
10522,Erythromycin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,48923
10523,Gentamicin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,17833
10524,"Penicillin G",1,NULL,NULL,NULL,NULL,1,NULL,NULL,18208
10525,"Polymyxin B",1,NULL,NULL,NULL,NULL,1,NULL,NULL,8309
10526,Streptomycin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,17076
10527,Vancomycin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,28001
10528,Chloramphenicol,1,1,NULL,NULL,NULL,NULL,NULL,NULL,17698
10529,Chlortetracyclin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,27644
10530,Kanamycin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,6104
10531,"Nalidixic acid",1,1,NULL,NULL,NULL,NULL,NULL,NULL,100147
10532,Netilmycin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,7528
10533,Novobiocin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,28368
10534,Oleandomycin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,16869
10535,Oxytetracycline,1,1,NULL,NULL,NULL,NULL,NULL,NULL,27701
10536,Tetracycline,1,1,NULL,NULL,NULL,NULL,NULL,NULL,27902
10537,Tobramycin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,28864
10538,"Polymyxin B",1,NULL,NULL,NULL,NULL,1,NULL,Unit,8309
10539,Ampicillin,1,NULL,NULL,NULL,NULL,1,NULL,µg,28971
10540,"Fusidic acid",1,NULL,NULL,NULL,NULL,1,NULL,µg,29013
10541,Lincomycin,1,NULL,NULL,NULL,NULL,1,NULL,µg,6472
10542,Vancomycin,1,NULL,NULL,NULL,NULL,1,NULL,µg,28001
10543,Penicillin,1,1,10,Unit,NULL,NULL,NULL,NULL,17334
10544,Gentamicin,1,1,10,µg,NULL,NULL,NULL,NULL,17833
10545,Streptomycin,1,1,10,µg,NULL,NULL,NULL,NULL,17076
10546,Erythromycin,1,1,15,µg,NULL,NULL,NULL,NULL,48923
10547,Amikacin,1,1,30,µg,NULL,NULL,NULL,NULL,2637
10548,Cephalothin,1,1,30,µg,NULL,NULL,NULL,NULL,3542
10549,Cephotaxime,1,1,30,µg,NULL,NULL,NULL,NULL,204928
10550,Chloramphenicol,1,1,30,µg,NULL,NULL,NULL,NULL,17698
10551,Kanamycin,1,1,30,µg,NULL,NULL,NULL,NULL,6104
10552,"Nalidixic acid",1,1,30,µg,NULL,NULL,NULL,NULL,100147
10553,Neomycin,1,1,30,µg,NULL,NULL,NULL,NULL,7507
10554,Tetracycline,1,1,30,µg,NULL,NULL,NULL,NULL,27902
10555,Ciprofloxacin,1,1,5,µg,NULL,NULL,NULL,NULL,100241
10556,Rifampicin,1,1,5,µg,NULL,NULL,NULL,NULL,28077
10557,Ampicillin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,28971
10558,Lincomycin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,6472
10559,Chloramphenicol,1,1,NULL,NULL,NULL,NULL,NULL,NULL,17698
10560,Gentamicin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,17833
10561,Kanamycin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,6104
10562,Neomycin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,7507
10563,Novobiocin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,28368
10564,Streptomycin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,17076
10565,Ampicillin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,28971
10566,Chloramphenicol,1,NULL,NULL,NULL,NULL,1,NULL,NULL,17698
10567,Lincomycin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,6472
10568,Neomycin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,7507
10569,Novobiocin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,28368
10570,Streptomycin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,17076
10571,Gentamicin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,17833
10572,Kanamycin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,6104
10573,Chloramphenicol,1,NULL,NULL,NULL,NULL,1,NULL,NULL,17698
10574,Gentamicin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,17833
10575,Lincomycin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,6472
10576,Neomycin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,7507
10577,Novobiocin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,28368
10578,Streptomycin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,17076
10579,Lincomycin,1,0,NULL,NULL,NULL,NULL,NULL,NULL,6472
10580,Ampicillin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,28971
10581,Kanamycin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,6104
10582,Ampicillin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,28971
10583,Chloramphenicol,1,NULL,NULL,NULL,NULL,1,NULL,NULL,17698
10584,Gentamicin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,17833
10585,Neomycin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,7507
10586,Streptomycin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,17076
10587,Kanamycin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,6104
10588,Lincomycin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,6472
10589,Novobiocin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,28368
10590,Ampicillin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,28971
10591,Chloramphenicol,1,NULL,NULL,NULL,NULL,1,NULL,NULL,17698
10592,Gentamicin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,17833
10593,Kanamycin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,6104
10594,Lincomycin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,6472
10595,Neomycin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,7507
10596,Streptomycin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,17076
10597,Novobiocin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,28368
10598,Ampicillin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,28971
10599,Chloramphenicol,1,NULL,NULL,NULL,NULL,1,NULL,NULL,17698
10600,Gentamicin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,17833
10601,Kanamycin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,6104
10602,Neomycin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,7507
10603,Streptomycin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,17076
10604,Lincomycin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,6472
10605,Novobiocin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,28368
10606,Gentamicin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,17833
10607,Kanamycin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,6104
10608,Neomycin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,7507
10609,Streptomycin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,17076
10610,Ampicillin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,28971
10611,Chloramphenicol,1,1,NULL,NULL,NULL,NULL,NULL,NULL,17698
10612,Lincomycin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,6472
10613,Novobiocin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,28368
10614,Ampicillin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,28971
10615,Chloramphenicol,1,NULL,NULL,NULL,NULL,1,NULL,NULL,17698
10616,Gentamicin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,17833
10617,Neomycin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,7507
10618,Streptomycin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,17076
10619,Kanamycin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,6104
10620,Lincomycin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,6472
10621,Novobiocin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,28368
10622,Ampicillin,1,NULL,NULL,NULL,NULL,1,NULL,"µg (disc)",28971
10623,Neomycin,1,NULL,NULL,NULL,NULL,1,NULL,"µg (disc)",7507
10624,Streptomycin,1,NULL,NULL,NULL,NULL,1,NULL,"µg (disc)",17076
10625,Chloramphenicol,1,NULL,NULL,NULL,NULL,1,NULL,"µg (disc)",17698
10626,Gentamicin,1,1,10,"µg (disc)",NULL,NULL,NULL,NULL,17833
10627,Lincomycin,1,1,10,"µg (disc)",NULL,NULL,NULL,NULL,6472
10628,Kanamycin,1,1,30,"µg (disc)",NULL,NULL,NULL,NULL,6104
10629,Novobiocin,1,1,30,"µg (disc)",NULL,NULL,NULL,NULL,28368
10630,Ampicillin,1,NULL,NULL,NULL,NULL,1,NULL,"µg (disc)",28971
10631,Gentamicin,1,NULL,NULL,NULL,NULL,1,NULL,"µg (disc)",17833
10632,Lincomycin,1,NULL,NULL,NULL,NULL,1,NULL,"µg (disc)",6472
10633,Neomycin,1,NULL,NULL,NULL,NULL,1,NULL,"µg (disc)",7507
10634,Streptomycin,1,NULL,NULL,NULL,NULL,1,NULL,"µg (disc)",17076
10635,Chloramphenicol,1,NULL,NULL,NULL,NULL,1,NULL,"µg (disc)",17698
10636,Kanamycin,1,NULL,NULL,NULL,NULL,1,NULL,"µg (disc)",6104
10637,Novobiocin,1,NULL,NULL,NULL,NULL,1,NULL,"µg (disc)",28368
10638,Novobiocin,1,1,30,"µg (disc)",NULL,NULL,NULL,NULL,28368
10639,Cephalothin,1,1,0.25,µg/mL,NULL,NULL,NULL,NULL,3542
10640,"Penicillin G",1,1,0.25,µg/mL,NULL,NULL,NULL,NULL,18208
10641,Chloramphenicol,1,1,1,µg/mL,NULL,NULL,NULL,NULL,17698
10642,Trimethoprim,1,1,1,µg/mL,NULL,NULL,NULL,NULL,45924
10643,Chloramphenicol,1,1,NULL,NULL,NULL,NULL,NULL,NULL,17698
10644,Clindamycin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,3745
10645,Erythromycin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,48923
10646,"Penicillin G",1,1,NULL,NULL,NULL,NULL,NULL,NULL,18208
10648,Tetracycline,1,1,NULL,NULL,NULL,NULL,NULL,NULL,27902
10649,Vancomycin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,28001
10650,Clindamycin,1,0,NULL,NULL,NULL,NULL,NULL,NULL,3745
10651,Erythromycin,1,0,NULL,NULL,NULL,NULL,NULL,NULL,48923
10652,Lincomycin,1,0,NULL,NULL,NULL,NULL,NULL,NULL,6472
10653,Neomycin,1,0,NULL,NULL,NULL,NULL,NULL,NULL,7507
10654,Ampicillin,1,0,NULL,NULL,NULL,NULL,NULL,NULL,28971
10655,Cloxacillin,1,0,NULL,NULL,NULL,NULL,NULL,NULL,49566
10656,Novobiocin,1,0,NULL,NULL,NULL,NULL,NULL,NULL,28368
10657,"Penicillin G",1,0,NULL,NULL,NULL,NULL,NULL,NULL,18208
10658,Sulfisoxazole,1,0,NULL,NULL,NULL,NULL,NULL,NULL,102484
10659,Vibriostat,1,0,NULL,NULL,NULL,NULL,NULL,NULL,73908
10660,Chloramphenicol,1,1,NULL,NULL,NULL,NULL,NULL,NULL,17698
10661,Chlortetracyclin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,27644
10662,Colistin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,37943
10663,Erythromycin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,48923
10664,Furazolidone,1,1,NULL,NULL,NULL,NULL,NULL,NULL,5195
10665,Gentamicin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,17833
10666,Kanamycin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,6104
10667,Neomycin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,7507
10668,Nitrofurantoin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,71415
10669,Oxytetracycline,1,1,NULL,NULL,NULL,NULL,NULL,NULL,27701
10670,Streptomycin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,17076
10671,Tetracycline,1,1,NULL,NULL,NULL,NULL,NULL,NULL,27902
10672,Amoxicillin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,2676
10673,Ampicillin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,28971
10674,Carbenicillin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,3393
10675,Fosfomycin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,28915
10676,Novobiocin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,28368
10677,Phenoxymethylpenicillin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,27446
10678,Sulfadimethoxine,1,NULL,NULL,NULL,NULL,1,NULL,NULL,32161
10679,Sulfanilamide,1,NULL,NULL,NULL,NULL,1,NULL,NULL,45373
10680,Trimethoprim,1,NULL,NULL,NULL,NULL,1,NULL,NULL,45924
10681,Vibriostat,1,0,NULL,NULL,NULL,NULL,NULL,NULL,73908
10682,Amikacin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,2637
10683,Chloramphenicol,1,1,NULL,NULL,NULL,NULL,NULL,NULL,17698
10684,Erythromycin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,48923
10685,Gentamicin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,17833
10686,Kanamycin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,6104
10687,"Nalidixic acid",1,1,NULL,NULL,NULL,NULL,NULL,NULL,100147
10688,Nitrofurantoin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,71415
10689,"Oxolinic acid",1,1,NULL,NULL,NULL,NULL,NULL,NULL,138856
10690,"Polymyxin B",1,1,NULL,NULL,NULL,NULL,NULL,NULL,8309
10691,Rifampicin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,28077
10692,Streptomycin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,17076
10693,Tetracycline,1,1,NULL,NULL,NULL,NULL,NULL,NULL,27902
10694,Tobramycin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,28864
10695,Vibriostat,1,NULL,NULL,NULL,NULL,1,NULL,µg,73908
10696,Ampicillin,1,NULL,NULL,NULL,NULL,1,NULL,NULL,28971
10697,Cephalothin,1,1,NULL,NULL,NULL,NULL,NULL,NULL,3542
