ID_multimedia,file_name,file_path,file,full_file_path,FSI_URL,media_type,IPR,license_type,caption,created,creator,capture_equipment,ID_strains,ID_reference,manual_annotation,FK_tbl_images_micro,timestamp_micro,last_change
15,DSM_30508.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30508.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,,,,7681,16862,1,20.0,2012-11-19 09:03:39,2018-05-31 05:45:31
16,DSM_30509.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30509.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,,,,7682,16863,1,21.0,2012-11-19 09:04:23,2018-05-31 05:45:31
17,DSM_30511.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30511.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,,,,12859,16865,1,22.0,2012-11-19 09:06:22,2018-05-31 05:45:31
18,DSM_30572.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30572.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-19,"R. Pukall, Leibniz Institute DSMZ",,7683,16866,1,83.0,2012-11-19 10:50:38,2018-05-31 05:45:31
19,DSM_30573.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30573.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-19,"R. Pukall, Leibniz Institute DSMZ",,7684,16867,1,84.0,2012-11-19 10:52:13,2018-05-31 05:45:31
20,DSM_30574.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30574.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-19,"R. Pukall, Leibniz Institute DSMZ",,14639,16868,1,85.0,2012-11-19 10:52:57,2018-05-31 05:45:31
21,DSM_30649.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30649.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-19,"R. Pukall, Leibniz Institute DSMZ",,807,16869,1,155.0,2012-11-19 15:03:04,2018-05-31 05:45:31
22,DSM_30650.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30650.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-19,"R. Pukall, Leibniz Institute DSMZ",,1078,16870,1,156.0,2012-11-19 15:03:49,2018-05-31 05:45:31
23,DSM_30651.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30651.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-19,"R. Pukall, Leibniz Institute DSMZ",,980,16871,1,157.0,2012-11-19 15:04:21,2018-05-31 05:45:31
24,DSM_30652.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30652.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-19,"R. Pukall, Leibniz Institute DSMZ",,981,16872,1,158.0,2012-11-19 15:05:06,2018-05-31 05:45:31
25,DSM_30653.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30653.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-19,"R. Pukall, Leibniz Institute DSMZ",,945,16873,1,159.0,2012-11-19 15:06:20,2018-05-31 05:45:31
26,DSM_30654.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30654.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-19,"R. Pukall, Leibniz Institute DSMZ",,699,16874,1,160.0,2012-11-19 15:06:57,2018-05-31 05:45:31
27,DSM_30823.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30823.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-21,"R. Pukall, Leibniz Institute DSMZ",,6286,16875,1,321.0,2012-11-21 09:50:01,2018-05-31 05:45:31
28,DSM_30824.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30824.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-21,"R. Pukall, Leibniz Institute DSMZ",,7757,16876,1,324.0,2012-11-21 09:58:55,2018-05-31 05:45:31
29,DSM_30825.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30825.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-21,"R. Pukall, Leibniz Institute DSMZ",,12990,16877,1,325.0,2012-11-21 10:01:22,2018-05-31 05:45:31
30,DSM_30827.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30827.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-21,"R. Pukall, Leibniz Institute DSMZ",,3197,16879,1,327.0,2012-11-21 10:23:16,2018-05-31 05:45:31
31,DSM_30828.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30828.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-21,"R. Pukall, Leibniz Institute DSMZ",,7685,16880,1,328.0,2012-11-21 10:24:04,2018-05-31 05:45:31
32,DSM_30512.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30512.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,,,,982,16881,1,23.0,2012-11-19 09:06:52,2018-05-31 05:45:31
33,DSM_30513.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30513.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,,,,7686,16882,1,24.0,2012-11-19 09:07:26,2018-05-31 05:45:31
34,DSM_30514.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30514.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,,,,14218,16883,1,25.0,2012-11-19 09:12:40,2018-05-31 05:45:31
35,DSM_30515.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30515.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,,,,14640,16884,1,26.0,2012-11-19 09:17:10,2018-05-31 05:45:31
36,DSM_30516.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30516.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-19,"R. Pukall, Leibniz Institute DSMZ",,7687,16885,1,27.0,2012-11-19 09:17:38,2018-05-31 05:45:31
37,DSM_30517.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30517.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-19,"R. Pukall, Leibniz Institute DSMZ",,7688,16886,1,28.0,2012-11-19 09:20:08,2018-05-31 05:45:31
38,DSM_30518.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30518.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-19,"R. Pukall, Leibniz Institute DSMZ",,11318,16887,1,29.0,2012-11-19 09:21:05,2018-05-31 05:45:31
39,DSM_30519.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30519.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-19,"R. Pukall, Leibniz Institute DSMZ",,7689,16888,1,30.0,2012-11-19 09:21:58,2018-05-31 05:45:31
40,DSM_30520.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30520.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-19,"R. Pukall, Leibniz Institute DSMZ",,13089,16889,1,31.0,2012-11-19 09:22:36,2018-05-31 05:45:31
41,DSM_30521.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30521.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-19,"R. Pukall, Leibniz Institute DSMZ",,13090,16890,1,32.0,2012-11-19 09:23:55,2018-05-31 05:45:31
42,DSM_30522.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30522.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-19,"R. Pukall, Leibniz Institute DSMZ",,7690,16891,1,33.0,2012-11-19 09:25:24,2018-05-31 05:45:31
43,DSM_30523.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30523.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-19,"R. Pukall, Leibniz Institute DSMZ",,700,16892,1,34.0,2012-11-19 09:27:26,2018-05-31 05:45:31
44,DSM_30524.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30524.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-19,"R. Pukall, Leibniz Institute DSMZ",,7691,16893,1,35.0,2012-11-19 09:27:58,2018-05-31 05:45:31
45,DSM_30525.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30525.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-19,"R. Pukall, Leibniz Institute DSMZ",,7692,16894,1,36.0,2012-11-19 09:28:33,2018-05-31 05:45:31
46,DSM_30526.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30526.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-19,"R. Pukall, Leibniz Institute DSMZ",,7693,16895,1,37.0,2012-11-19 09:48:01,2018-05-31 05:45:31
47,DSM_30527.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30527.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-19,"R. Pukall, Leibniz Institute DSMZ",,7694,16896,1,38.0,2012-11-19 09:49:01,2018-05-31 05:45:31
48,DSM_30528.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30528.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-19,"R. Pukall, Leibniz Institute DSMZ",,7695,16897,1,39.0,2012-11-19 09:50:38,2018-05-31 05:45:31
49,DSM_30529.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30529.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-19,"R. Pukall, Leibniz Institute DSMZ",,983,16898,1,40.0,2012-11-19 09:51:19,2018-05-31 05:45:31
50,DSM_30530.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30530.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-19,"R. Pukall, Leibniz Institute DSMZ",,7696,16899,1,41.0,2012-11-19 09:52:10,2018-05-31 05:45:31
51,DSM_30531.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30531.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-19,"R. Pukall, Leibniz Institute DSMZ",,7697,16900,1,42.0,2012-11-19 09:53:00,2018-05-31 05:45:31
52,DSM_30532.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30532.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-19,"R. Pukall, Leibniz Institute DSMZ",,7698,16901,1,43.0,2012-11-19 09:53:58,2018-05-31 05:45:31
53,DSM_30533.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30533.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-19,"R. Pukall, Leibniz Institute DSMZ",,984,16902,1,44.0,2012-11-19 09:54:46,2018-05-31 05:45:31
54,DSM_30534.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30534.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-19,"R. Pukall, Leibniz Institute DSMZ",,985,16903,1,45.0,2012-11-19 09:55:27,2018-05-31 05:45:31
55,DSM_30535.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30535.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-19,"R. Pukall, Leibniz Institute DSMZ",,701,16904,1,46.0,2012-11-19 09:56:42,2018-05-31 05:45:31
56,DSM_30607.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30607.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-19,"R. Pukall, Leibniz Institute DSMZ",,680,16905,1,115.0,2012-11-19 14:16:19,2018-05-31 05:45:31
57,DSM_30608.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30608.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-20,"R. Pukall, Leibniz Institute DSMZ",,14612,16906,1,116.0,2012-11-19 14:17:37,2018-05-31 05:45:31
58,DSM_30609.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30609.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-19,"R. Pukall, Leibniz Institute DSMZ",,14547,16907,1,117.0,2012-11-19 14:18:30,2018-05-31 05:45:31
59,DSM_30610.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30610.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-19,"R. Pukall, Leibniz Institute DSMZ",,14619,16908,1,118.0,2012-11-19 14:19:05,2018-05-31 05:45:31
60,DSM_30611.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30611.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-19,"R. Pukall, Leibniz Institute DSMZ",,17563,16909,1,119.0,2012-11-19 14:19:50,2018-05-31 05:45:31
61,DSM_30612.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30612.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-19,"R. Pukall, Leibniz Institute DSMZ",,18126,16910,1,120.0,2012-11-19 14:23:07,2018-05-31 05:45:31
62,DSM_30613.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30613.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-19,"R. Pukall, Leibniz Institute DSMZ",,7699,16911,1,121.0,2012-11-19 14:25:18,2018-05-31 05:45:31
63,DSM_30614.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30614.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-19,"R. Pukall, Leibniz Institute DSMZ",,676,16912,1,122.0,2012-11-19 14:25:54,2018-05-31 05:45:31
64,DSM_30615.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30615.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,,,,702,16913,1,123.0,2012-11-19 14:27:50,2018-05-31 05:45:31
65,DSM_30536.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30536.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-19,"R. Pukall, Leibniz Institute DSMZ",,8158,16914,1,47.0,2012-11-19 09:58:20,2018-05-31 05:45:31
66,DSM_30537.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30537.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-19,"R. Pukall, Leibniz Institute DSMZ",,760,16915,1,48.0,2012-11-19 10:01:02,2018-05-31 05:45:31
67,DSM_30538.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30538.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-19,"R. Pukall, Leibniz Institute DSMZ",,7321,16916,1,49.0,2012-11-19 10:02:45,2018-05-31 05:45:31
68,DSM_30539.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30539.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-19,"R. Pukall, Leibniz Institute DSMZ",,1096,16917,1,50.0,2012-11-19 10:03:58,2018-05-31 05:45:31
69,DSM_30540.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30540.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-11-19,"R. Pukall, Leibniz Institute DSMZ",,986,16918,1,51.0,2012-11-19 10:04:45,2018-05-31 05:45:31
