ID_culture_collection,Acronym_col,Acronym_col_num,URL_general,URL_str_num,Culture_Collection,last_change,matches_count
32,BCC,BCC,http://bcc.biotec.or.th/,https://tbrcnetwork.org/quick_lpsn.php?bcc=#####CULCOLNO#####,BIOTEC Culture Collection,2021-10-07 06:08:46,118
33,BCCCp,BCCCp,http://www.ceplac.gov.br/,,Brazilian Culture collection of Crinipellis perniciosa,2021-10-07 06:08:46,0
34,BCCM/IHEM,BCCM/IHEM,,,BCCM/IHEM,2021-10-07 06:08:46,0
35,BCCM/LMBP,BCCM/LMBP,http://bccm.belspo.be/index.php,,Belgian Coordinated Collections of Microorganisms / LMBP Plasmid Collection,2021-10-07 06:08:46,0
36,BCCM/ULC,BCCM/ULC,http://bccm.belspo.be/about/ulc.php,,BCCM/ULC Culture Collection of (sub)polar cyanobacteria,2021-10-07 06:08:46,0
37,BCCUSP,BCCUSP,http://www.esalq.usp.br/,,Brazilian Cyanobacteria Collection - University of Sao Paulo,2021-10-07 06:08:46,0
38,BCRC,BCRC,http://www.bcrc.firdi.org.tw/,https://catalog.bcrc.firdi.org.tw/BcrcContent?bid=#####CULCOLNO#####,Bioresource Collection and Research Center,2021-10-07 06:08:47,255
39,BCRJ,BCRJ,http://www.bcrj.hucff.ufrj.br/,,Rio de Janeiro Cell Bank (Banco de Celulas do Rio de Janeiro),2021-10-07 06:08:47,0
40,BDU,BDU,http://www.nfmc.res.in/,,National Facility for Marine Cyanobacteria,2021-10-07 06:08:48,0
41,BDUZ,BDUZ,,,Biological Sciences,2021-10-07 06:08:48,0
42,BEG,BEG,http://wwwbio.ukc.ac.uk/beg/,,La Banque European des Glomales,2021-10-07 06:08:48,0
43,BGIV,BGIV,http://www.bgiv.com.ar/,,Banco de Glomeromycota In Vitro (Bank of Glomeromycota In Vitro),2021-10-07 06:08:50,0
44,BGSC,BGSC,http://bacillus.biosci.ohio-state.edu/,,Bacillus Genetic Stock Center,2021-10-07 06:08:50,1
45,BIM,BIM,http://www.mbio.bas-net.by/,,Belarusian Collection of non-pathogenic microorganisms,2021-10-07 06:08:51,0
46,BioCC,BioCC,http://www.biocen.cu/,,BioCC BioCen Culture Collection,2021-10-07 06:08:51,0
47,BLWG,BLWG,,,Bayerische Landesanstalt fur Weinbau und Gartenbau,2021-10-07 06:08:53,0
48,BMBC,BMBC,http://www.lcm.ufsc.br/,,Brazilian Marine Bacteria Collection,2021-10-07 06:08:54,0
49,BMFM-UNAM,BMFM-UNAM,,,"Culture Collection of Fungal Pathogens Strains from the Basic Mycology Laboratory of the Department of Microbiology and Parasitology, Faculty of Medicine, UNAM",2021-10-07 06:08:54,0
50,BNA,BNA,http://www.ulpgc.es/webs/cbm/,,National Bank of Algae,2021-10-07 06:08:55,0
51,BNM,BNM,http://www.agro.uba.ar/,,Banco Nacional de Microorganismos(National Bank of Microorganisms),2021-10-07 06:08:55,0
52,BOROK,BOROK,,,The Collection of algae,2021-10-07 06:08:55,0
53,BPIC,BPIC,,,Benaki Phytopathological Institute Collection,2021-10-07 06:08:56,1
54,BPPT-ESC,BPPT-ESC,,,BPPT Ethanol-Single Cell Protein-Fructose Syrup Technical Unit,2021-10-07 06:08:56,0
55,BR,BR,,,Embrapa Agrobiology Diazothrophic Microbial Culture Collection,2021-10-07 06:08:56,22
56,BRCC,BRCC,http://www.ars.usda.gov/is/np/systematics/rhizobium.htm,,USDA-ARS Rhizobium Germplasm Resource Collection,2021-10-07 06:08:57,0
57,BSMB,BSMB,,,Bacteriology and Soil Microbiology Branch,2021-10-07 06:08:58,0
58,BTCC,BTCC,,,Bulgarian Type Culture Collection,2021-10-07 06:08:59,1
59,BTCC,BTCC,,,Biotechnology Culture Collection Institution Pusat Penelitian dan Pengembangan Bioteknologi-LIPI,2021-10-07 06:08:59,1
60,CACEM-MGM,CACEM-MGM,,,The Champagne-Ardenne collection of Enological microorganisms,2021-10-07 06:09:01,0
61,CAIM,CAIM,http://www.ciad.mx/caim,https://www.ciad.mx/caim/busqueda.php?searchtype=CAIM&criterio=#####CULCOLNO#####,Collection of Aquatic Important Microorganisms,2021-10-07 06:09:01,65
62,CAIRCC,CAIRCC,,,CAIRCC,2021-10-07 06:09:01,0
63,CALU,CALU,,,"Collection of Algae in Leningrad, St. Petersburg, State University",2021-10-07 06:09:02,0
64,CAPM,CAPM,http://www.vri.cz/,,Collection of Animal Pathogenic Microorganisms,2021-10-07 06:09:03,7
65,CAUP,CAUP,http://botany.natur.cuni.cz/algo/caup.html,,Culture Collection of Algae of Charles University in Prague,2021-10-07 06:09:03,0
66,CAZ,CAZ,,,CAZ Coleccion de Bacterias Dr Anibal Zaindenberg,2021-10-07 06:09:04,0
67,CB,CB,,,The CB Rhizobium Collection,2021-10-07 06:09:04,36
68,CBMAI,CBMAI,http://www.cpqba.unicamp.br/cbmai,,Brazilian Collection of Microorganisms from the Environment and Industry (Colecao Brasileira de Microrganismos de Ambiente e Industria),2021-10-07 06:09:04,18
69,CBMW,CBMW,,,"""Collection of bacteriophages and microorganisms """"MicroWorld""""""",2021-10-07 06:09:04,0
70,CBS,CBS,http://www.cbs.knaw.nl/,,"Centraalbureau voor Schimmelcultures, Fungal and Yeast Collection",2021-10-07 06:09:05,7
71,CBTCCCAS,CBTCCCAS,http://www1.im.ac.cn/typecc/en.html,,The Cell Bank of Type Culture Collection of Chinese Academy of Sciences,2021-10-07 06:09:05,0
72,CC,CC,,,CSIRO Canberra Rhizobium Collection,2021-10-07 06:09:05,8
73,CCAC,CCAC,http://www.ccac.uni-koeln.de/,,Culture Collection of Algae at the University of Cologne,2021-10-07 06:09:05,0
74,CCALA,CCALA,http://www.butbn.cas.cz/ccala/index.php,,Culture Collection of Autotrophic Organisms,2021-10-07 06:09:05,0
75,CCAP,CCAP,http://www.ccap.ac.uk/,https://www.ccap.ac.uk/results2014.php?mode=attr&Environment=All&Country=All&Pathogen=All&Type_Culture=All&Genus_Name=All&Strain_Name=All&Strain_No=#####CULCOLNO#####,Culture Collection of Algae and Protozoa,2021-10-07 06:09:05,0
76,CCARM,CCARM,http://www.ccarm.or.kr/,,Culture Collection of Antimirobial Resistant Microorganisms,2021-10-07 06:09:06,1
77,CCB,CCB,,,Colecao de Culturas de Basidiomicetos,2021-10-07 06:09:06,0
78,CCBA,CCBA,http://www.ocean.univ.gda.pl/~ccba/,,Culture Collection of Baltic Algae at the University of Gdansk,2021-10-07 06:09:06,0
79,CCBAS,CCBAS,http://www.biomed.cas.cz/ccbas/fungi.htm,,Culture Collection of Basidiomycetes,2021-10-07 06:09:06,0
80,CCBAU,CCBAU,,,"Culture Collection, Beijing Agricultural University",2021-10-07 06:09:06,46
81,CCC,CCC,,,Culture Collection of Clavicipitaceae,2021-10-07 06:09:06,0
82,CCCIEB,CCCIEB,,,Culture Collections of Microorgansisms of Center of Genetic Engineering and Biotechnology,2021-10-07 06:09:06,0
83,CCCryo,CCCryo,http://cccryo.fraunhofer.de/,,CCCryo Culture Collection of Cryophilic Algae,2021-10-07 06:09:06,0
84,CCDM,CCDM,,,Culture Collection of Department of Microbiology,2021-10-07 06:09:07,0
85,CCDM,CCDM,,,Culture Collection of Dairy Microorganisms Laktoflora,2021-10-07 06:09:07,0
86,CCDMBI,CCDMBI,,,"Culture Collection, Department of Microbiology",2021-10-07 06:09:07,0
87,CCF,CCF,,,Colleccion de Cuttivos Finlay,2021-10-07 06:09:07,0
88,CCF,CCF,,,Culture Collection of Fungi,2021-10-07 06:09:07,0
89,CCFC,CCFC,http://sis.agr.gc.ca/brd/ccc/,,Canadian Collection of Fungal Cultures,2021-10-07 06:09:07,0
90,CCGVCC,CCGVCC,,,China Centre for General Viruses Culture Collection,2021-10-07 06:09:08,0
91,CCIAL,CCIAL,http://ial.sp.gov.br/,,Nucleo de Cultura de Celulas,2021-10-07 06:09:08,0
92,CCIBSO,CCIBSO,http://www.ibp.ru/,,Culture Collection IBSO,2021-10-07 06:09:08,0
93,CCIM,CCIM,,,Culture Collection of Industrial Microorganisms,2021-10-07 06:09:09,0
94,CCM,CCM,http://sci.muni.cz/ccm/index.html,https://www.sci.muni.cz/ccm/bakterie/htmlb/#####CULCOLNO#####,Czech Collection of Microorganisms,2021-10-07 06:09:09,1117
95,CCM-A,CCM-A,,,Coleccion de Cultivos Microbianos,2021-10-07 06:09:09,0
96,CCMAC,CCMAC,,,Culture Collection of Macromycetes (Basidiomycotina and Ascomycotina),2021-10-07 06:09:09,0
97,CCMCU,CCMCU,,,Culture Collection of Microorganisms,2021-10-07 06:09:09,0
98,CCMF,CCMF,,,University of Portsmouth,2021-10-07 06:09:10,0
99,CCMI,CCMI,,,Culture Collection of Industrial Microorganisms,2021-10-07 06:09:10,0
100,CCMM,CCMM,http://www.ccmm.ma/,http://www.ccmm.ma/detail.php?str=#####CULCOLNO#####,Moroccan Coordinated Collections of Microorganisms,2021-10-07 06:09:10,3
101,CCMP,CCMP,http://ccmp.bigelow.org/,https://ncma.bigelow.org/catalogsearch/result/?q=#####CULCOLNO#####,Provasoli-Guillard National Center for Culture of Marine Phytoplankton,2021-10-07 06:09:10,0
102,CCOS,CCOS,http://www.ccos.ch/,,Culture Collection of Switzerland,2021-10-07 06:09:11,21
103,CCRI,CCRI,http://www.cri.crchul.ulaval.ca/index.html,,Collection du Centre de Recherche en Infectiologie,2021-10-07 06:09:12,0
104,CCSIIA,CCSIIA,,,Culture Collection of Sichuan Industrial Institute Antibiotics,2021-10-07 06:09:12,0
105,CCSM,CCSM,http://swri.ir/,,Culture Collection for Soil Microorganisms,2021-10-07 06:09:12,0
106,CCT,CCT,http://www.cct.fat.org.br/cc.html,,Colecao de Culturas Tropical,2021-10-07 06:09:12,5
107,CCTCC,CCTCC,http://www.cctcc.org/sci/microbe_common/searchc.php,,China Center for Type Culture Collection,2021-10-07 06:09:12,5
108,CCTM,CCTM,,,Centre de Collection de Type Microbien,2021-10-07 06:09:13,10
109,CCUG,CCUG,http://www.ccug.se/,https://www.ccug.se/strain?id=#####CULCOLNO#####,"Culture Collection, University of Goteborg",2021-10-07 06:09:13,19279
110,CCVCC,CCVCC,http://www.im.ac.cn/institutes/ccvcc/ccvcc.html,,China Center For Virus Culture Collection,2021-10-07 06:09:13,0
111,CCWM,CCWM,http://www.wildmush.or.kr/,,Culture Collection of Wild Mushroom,2021-10-07 06:09:13,0
112,CCY,CCY,,,Culture Collection of Yeasts,2021-10-07 06:09:13,104
113,CDBB,CDBB,http://cinvestav.mx/cgse/uscncmcc/,,Coleccion Nacional de Cepas Microbianas y Cultivos Celulares,2021-10-07 06:09:14,0
114,CECT,CECT,http://www.cect.org/,https://www.cect.org/vstrn.php?lan=en&cect=#####CULCOLNO#####,Coleccion Espanola de Cultivos Tipo,2021-10-07 06:09:15,747
115,CELMS,CELMS,http://www.miccol.ut.ee/,http://eemb.ut.ee/celms/main_list.php?qs=#####CULCOLNO#####,Collection of Environmental and Laboratory Microbial Strains,2021-10-07 06:09:15,0
116,CEMM,CEMM,,,CEMM - CENTRO ESPECIALIZADO EM MICOLOGIA MEDICA,2021-10-07 06:09:15,0
117,CENACUMI,CENACUMI,,,Centro Nacional de Cultivos Microbianos (National Center For Microbial Cultures),2021-10-07 06:09:15,0
118,CEP,CEP,http://www.cepave.edu.ar/,,Entomopathogenic Fungal Culture Collection of Argentina,2021-10-07 06:09:16,5
119,CEPIM,CEPIM,,,Centro per gli Enterobatteri Patogeni per l'Italia Meridionale,2021-10-07 06:09:16,0
120,CEPM,CEPM,http://cepm.mpl.ird.fr/,,CEPM- Centre d'Etudes sur le Polymorphisme des Micro-organismes,2021-10-07 06:09:16,0
121,CETESB,CETESB,,,Setor de Pesquisa Tecnologica de Sistemas de Tratamento de Efluentes Domesticos,2021-10-07 06:09:16,0
122,CFBP,CFBP,http://www.angers.inra.fr/cfbp/index_e.html,http://catalogue-cfbp.inra.fr/resultnum_e.php?r0=#####CULCOLNO#####,Collection Francaise de Bacteries Phytopathogenes,2021-10-07 06:09:16,81
123,CFGR,CFGR,http://genebank.snu.ac.kr/,,Center for Fungal Genetic Resources,2021-10-07 06:09:16,0
124,CFQ,CFQ,,,Cepario de la Facultad de Quimica,2021-10-07 06:09:17,0
125,CG,CG,http://www.cenargen.embrapa.br/,,Embrapa Genetic Resources and Biotechnology Collection of Fungi of Interest to Biological Control,2021-10-07 06:09:17,3
126,CGMCC,CGMCC,http://www1.im.ac.cn/typecc/junzhong/en.html,http://www.cgmcc.net/english/cata.php?stn=CGMCC+#####CULCOLNO#####,China General Microbiological Culture Collectio Center,2021-10-07 06:09:18,5
127,CGSC,CGSC,http://cgsc.biology.yale.edu/,,E. coli Genetic Stock Center,2021-10-07 06:09:18,36
128,CH-AG,CH-AG,,,Collection de Recherche,2021-10-07 06:09:18,0
129,CHULA,CHULA,,,Microbiology Department Faculty of Science,2021-10-07 06:09:20,0
130,CIAM,CIAM,http://www.arriam.spb.ru/,,Collection of Nonpathogenic Microorganisms for Agriculture,2021-10-07 06:09:20,0
131,CIAT,CIAT,http://www.ciat.cgiar.org/,,CIAT Rhizobium Collection,2021-10-07 06:09:20,1
132,CICC,CICC,http://www.china-cicc.org/,http://english.china-cicc.org/category.php?id=1&sh=jd&keywords=#####CULCOLNO#####,China Center for Industrial Culture Collection,2021-10-07 06:09:20,47
133,CICIM,CICIM,http://cicim-cu.sytu.edu.cn/,,The Culture and Information Centre of Industrial Microoganisms of China Universities,2021-10-07 06:09:21,0
134,CICV,CICV,,,Centro de Investigaciones en Ciencias Veterinarias,2021-10-07 06:09:21,0
135,CIMSC,CIMSC,,,Collezione Instituto di Microbiologia,2021-10-07 06:09:21,0
136,CIP,CIP,http://www.crbip.pasteur.fr/,,Collection de L'Institut Pasteur,2021-10-07 06:09:21,6041
137,CIPDE,CIPDE,,,"Collection of Insect Pathogens, Dept. of Entomology",2021-10-07 06:09:21,0
138,CIPT,CIPT,,,Collection Institut Pasteur Tuberculose,2021-10-07 06:09:21,0
139,CIRM-BIA,CIRM-BIA,http://www.inra.fr/cirm_bia,,Centre International de Ressources Microbiennes Bacteries d'Interet Alimentaire,2021-10-07 06:09:21,1
140,CIRM-BP,CIRM-BP,http://www.tours.inra.fr/cirm_bp_eng/,,Centre International de Ressources Microbiennes - Bacteries Pathogenes,2021-10-07 06:09:21,0
141,CIRM-CF,CIRM-CF,http://www.inra.fr/crb-cirm/,,Centre International de Ressources Microbiennes - Champignons Filamenteux,2021-10-07 06:09:22,0
142,CIRM-Levures,CIRM-Levures,http://www.inra.fr/cirmlevures/,,Centre International de Ressources Microbiennes - Levures,2021-10-07 06:09:22,0
143,CISM,CISM,,,Verticillium dahliae from cotton,2021-10-07 06:09:22,0
144,CISM,CISM,,,NifTAL Rhizobium Collection (Asia Center),2021-10-07 06:09:22,0
145,CM-PUJ,CM-PUJ,,,Coleccion Microorganismos Pontificia Universidad Javeriana,2021-10-07 06:09:24,0
146,CMBGCAS,CMBGCAS,,,Collection of Marine Biological Germplasm,2021-10-07 06:09:24,0
147,CMCC(B),CMCC(B),,,National Center for Medical Culture Collections,2021-10-07 06:09:24,0
148,CMKKU,CMKKU,,,"Clinical Diagnostic Microbiology Srinagarind Hospital, Faculty of Medicine",2021-10-07 06:09:25,0
149,CMM,CMM,http://www.pgfitopat.ufrpe.br/cmm.html,,"""Culture Collection of Phytopathogenic Fungi """"Prof. Maria Menezes"""" (Colecao de Culturas de Fungos Fitopatogenicos """"Prof. Maria Menezes""""""",2021-10-07 06:09:25,0
150,CMMC,CMMC,http://www.ysfri.ac.cn/,,China Marine Microbe Collection,2021-10-07 06:09:25,0
151,CNCM,CNCM,http://www.pasteur.fr/recherche/unites/Cncm/,,Collection Nationale de Cultures de Microorganismes,2021-10-07 06:09:26,1
152,CNCTC,CNCTC,http://www.szu.cz/cnctc/,https://apps.szu.cz/cnctc/cnctc_number.php?a=#####CULCOLNO#####,Czech National Collection of Type Cultures,2021-10-07 06:09:26,13
153,CNEN-LABPC,CNEN-LABPC,,,Laboratorio de Pocos de Caldas,2021-10-07 06:09:27,0
154,CPAC,CPAC,http://www.cpac.embrapa.br/,,Cpac-Embrapa,2021-10-07 06:09:29,0
155,CPCC,CPCC,http://cpcc.org.cn/,,Center for Culture Collection of Pharmaceutical Microorganisms,2021-10-07 06:09:29,49
156,CPCC (formerly UTCC),CPCC (formerly UTCC),http://www.phycol.ca/,,Canadian Phycological Culture Centre (formerly University of Toronto Culture Collection of Algae & Cyanobacteria),2021-10-07 06:09:29,0
157,CPHS,CPHS,,,"WHO/FAO/OIE Collaborating Centre for Reference and Research on Leptospirosis, Western Pacific Region",2021-10-07 06:09:29,0
158,CPPIPP,CPPIPP,,,Collection of Plant Pathogens,2021-10-07 06:09:30,0
159,CPRR,CPRR,,,Laboratorio de Doenca de Chagas,2021-10-07 06:09:30,0
160,CPVC,CPVC,,,Canadian Plant Virus Collection,2021-10-07 06:09:30,0
161,CPZ,CPZ,,,Centro Panamericano de Zoonosis,2021-10-07 06:09:30,0
162,CRA-COLMIA,CRA-COLMIA,http://www.collezionedimicrorganismi.com/,,"COLMIA Collezione di microrganismi di interesse agrario, industriale ed ambientale",2021-10-07 06:09:30,0
163,CRBF,CRBF,,,Collection de genomes d'organismes symbiotiques,2021-10-07 06:09:30,0
164,CRBIP,CRBIP,http://www.crbip.pasteur.fr/,,Centre de Ressources Biologiques de l'Institut Pasteur,2021-10-07 06:09:30,3
165,CRL,CRL,,,Centro de Referencia Para Lactobacilos,2021-10-07 06:09:31,1
166,CSC-CLCH,CSC-CLCH,,,Centro Substrati Cellulari: Cell Lines Collection and Hybridomas,2021-10-07 06:09:32,0
167,CSMA,CSMA,,,Centro di Studio dei Microorganismi Autotrofi - CNR,2021-10-07 06:09:32,0
168,CSUR,CSUR,http://www.mediterranee-infection.com/article.php?laref=14&titre=collection-de-souches,,Collection de Souches de l'Unite des Rickettsies,2021-10-07 06:09:33,2
170,CUC,CUC,,,Cepario de la Universidad de Concepcion de Chile,2021-10-07 06:09:34,0
171,CUHK,CUHK,http://www.cuhk.edu.hk/bio/,,"Biology Department, Chinese University of Hong Kong",2021-10-07 06:09:34,0
172,CVCC,CVCC,http://www.ivdc.gov.cn/,,China Veterinary Culture Collection,2021-10-07 06:09:35,0
173,CVCC,CVCC,,,Center for Veterinary Culture Collection,2021-10-07 06:09:35,0
174,CVCM,CVCM,,,Centro Venezolano de Colecciones de Microorganismos,2021-10-07 06:09:35,0
175,CWU-MACC,CWU-MACC,,,Herbarium of Kharkov University (CWU) - MicroAlgae Cultures Collection,2021-10-07 06:09:35,0
176,CY,CY,,,Centre des Yersinia,2021-10-07 06:09:35,6
177,CYIB-KSU-MGM,CYIB-KSU-MGM,,,Collection of Yeasts involved in Industrial Biotransformations,2021-10-07 06:09:36,0
178,DACT,DACT,,,Dept. Agricult. Chem. Technol.,2021-10-07 06:09:36,0
179,DAR,DAR,http://www.dpi.nsw.gov.au/aboutus/services/collections/cultures,,Plant Pathology Herbarium,2021-10-07 06:09:37,1
180,DBKKU1,DBKKU2,,,"Department of Biology, Faculty of Science",2021-10-07 06:09:37,0
181,DBKKU2,DBKKU3,,,"Department of Biology, Faculty of Science",2021-10-07 06:09:37,0
182,DBKKU3,DBKKU4,,,"Department of Biology, Faculty of Science",2021-10-07 06:09:38,0
183,DBM,DBM,,,Department of Biochemistry and Microbiology,2021-10-07 06:09:38,2
184,DBMU,DBMU,,,"Department of Biotechnology, Faculty of Science, Mahidol University",2021-10-07 06:09:38,0
185,DBMU2,DBMU3,,,"Department of Biotechnology, Faculty of Science",2021-10-07 06:09:38,0
186,DBMU2,DBMU3,,,"Department of Biotechnology, Faculty of Science, Mahidol University",2021-10-07 06:09:38,0
187,DBS,DBS,,,Department of Biological Culture Collection,2021-10-07 06:09:38,0
188,DBUM;IPT,DBUM;IPT,,,"Department of Biochemistry, Faculty of Medicine, University of Malaya",2021-10-07 06:09:39,0
189,DBUP,DBUP,,,Algal Culture Collection,2021-10-07 06:09:39,0
190,DBV,DBV,,,Division of Standardisation,2021-10-07 06:09:39,0
191,DBVPG,DBVPG,http://www.agr.unipg.it/dbvpg,,Industrial Yeasts Collection,2021-10-07 06:09:39,0
192,DE-CSIRO,DE-CSIRO,,,CSIRO Insect Pathogen Culture Collection,2021-10-07 06:09:40,0
193,DFF,DFF,,,"Forest Pathology Culture Collection, Pacific Forest Research Centre",2021-10-07 06:09:41,0
194,DFP,DFP,,,DFP Culture Collection,2021-10-07 06:09:41,0
195,DGUB,DGUB,,,"Department of Genetics, University of Bratislava",2021-10-07 06:09:41,0
196,DMBUK,DMBUK,,,Department of Microbiology,2021-10-07 06:09:43,0
197,DMCCUS,DMCCUS,,,School of Biological Sciences Culture Collection,2021-10-07 06:09:43,0
198,DMCMU2,DMCMU3,,,"Department of Microbiology, Faculty of Medicine",2021-10-07 06:09:43,0
199,DMCU,DMCU,,,"Microbiology Department, Faculty of Science",2021-10-07 06:09:43,0
200,DMIV,DMIV,,,Department of Microbiology and Immunology,2021-10-07 06:09:44,0
201,DMKKU1,DMKKU2,http://www.kku.ac.th/,,"Department of Microbiology, Faculty of Medicine",2021-10-07 06:09:44,0
202,DMKKU2,DMKKU3,,,"Department of Microbiology, Faculty of Medical Science",2021-10-07 06:09:44,0
203,DMKU,DMKU,,,"Department of Microbiology, Faculty of Science",2021-10-07 06:09:44,0
204,DMMU1,DMMU2,,,"Department of Microbiology, Faculty of Science",2021-10-07 06:09:44,0
205,DMMU3,DMMU4,,,"Department of Microbiology, Faculty of Medicine Siriraj Hospital",2021-10-07 06:09:45,0
206,DMPMC,DMPMC,,,Department of Microbiology,2021-10-07 06:09:45,0
207,DMSRDE,DMSRDE,,,DMSRDE Culture Collection,2021-10-07 06:09:45,0
208,DMST,DMST,http://geocities.com/dmst_cc,,Department of Medical Sciences Culture Collection,2021-10-07 06:09:45,0
209,DMUIJ,DMUIJ,,,Department of Microbiology,2021-10-07 06:09:45,0
210,DMUP,DMUP,,,Microbiology and Biophysics Charles University,2021-10-07 06:09:45,0
211,DMVB,DMVB,,,"Department of Microbiology, Veterinary Branch of National Strain Collection",2021-10-07 06:09:46,0
212,DPUA,DPUA,,,Departamento de Patologia/ICB,2021-10-07 06:09:47,0
213,DSC,DSC,http://www.dictybase.org/StockCenter/StockCenter.html,,Dicty Stock Center,2021-10-07 06:09:49,0
214,DSMZ,DSM,http://www.dsmz.de/,https://www.dsmz.de/collection/catalogue/details/culture/DSM-#####CULCOLNO#####,DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,2021-10-07 06:09:49,25856
215,DUM,DUM,,,Delhi University Mycological Herbarium,2021-10-07 06:09:50,0
216,DVBID,DVBID,,,Division Vector-Borne Infectious Diseases,2021-10-07 06:09:51,0
217,DWT,DWT,,,Wood Technology and Forest Research Division,2021-10-07 06:09:51,0
218,EATRO,EATRO,,,Uganda Trypanosomiasis Research Organization,2021-10-07 06:09:52,0
219,ECACC,ECACC,http://www.ecacc.org.uk/,,European Collection of Cell Cultures,2021-10-07 06:09:52,0
220,EGE-MACC,EGE-MACC,http://ebiltem.ege.edu.tr/ege-macc/,,Ege - Microalgae Culture Collection,2021-10-07 06:09:53,0
221,EMCC,EMCC,,,Egypt Microbial Culture Collection,2021-10-07 06:09:54,0
222,EMPARN,EMPARN,,,Empresa de Pesquisa Agropecuaria do Rio Grande do Norte,2021-10-07 06:09:54,0
223,EMTC,EMTC,http://www.niboch.nsc.ru/,,Collection for extremophile microorganisms and type cultures,2021-10-07 06:09:54,0
224,ENCB-IPN,ENCB-IPN,,,Coleccion de cultivos de la Escuela Nacional de Ciencias Biologicas,2021-10-07 06:09:54,0
225,ERAEP,ERAEP,,,"Radiation Ecology Section, Biological Science Division, Office of Atomic Energy for Peace",2021-10-07 06:09:55,0
226,ESAP,ESAP,,,Instituto Zimotecnico-Z,2021-10-07 06:09:55,0
227,EUSL,EUSL,,,Eastern University,2021-10-07 06:09:56,0
228,FACHB,FACHB,http://algae.ihb.ac.cn/,,Freshwater Algae Culture Collection,2021-10-07 06:09:57,0
