ID_compound_production,prefix,compound_name,suffix,KindProd_micro,excreted,ID_strains,ID_reference,manual_annotation,FK_tbl_production_micro,timestamp_micro,remarks_micro,last_change
123,,lincomycin ,,MET,,15612,397,1,258.0,2007-12-21 16:56:23,"(U.S. Pats. 3,833,475; 3,697,380)",2018-05-30 11:15:21
124,,lincomycin ,,MET,,15489,398,1,260.0,2007-12-21 16:56:23,"(U.S. Pat. 3,726,766)",2018-05-30 11:15:21
125,,steffimycin B ,,MET,,15613,399,1,261.0,2007-12-21 16:56:23,"(U.S. Pat. 3,794,721)",2018-05-30 11:15:21
126,,lincomycin ,,MET,,16063,400,1,263.0,2007-12-21 16:56:23,"(U.S. Pat. 3,812,014)",2018-05-30 11:15:21
127,,chloroisoxazolone amino acid antitumor metabolites ,,MET,,15614,401,1,264.0,2007-12-21 16:56:23,"(U.S. Pat. 3,944,562)",2018-05-30 11:15:21
128,,lincomycin ,,MET,,15615,402,1,271.0,2007-12-21 16:56:23,"(U.S. Pat. 3,833,475)",2018-05-30 11:15:21
129,,lincomycin ,,MET,,15616,403,1,272.0,2007-12-21 16:56:23,"(U.S. Pat. 3,833,475)",2018-05-30 11:15:21
130,,lincomycin ,,MET,,15617,404,1,273.0,2007-12-21 16:56:23,"(U.S. Pat. 3,833,475)",2018-05-30 11:15:21
131,,"antibiotic U-44,590 ",,MET,,15473,405,1,274.0,2007-12-21 16:56:23,"(U.S. Pat. 3,907,643)",2018-05-30 11:15:21
132,,"antibiotic U-47,929 ",,MET,,15618,406,1,275.0,2007-12-21 16:56:23,"(U.S. Pat. 3,993,748)",2018-05-30 11:15:21
133,,lincomycin ,,MET,,15619,407,1,276.0,2007-12-21 16:56:23,"(Belgian Pat. 76,237)",2018-05-30 11:15:21
134,,hydrogenase ,,ENZ,,5402,478,1,284.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
135,,hydrogenase ,,ENZ,,2966,479,1,287.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
136,poly-ß,poly-ß hydroxyalkanoates ,,MET,,2966,479,1,288.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
137,,aminoglycoside antibiotic G-418 ,,MET,,7968,481,1,289.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
138,,antibiotic A 3823 ,,MET,,15097,484,1,290.0,2007-12-21 16:56:23,"(U.S. Pat. 3,501,568)",2018-05-30 11:15:21
139,1-N,1-N ethylsisomicin ,,MET,,7897,486,1,291.0,2007-12-21 16:56:23,(German Pat. 24 62 485),2018-05-30 11:15:21
140,,mutaminines ,,MET,,7897,486,1,292.0,2007-12-21 16:56:23,(German Pat. 24 37 159),2018-05-30 11:15:21
141,,xanthomonadin I ,,MET,,17601,532,1,293.0,2007-12-21 16:56:23,(pigment),2018-05-30 11:15:21
142,,amylase ,,ENZ,,590,391,1,297.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
143,,inhibitors for glycoside hydrolases ,,MET,,590,391,1,298.0,2007-12-21 16:56:23,"(Brit. Pat. 155,409)",2018-05-30 11:15:21
144,,inhibitors for glycoside hydrolases ,,MET,,591,392,1,299.0,2007-12-21 16:56:23,"(Brit. Pat. 155,409)",2018-05-30 11:15:21
145,,restriction endonuclease <i>Bam</i>KI (<i>Bam</i>HI) ,BamKI (BamHI),ENZ,,591,392,1,300.0,2017-12-05 13:41:50,,2018-05-30 11:15:21
146,,inhibitors for glycoside hydrolases ,,MET,,592,408,1,301.0,2007-12-21 16:56:23,"(Brit. Pat. 155,409)",2018-05-30 11:15:21
147,,inhibitors for glycoside hydrolases ,,MET,,593,409,1,302.0,2007-12-21 16:56:23,"(Brit. Pat. 155,409)",2018-05-30 11:15:21
148,,inhibitors for glycoside hydrolases ,,MET,,594,410,1,303.0,2007-12-21 16:56:23,"(Brit. Pat. 155,409)",2018-05-30 11:15:21
149,,inhibitors for glycoside hydrolases ,,MET,,595,411,1,304.0,2007-12-21 16:56:23,"(Brit. Pat. 155,409)",2018-05-30 11:15:21
150,,inhibitors for glycoside hydrolases ,,MET,,596,412,1,305.0,2007-12-21 16:56:23,"(Brit. Pat. 155,409)",2018-05-30 11:15:21
151,,inhibitors for glycoside hydrolases ,,MET,,597,413,1,306.0,2007-12-21 16:56:23,"(Brit. Pat. 155,409)",2018-05-30 11:15:21
152,,agarase ,,ENZ,,5513,535,1,311.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
153,,carbon monoxide dehydrogenase ,,ENZ,,12810,537,1,322.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
154,L,L glutamic acid ,,MET,,17387,555,1,329.0,2007-12-21 16:56:23,"(U.S. Pat. 3,663,370)",2018-05-30 11:15:21
155,,vitamin B<SUB>1</SUB><SUB>2</SUB> ,,MET,,17387,555,1,330.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
156,,cephalosporins ,,MET,,4428,564,1,331.0,2007-12-21 16:56:23,"by conversion (U.S. Pat. 3,945,888)",2018-05-30 11:15:21
157,,diaminopimelate decarboxylase ,,ENZ,,4428,564,1,332.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
158,,glutamine synthetase ,,ENZ,,4428,564,1,333.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
159,,hydrogenase ,,ENZ,,4428,564,1,334.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
160,,penicillin acylase ,,ENZ,,4428,564,1,335.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
161,,PHB ,,MET,,339,566,1,336.0,2007-12-21 16:56:23,(high amounts),2018-05-30 11:15:21
162,poly-ß,poly-ß hydroxyalkanoates ,,MET,,340,567,1,337.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
163,,PHB ,,MET,,340,567,1,338.0,2007-12-21 16:56:23,(high amounts),2018-05-30 11:15:21
164,,PHB ,,MET,,341,568,1,339.0,2007-12-21 16:56:23,(high amounts),2018-05-30 11:15:21
165,,clostridial aminopeptidase ,,ENZ,,2600,570,1,340.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
166,,formate dehydrogenase ,,ENZ,,6993,588,1,350.0,2007-12-21 16:56:23,(selenium dependent),2018-05-30 11:15:21
167,,restriction endonuclease <i>Cth</I>I ,,ENZ,,2729,545,1,351.0,2017-12-05 11:49:42,,2018-05-30 11:15:21
168,,syringomycin ,,MET,,13020,590,1,352.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
169,,syringotoxin ,,MET,,13021,591,1,356.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
170,,uricase ,,ENZ,,837,504,1,367.0,2007-12-21 16:56:23,(German Pat. 19 41 768),2018-05-30 11:15:21
171,,protease ,,ENZ,,16635,643,1,377.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
172,L,L glutamic acid ,,MET,,3086,497,1,381.0,2007-12-21 16:56:23,"(U.S. Pats. 3,117,915; 3,128,237; 3,096,252; 3,136,702; 3,212,994)",2018-05-30 11:15:21
173,L,L alanine ,,MET,,2910,770,1,386.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
174,L,L aspartate ß-decarboxylase ,,ENZ,,2910,770,1,388.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
175,L,L glutamic acid ,,MET,,2910,770,1,392.0,2007-12-21 16:56:23,"(U.S. Pat. 3,563,857)",2018-05-30 11:15:21
176,,ethanol ,,MET,,16834,771,1,393.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
177,"2,5","2,5 diketogluconate ",,MET,,11313,808,1,400.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
178,,acrylic acid ,,MET,,2646,856,1,420.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
179,,nitrogenase ,,ENZ,,13972,862,1,421.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
180,,ketogluconic acid ,,MET,,12874,863,1,423.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
181,,pyruvate carboxylase ,,ENZ,,12763,864,1,429.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
182,,restriction endonuclease <i>Tha</i>I ,ThaI,ENZ,,17017,884,1,430.0,2017-11-30 15:42:23,,2018-05-30 11:15:21
183,,acetone ,,MET,,2530,886,1,431.0,2007-12-21 16:56:23,"(Brit. Pat. 4845; U.S. Pat. 1,315,585)",2018-05-30 11:15:21
184,n,n butanol ,,MET,,2530,886,1,432.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
185,,acetone ,,MET,,2531,887,1,433.0,2007-12-21 16:56:23,"(Brit. Pat. 4845; U.S. Pat. 1,315,585)",2018-05-30 11:15:21
186,n,n butanol ,,MET,,2531,887,1,435.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
187,,tetrodotoxin ,,MET,,17241,4352,1,3635.0,2013-06-18 14:42:37,,2018-05-30 11:15:21
188,,tetrodotoxin ,,MET,,17256,993,1,3634.0,2013-06-18 14:40:35,,2018-05-30 11:15:21
189,L,L asparaginase ,,ENZ,,6116,895,1,440.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
190,,restriction endonuclease <i>Dde</i>I ,"DdeI, DdeII",ENZ,,4058,615,1,442.0,2017-12-05 11:45:34,,2018-05-30 11:15:21
191,,hydrogenase ,,ENZ,,1802,621,1,443.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
192,,hydrogenase ,,ENZ,,1803,644,1,444.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
193,L,L glutamic acid ,,MET,,7230,646,1,445.0,2007-12-21 16:56:23,"(U.S. Pat. 3,663,370)",2018-05-30 11:15:21
194,,methanol ,,MET,,7167,647,1,446.0,2007-12-21 16:56:23,"(U.S. Pat. 3,764,476)",2018-05-30 11:15:21
195,L,L glutamic acid ,,MET,,7231,648,1,447.0,2007-12-21 16:56:23,"(U.S. Pat. 3,663,370)",2018-05-30 11:15:21
196,,bacteriochlorophyll ,,MET,,7152,666,1,461.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
197,,methane ,,MET,,7121,668,1,462.0,2007-12-21 16:56:23,(thermophilic),2018-05-30 11:15:21
198,4,4 methoxybenzoate O-demethylase ,,ENZ,,12875,914,1,466.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
199,,dimethylamine dehydrogenase ,,ENZ,,6184,915,1,468.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
200,,methanol dehydrogenase ,,ENZ,,6184,915,1,469.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
201,,chitosanase ,,ENZ,,17477,917,1,470.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
202,"ß-1,4","ß-1,4 glucanase ",,ENZ,,17477,917,1,471.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
203,,protease ,,ENZ,,17477,917,1,472.0,2007-12-21 16:56:23,(extracellular),2018-05-30 11:15:21
204,5-hydroxy-L,5-hydroxy-L tryptophan ,,MET,,687,925,1,484.0,2007-12-21 16:56:23,"(U.S. Pat. 3,830,696)",2018-05-30 11:15:21
205,,"protease, alkaline ",,ENZ,,688,927,1,492.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
206,,"protease, alkaline ",,ENZ,,965,928,1,493.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
207,,"protease, alkaline ",,ENZ,,966,929,1,494.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
208,,protease ,,ENZ,,855,930,1,495.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
209,,proteolytic enzymes ,,ENZ,,641,931,1,496.0,2007-12-21 16:56:23,"(Brit. Pat. 1,243,784)",2018-05-30 11:15:21
3810,N,N acyl homoserine lactones ,,MET,,131728,23524,1,3779.0,2016-02-09 07:47:42,,2018-05-30 11:15:21
211,,ethanolamine ammonia-lyase ,,ENZ,,2671,933,1,498.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
212,,boticin E ,,MET,,2672,942,1,502.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
213,2,2 keto-4-hydroxy valeric acid ,,MET,,2339,943,1,507.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
214,,creatine amidohydrolase ,,ENZ,,12943,946,1,508.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
215,,formaldehyde dehydrogenase ,,ENZ,,12943,946,1,512.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
